form,pokeathlon_stat,minimum_stat,base_stat,maximum_stat
bulbasaur,speed,2,2,3
bulbasaur,power,2,2,3
bulbasaur,skill,1,3,4
bulbasaur,stamina,1,3,4
bulbasaur,jump,3,3,3
ivysaur,speed,2,2,2
ivysaur,power,1,2,3
ivysaur,skill,2,4,5
ivysaur,stamina,2,4,5
ivysaur,jump,3,3,3
venusaur,speed,1,1,2
venusaur,power,1,4,5
venusaur,skill,1,3,3
venusaur,stamina,1,5,5
venusaur,jump,2,2,2
charmander,speed,3,3,3
charmander,power,1,1,5
charmander,skill,1,3,4
charmander,stamina,1,1,3
charmander,jump,2,3,3
charmeleon,speed,3,3,3
charmeleon,power,2,2,4
charmeleon,skill,1,3,4
charmeleon,stamina,1,2,2
charmeleon,jump,2,3,3
charizard,speed,2,3,3
charizard,power,1,3,3
charizard,skill,1,2,2
charizard,stamina,3,4,5
charizard,jump,4,5,5
squirtle,speed,1,3,3
squirtle,power,1,1,3
squirtle,skill,2,3,4
squirtle,stamina,2,4,4
squirtle,jump,2,2,2
wartortle,speed,1,2,4
wartortle,power,2,2,3
wartortle,skill,3,4,5
wartortle,stamina,1,3,4
wartortle,jump,2,3,3
blastoise,speed,3,3,3
blastoise,power,2,4,5
blastoise,skill,1,2,3
blastoise,stamina,3,4,5
blastoise,jump,2,2,3
caterpie,speed,1,2,3
caterpie,power,1,1,3
caterpie,skill,1,4,4
caterpie,stamina,1,2,3
caterpie,jump,2,2,2
metapod,speed,1,1,3
metapod,power,1,1,3
metapod,skill,1,1,1
metapod,stamina,3,4,5
metapod,jump,2,2,3
butterfree,speed,1,2,4
butterfree,power,1,2,3
butterfree,skill,1,2,3
butterfree,stamina,1,2,3
butterfree,jump,4,5,5
weedle,speed,1,1,3
weedle,power,1,2,4
weedle,skill,1,3,4
weedle,stamina,1,1,3
weedle,jump,2,2,2
kakuna,speed,1,1,3
kakuna,power,1,1,3
kakuna,skill,1,1,1
kakuna,stamina,3,4,5
kakuna,jump,2,2,3
beedrill,speed,2,3,4
beedrill,power,1,1,4
beedrill,skill,2,3,4
beedrill,stamina,1,2,2
beedrill,jump,4,5,5
pidgey,speed,2,3,5
pidgey,power,1,2,3
pidgey,skill,1,3,4
pidgey,stamina,1,2,3
pidgey,jump,3,3,5
pidgeotto,speed,1,3,4
pidgeotto,power,1,2,3
pidgeotto,skill,1,2,3
pidgeotto,stamina,2,2,4
pidgeotto,jump,4,5,5
pidgeot,speed,1,3,4
pidgeot,power,2,3,5
pidgeot,skill,1,2,3
pidgeot,stamina,2,3,4
pidgeot,jump,4,5,5
rattata,speed,3,5,5
rattata,power,1,1,3
rattata,skill,1,3,3
rattata,stamina,1,1,3
rattata,jump,2,2,3
raticate,speed,2,4,5
raticate,power,2,3,4
raticate,skill,1,3,3
raticate,stamina,1,2,3
raticate,jump,2,3,3
spearow,speed,2,3,5
spearow,power,1,2,4
spearow,skill,1,1,3
spearow,stamina,1,1,3
spearow,jump,3,3,5
fearow,speed,2,4,4
fearow,power,3,4,5
fearow,skill,1,1,3
fearow,stamina,1,2,3
fearow,jump,4,5,5
ekans,speed,2,3,5
ekans,power,1,3,4
ekans,skill,1,3,3
ekans,stamina,1,2,3
ekans,jump,2,2,3
arbok,speed,1,3,4
arbok,power,3,4,5
arbok,skill,1,3,3
arbok,stamina,1,2,4
arbok,jump,2,2,3
pikachu,speed,1,3,4
pikachu,power,1,3,4
pikachu,skill,2,3,4
pikachu,stamina,1,3,4
pikachu,jump,2,3,4
raichu,speed,1,2,3
raichu,power,2,4,5
raichu,skill,1,4,5
raichu,stamina,1,4,5
raichu,jump,2,2,3
sandshrew,speed,1,3,4
sandshrew,power,1,3,3
sandshrew,skill,2,3,5
sandshrew,stamina,1,2,3
sandshrew,jump,2,2,3
sandslash,speed,1,2,3
sandslash,power,2,3,4
sandslash,skill,3,4,5
sandslash,stamina,1,3,3
sandslash,jump,2,2,2
nidoran-f,speed,2,4,5
nidoran-f,power,1,2,3
