form,slot,type
arceus-bug,1,bug
arceus-dark,1,dark
arceus-dragon,1,dragon
arceus-electric,1,electric
arceus-fighting,1,fighting
arceus-fire,1,fire
arceus-flying,1,flying
arceus-ghost,1,ghost
arceus-grass,1,grass
arceus-ground,1,ground
arceus-ice,1,ice
arceus-poison,1,poison
arceus-psychic,1,psychic
arceus-rock,1,rock
arceus-steel,1,steel
arceus-water,1,water
arceus-unknown,1,unknown
arceus-fairy,1,fairy
silvally-fighting,1,fighting
silvally-flying,1,flying
silvally-poison,1,poison
silvally-ground,1,ground
silvally-rock,1,rock
silvally-bug,1,bug
silvally-ghost,1,ghost
silvally-steel,1,steel
silvally-fire,1,fire
silvally-water,1,water
silvally-grass,1,grass
silvally-electric,1,electric
silvally-psychic,1,psychic
silvally-ice,1,ice
silvally-dragon,1,dragon
silvally-dark,1,dark
silvally-fairy,1,fairy
