identifier,id,pokemon,form_identifier,introduced_in_version_group,is_default,is_battle_only,is_mega,form_order,order,form_name_ja_hrkt,pokemon_name_ja_hrkt,form_name_ko,form_name_fr,pokemon_name_fr,form_name_de,pokemon_name_de,form_name_es,form_name_it,form_name_en,pokemon_name_en,form_name_ja,pokemon_name_ja,form_name_es_419,form_name_zh_hant,form_name_zh_hans
bulbasaur,1,bulbasaur,,red-blue,1,0,0,1,1,,,,,,,,,,,,,,,,
ivysaur,2,ivysaur,,red-blue,1,0,0,1,2,,,,,,,,,,,,,,,,
venusaur,3,venusaur,,red-blue,1,0,0,1,3,,,,,,,,,,,,,,,,
charmander,4,charmander,,red-blue,1,0,0,1,5,,,,,,,,,,,,,,,,
charmeleon,5,charmeleon,,red-blue,1,0,0,1,6,,,,,,,,,,,,,,,,
charizard,6,charizard,,red-blue,1,0,0,1,7,,,,,,,,,,,,,,,,
squirtle,7,squirtle,,red-blue,1,0,0,1,10,,,,,,,,,,,,,,,,
wartortle,8,wartortle,,red-blue,1,0,0,1,11,,,,,,,,,,,,,,,,
blastoise,9,blastoise,,red-blue,1,0,0,1,12,,,,,,,,,,,,,,,,
caterpie,10,caterpie,,red-blue,1,0,0,1,14,,,,,,,,,,,,,,,,
metapod,11,metapod,,red-blue,1,0,0,1,15,,,,,,,,,,,,,,,,
butterfree,12,butterfree,,red-blue,1,0,0,1,16,,,,,,,,,,,,,,,,
weedle,13,weedle,,red-blue,1,0,0,1,17,,,,,,,,,,,,,,,,
kakuna,14,kakuna,,red-blue,1,0,0,1,18,,,,,,,,,,,,,,,,
beedrill,15,beedrill,,red-blue,1,0,0,1,19,,,,,,,,,,,,,,,,
pidgey,16,pidgey,,red-blue,1,0,0,1,21,,,,,,,,,,,,,,,,
pidgeotto,17,pidgeotto,,red-blue,1,0,0,1,22,,,,,,,,,,,,,,,,
pidgeot,18,pidgeot,,red-blue,1,0,0,1,23,,,,,,,,,,,,,,,,
rattata,19,rattata,,red-blue,1,0,0,1,25,,,,,,,,,,,,,,,,
raticate,20,raticate,,red-blue,1,0,0,1,27,,,,,,,,,,,,,,,,
spearow,21,spearow,,red-blue,1,0,0,1,30,,,,,,,,,,,,,,,,
fearow,22,fearow,,red-blue,1,0,0,1,31,,,,,,,,,,,,,,,,
ekans,23,ekans,,red-blue,1,0,0,1,32,,,,,,,,,,,,,,,,
arbok,24,arbok,,red-blue,1,0,0,1,33,,,,,,,,,,,,,,,,
pikachu,25,pikachu,,red-blue,1,0,0,1,36,,,,,,,,,,,,,,,,
raichu,26,raichu,,red-blue,1,0,0,1,52,,,,,,,,,,,,,,,,
sandshrew,27,sandshrew,,red-blue,1,0,0,1,56,,,,,,,,,,,,,,,,
sandslash,28,sandslash,,red-blue,1,0,0,1,58,,,,,,,,,,,,,,,,
nidoran-f,29,nidoran-f,,red-blue,1,0,0,1,60,,,,,,,,,,,,,,,,
nidorina,30,nidorina,,red-blue,1,0,0,1,61,,,,,,,,,,,,,,,,
nidoqueen,31,nidoqueen,,red-blue,1,0,0,1,62,,,,,,,,,,,,,,,,
