pokemon,version_group,version,item,rarity
butterfree,ruby-sapphire,ruby,silver-powder,5
butterfree,ruby-sapphire,sapphire,silver-powder,5
butterfree,emerald,emerald,silver-powder,5
butterfree,firered-leafgreen,firered,silver-powder,5
butterfree,firered-leafgreen,leafgreen,silver-powder,5
butterfree,diamond-pearl,diamond,silver-powder,5
butterfree,diamond-pearl,pearl,silver-powder,5
butterfree,platinum,platinum,silver-powder,5
butterfree,heartgold-soulsilver,heartgold,silver-powder,5
butterfree,heartgold-soulsilver,soulsilver,silver-powder,5
butterfree,black-white,black,silver-powder,5
butterfree,black-white,white,silver-powder,5
butterfree,black-2-white-2,black-2,silver-powder,5
butterfree,black-2-white-2,white-2,silver-powder,5
butterfree,x-y,x,silver-powder,5
butterfree,x-y,y,silver-powder,5
butterfree,omega-ruby-alpha-sapphire,omega-ruby,silver-powder,5
butterfree,omega-ruby-alpha-sapphire,alpha-sapphire,silver-powder,5
butterfree,sun-moon,sun,silver-powder,5
butterfree,sun-moon,moon,silver-powder,5
butterfree,ultra-sun-ultra-moon,ultra-sun,silver-powder,5
butterfree,ultra-sun-ultra-moon,ultra-moon,silver-powder,5
beedrill,ruby-sapphire,ruby,poison-barb,5
beedrill,ruby-sapphire,sapphire,poison-barb,5
beedrill,emerald,emerald,poison-barb,5
beedrill,firered-leafgreen,firered,poison-barb,5
beedrill,firered-leafgreen,leafgreen,poison-barb,5
beedrill,diamond-pearl,diamond,poison-barb,5
beedrill,diamond-pearl,pearl,poison-barb,5
beedrill,platinum,platinum,poison-barb,5
beedrill,heartgold-soulsilver,heartgold,poison-barb,5
beedrill,heartgold-soulsilver,soulsilver,poison-barb,5
beedrill,black-white,black,poison-barb,5
beedrill,black-white,white,poison-barb,5
beedrill,black-2-white-2,black-2,poison-barb,5
beedrill,black-2-white-2,white-2,poison-barb,5
beedrill,x-y,x,poison-barb,5
beedrill,x-y,y,poison-barb,5
beedrill,omega-ruby-alpha-sapphire,omega-ruby,poison-barb,5
beedrill,omega-ruby-alpha-sapphire,alpha-sapphire,poison-barb,5
beedrill,sun-moon,sun,poison-barb,5
beedrill,sun-moon,moon,poison-barb,5
beedrill,ultra-sun-ultra-moon,ultra-sun,poison-barb,5
beedrill,ultra-sun-ultra-moon,ultra-moon,poison-barb,5
rattata,diamond-pearl,diamond,chilan-berry,5
rattata,diamond-pearl,pearl,chilan-berry,5
rattata,platinum,platinum,chilan-berry,5
rattata,heartgold-soulsilver,heartgold,chilan-berry,5
rattata,heartgold-soulsilver,soulsilver,chilan-berry,5
rattata,black-white,black,chilan-berry,5
rattata,black-white,white,chilan-berry,5
raticate,firered-leafgreen,firered,oran-berry,50
raticate,firered-leafgreen,firered,sitrus-berry,5
raticate,firered-leafgreen,leafgreen,oran-berry,50
raticate,firered-leafgreen,leafgreen,sitrus-berry,5
raticate,diamond-pearl,diamond,chilan-berry,5
raticate,diamond-pearl,pearl,chilan-berry,5
raticate,platinum,platinum,chilan-berry,5
raticate,heartgold-soulsilver,heartgold,chilan-berry,5
raticate,heartgold-soulsilver,soulsilver,chilan-berry,5
raticate,black-white,black,chilan-berry,5
raticate,black-white,white,chilan-berry,5
spearow,sun-moon,sun,sharp-beak,5
spearow,sun-moon,moon,sharp-beak,5
spearow,ultra-sun-ultra-moon,ultra-sun,sharp-beak,5
spearow,ultra-sun-ultra-moon,ultra-moon,sharp-beak,5
fearow,ruby-sapphire,ruby,sharp-beak,5
fearow,ruby-sapphire,sapphire,sharp-beak,5
fearow,emerald,emerald,sharp-beak,5
fearow,firered-leafgreen,firered,sharp-beak,5
fearow,firered-leafgreen,leafgreen,sharp-beak,5
fearow,diamond-pearl,diamond,sharp-beak,5
fearow,diamond-pearl,pearl,sharp-beak,5
fearow,platinum,platinum,sharp-beak,5
fearow,heartgold-soulsilver,heartgold,sharp-beak,5
fearow,heartgold-soulsilver,soulsilver,sharp-beak,5
fearow,black-white,black,sharp-beak,5
fearow,black-white,white,sharp-beak,5
fearow,black-2-white-2,black-2,sharp-beak,5
fearow,black-2-white-2,white-2,sharp-beak,5
fearow,x-y,x,sharp-beak,5
fearow,x-y,y,sharp-beak,5
fearow,omega-ruby-alpha-sapphire,omega-ruby,sharp-beak,5
fearow,omega-ruby-alpha-sapphire,alpha-sapphire,sharp-beak,5
fearow,sun-moon,sun,sharp-beak,5
fearow,sun-moon,moon,sharp-beak,5
fearow,ultra-sun-ultra-moon,ultra-sun,sharp-beak,5
fearow,ultra-sun-ultra-moon,ultra-moon,sharp-beak,5
arbok,firered-leafgreen,firered,poison-barb,5
arbok,firered-leafgreen,leafgreen,poison-barb,5
pikachu,ruby-sapphire,ruby,oran-berry,50
pikachu,ruby-sapphire,ruby,light-ball,5
pikachu,ruby-sapphire,sapphire,oran-berry,50
pikachu,ruby-sapphire,sapphire,light-ball,5
pikachu,emerald,emerald,oran-berry,50
pikachu,emerald,emerald,light-ball,5
pikachu,diamond-pearl,diamond,oran-berry,50
pikachu,diamond-pearl,diamond,light-ball,5
pikachu,diamond-pearl,pearl,oran-berry,50
pikachu,diamond-pearl,pearl,light-ball,5
pikachu,platinum,platinum,oran-berry,50
pikachu,platinum,platinum,light-ball,5
pikachu,heartgold-soulsilver,heartgold,oran-berry,50
pikachu,heartgold-soulsilver,heartgold,light-ball,5
