pokemon,version_group,version,item,rarity
bayleef,colosseum,colosseum,miracle-seed,100
quilava,colosseum,colosseum,charcoal,100
croconaw,colosseum,colosseum,mystic-water,100
misdreavus,colosseum,colosseum,spell-tag,100
qwilfish,colosseum,colosseum,poison-barb,100
meditite,colosseum,colosseum,twisted-spoon,100
sudowoodo,colosseum,colosseum,hard-stone,100
hitmontop,colosseum,colosseum,black-belt,100
piloswine,colosseum,colosseum,soft-sand,100
vibrava,colosseum,colosseum,dragon-fang,100
delibird,colosseum,colosseum,never-melt-ice,100
skarmory,colosseum,colosseum,sharp-beak,100
metagross,colosseum,colosseum,metal-coat,100
tyranitar,colosseum,colosseum,nugget,100
numel,xd,xd,charcoal,100
carvanha,xd,xd,black-glasses,100
voltorb,xd,xd,magnet,100
ralts,xd,xd,twisted-spoon,100
swinub,xd,xd,never-melt-ice,100
spearow,xd,xd,sharp-beak,100
seel,xd,xd,mystic-water,100
lunatone,xd,xd,hard-stone,100
zangoose,xd,xd,silk-scarf,100
beedrill,xd,xd,poison-barb,100
tangela,xd,xd,miracle-seed,100
magneton,xd,xd,metal-coat,100
venomoth,xd,xd,silver-powder,100
farfetchd,xd,xd,stick,100
altaria,xd,xd,dragon-fang,100
banette,xd,xd,spell-tag,100
hitmonlee,xd,xd,black-belt,100
chansey,xd,xd,lucky-punch,100
snorlax,xd,xd,leftovers,100
dugtrio,xd,xd,soft-sand,100
marowak,xd,xd,thick-club,100
