pokemon,hp,attack,defense,special_attack,special_defense,speed,ev_hp,ev_attack,ev_defense,ev_special_attack,ev_special_defense,ev_speed
bulbasaur,45,49,49,65,65,45,0,0,0,1,0,0
ivysaur,60,62,63,80,80,60,0,0,0,1,1,0
venusaur,80,82,83,100,100,80,0,0,0,2,1,0
charmander,39,52,43,60,50,65,0,0,0,0,0,1
charmeleon,58,64,58,80,65,80,0,0,0,1,0,1
charizard,78,84,78,109,85,100,0,0,0,3,0,0
squirtle,44,48,65,50,64,43,0,0,1,0,0,0
wartortle,59,63,80,65,80,58,0,0,1,0,1,0
blastoise,79,83,100,85,105,78,0,0,0,0,3,0
caterpie,45,30,35,20,20,45,1,0,0,0,0,0
metapod,50,20,55,25,25,30,0,0,2,0,0,0
butterfree,60,45,50,90,80,70,0,0,0,2,1,0
weedle,40,35,30,20,20,50,0,0,0,0,0,1
kakuna,45,25,50,25,25,35,0,0,2,0,0,0
beedrill,65,90,40,45,80,75,0,2,0,0,1,0
pidgey,40,45,40,35,35,56,0,0,0,0,0,1
pidgeotto,63,60,55,50,50,71,0,0,0,0,0,2
pidgeot,83,80,75,70,70,101,0,0,0,0,0,3
rattata,30,56,35,25,35,72,0,0,0,0,0,1
raticate,55,81,60,50,70,97,0,0,0,0,0,2
spearow,40,60,30,31,31,70,0,0,0,0,0,1
fearow,65,90,65,61,61,100,0,0,0,0,0,2
ekans,35,60,44,40,54,55,0,1,0,0,0,0
arbok,60,95,69,65,79,80,0,2,0,0,0,0
pikachu,35,55,40,50,50,90,0,0,0,0,0,2
raichu,60,90,55,90,80,110,0,0,0,0,0,3
sandshrew,50,75,85,20,30,40,0,0,1,0,0,0
sandslash,75,100,110,45,55,65,0,0,2,0,0,0
nidoran-f,55,47,52,40,40,41,1,0,0,0,0,0
nidorina,70,62,67,55,55,56,2,0,0,0,0,0
nidoqueen,90,92,87,75,85,76,3,0,0,0,0,0
nidoran-m,46,57,40,40,40,50,0,1,0,0,0,0
nidorino,61,72,57,55,55,65,0,2,0,0,0,0
nidoking,81,102,77,85,75,85,0,3,0,0,0,0
clefairy,70,45,48,60,65,35,2,0,0,0,0,0
clefable,95,70,73,95,90,60,3,0,0,0,0,0
vulpix,38,41,40,50,65,65,0,0,0,0,0,1
ninetales,73,76,75,81,100,100,0,0,0,0,1,1
jigglypuff,115,45,20,45,25,20,2,0,0,0,0,0
wigglytuff,140,70,45,85,50,45,3,0,0,0,0,0
zubat,40,45,35,30,40,55,0,0,0,0,0,1
golbat,75,80,70,65,75,90,0,0,0,0,0,2
oddish,45,50,55,75,65,30,0,0,0,1,0,0
gloom,60,65,70,85,75,40,0,0,0,2,0,0
vileplume,75,80,85,110,90,50,0,0,0,3,0,0
paras,35,70,55,45,55,25,0,1,0,0,0,0
parasect,60,95,80,60,80,30,0,2,1,0,0,0
venonat,60,55,50,40,55,45,0,0,0,0,1,0
venomoth,70,65,60,90,75,90,0,0,0,1,0,1
diglett,10,55,25,35,45,95,0,0,0,0,0,1
dugtrio,35,100,50,50,70,120,0,0,0,0,0,2
meowth,40,45,35,40,40,90,0,0,0,0,0,1
persian,65,70,60,65,65,115,0,0,0,0,0,2
psyduck,50,52,48,65,50,55,0,0,0,1,0,0
golduck,80,82,78,95,80,85,0,0,0,2,0,0
mankey,40,80,35,35,45,70,0,1,0,0,0,0
primeape,65,105,60,60,70,95,0,2,0,0,0,0
growlithe,55,70,45,70,50,60,0,1,0,0,0,0
arcanine,90,110,80,100,80,95,0,2,0,0,0,0
poliwag,40,50,40,40,40,90,0,0,0,0,0,1
poliwhirl,65,65,65,50,50,90,0,0,0,0,0,2
poliwrath,90,95,95,70,90,70,0,0,3,0,0,0
abra,25,20,15,105,55,90,0,0,0,1,0,0
kadabra,40,35,30,120,70,105,0,0,0,2,0,0
alakazam,55,50,45,135,95,120,0,0,0,3,0,0
machop,70,80,50,35,35,35,0,1,0,0,0,0
machoke,80,100,70,50,60,45,0,2,0,0,0,0
machamp,90,130,80,65,85,55,0,3,0,0,0,0
bellsprout,50,75,35,70,30,40,0,1,0,0,0,0
weepinbell,65,90,50,85,45,55,0,2,0,0,0,0
victreebel,80,105,65,100,70,70,0,3,0,0,0,0
tentacool,40,40,35,50,100,70,0,0,0,0,1,0
tentacruel,80,70,65,80,120,100,0,0,0,0,2,0
geodude,40,80,100,30,30,20,0,0,1,0,0,0
graveler,55,95,115,45,45,35,0,0,2,0,0,0
golem,80,120,130,55,65,45,0,0,3,0,0,0
ponyta,50,85,55,65,65,90,0,0,0,0,0,1
rapidash,65,100,70,80,80,105,0,0,0,0,0,2
slowpoke,90,65,65,40,40,15,1,0,0,0,0,0
slowbro,95,75,110,100,80,30,0,0,2,0,0,0
magnemite,25,35,70,95,55,45,0,0,0,1,0,0
magneton,50,60,95,120,70,70,0,0,0,2,0,0
farfetchd,52,90,55,58,62,60,0,1,0,0,0,0
doduo,35,85,45,35,35,75,0,1,0,0,0,0
dodrio,60,110,70,60,60,110,0,2,0,0,0,0
seel,65,45,55,45,70,45,0,0,0,0,1,0
dewgong,90,70,80,70,95,70,0,0,0,0,2,0
grimer,80,80,50,40,50,25,1,0,0,0,0,0
muk,105,105,75,65,100,50,1,1,0,0,0,0
shellder,30,65,100,45,25,40,0,0,1,0,0,0
cloyster,50,95,180,85,45,70,0,0,2,0,0,0
gastly,30,35,30,100,35,80,0,0,0,1,0,0
haunter,45,50,45,115,55,95,0,0,0,2,0,0
gengar,60,65,60,130,75,110,0,0,0,3,0,0
onix,35,45,160,30,45,70,0,0,1,0,0,0
drowzee,60,48,45,43,90,42,0,0,0,0,1,0
hypno,85,73,70,73,115,67,0,0,0,0,2,0
krabby,30,105,90,25,25,50,0,1,0,0,0,0
kingler,55,130,115,50,50,75,0,2,0,0,0,0
voltorb,40,30,50,55,55,100,0,0,0,0,0,1
electrode,60,50,70,80,80,150,0,0,0,0,0,2
exeggcute,60,40,80,60,45,40,0,0,1,0,0,0
exeggutor,95,95,85,125,75,55,0,0,0,2,0,0
cubone,50,50,95,40,50,35,0,0,1,0,0,0
marowak,60,80,110,50,80,45,0,0,2,0,0,0
hitmonlee,50,120,53,35,110,87,0,2,0,0,0,0
hitmonchan,50,105,79,35,110,76,0,0,0,0,2,0
lickitung,90,55,75,60,75,30,2,0,0,0,0,0
koffing,40,65,95,60,45,35,0,0,1,0,0,0
weezing,65,90,120,85,70,60,0,0,2,0,0,0
rhyhorn,80,85,95,30,30,25,0,0,1,0,0,0
rhydon,105,130,120,45,45,40,0,2,0,0,0,0
chansey,250,5,5,35,105,50,2,0,0,0,0,0
tangela,65,55,115,100,40,60,0,0,1,0,0,0
kangaskhan,105,95,80,40,80,90,2,0,0,0,0,0
horsea,30,40,70,70,25,60,0,0,0,1,0,0
seadra,55,65,95,95,45,85,0,0,1,1,0,0
goldeen,45,67,60,35,50,63,0,1,0,0,0,0
seaking,80,92,65,65,80,68,0,2,0,0,0,0
staryu,30,45,55,70,55,85,0,0,0,0,0,1
starmie,60,75,85,100,85,115,0,0,0,0,0,2
mr-mime,40,45,65,100,120,90,0,0,0,0,2,0
scyther,70,110,80,55,80,105,0,1,0,0,0,0
jynx,65,50,35,115,95,95,0,0,0,2,0,0
electabuzz,65,83,57,95,85,105,0,0,0,0,0,2
magmar,65,95,57,100,85,93,0,0,0,2,0,0
pinsir,65,125,100,55,70,85,0,2,0,0,0,0
tauros,75,100,95,40,70,110,0,1,0,0,0,1
magikarp,20,10,55,15,20,80,0,0,0,0,0,1
gyarados,95,125,79,60,100,81,0,2,0,0,0,0
lapras,130,85,80,85,95,60,2,0,0,0,0,0
ditto,48,48,48,48,48,48,1,0,0,0,0,0
eevee,55,55,50,45,65,55,0,0,0,0,1,0
vaporeon,130,65,60,110,95,65,2,0,0,0,0,0
jolteon,65,65,60,110,95,130,0,0,0,0,0,2
flareon,65,130,60,95,110,65,0,2,0,0,0,0
porygon,65,60,70,85,75,40,0,0,0,1,0,0
omanyte,35,40,100,90,55,35,0,0,1,0,0,0
omastar,70,60,125,115,70,55,0,0,2,0,0,0
kabuto,30,80,90,55,45,55,0,0,1,0,0,0
kabutops,60,115,105,65,70,80,0,2,0,0,0,0
aerodactyl,80,105,65,60,75,130,0,0,0,0,0,2
snorlax,160,110,65,65,110,30,2,0,0,0,0,0
articuno,90,85,100,95,125,85,0,0,0,0,3,0
zapdos,90,90,85,125,90,100,0,0,0,3,0,0
moltres,90,100,90,125,85,90,0,0,0,3,0,0
dratini,41,64,45,50,50,50,0,1,0,0,0,0
dragonair,61,84,65,70,70,70,0,2,0,0,0,0
dragonite,91,134,95,100,100,80,0,3,0,0,0,0
mewtwo,106,110,90,154,90,130,0,0,0,3,0,0
mew,100,100,100,100,100,100,3,0,0,0,0,0
chikorita,45,49,65,49,65,45,0,0,0,0,1,0
bayleef,60,62,80,63,80,60,0,0,1,0,1,0
meganium,80,82,100,83,100,80,0,0,1,0,2,0
cyndaquil,39,52,43,60,50,65,0,0,0,0,0,1
quilava,58,64,58,80,65,80,0,0,0,1,0,1
typhlosion,78,84,78,109,85,100,0,0,0,3,0,0
totodile,50,65,64,44,48,43,0,1,0,0,0,0
croconaw,65,80,80,59,63,58,0,1,1,0,0,0
feraligatr,85,105,100,79,83,78,0,2,1,0,0,0
sentret,35,46,34,35,45,20,0,1,0,0,0,0
furret,85,76,64,45,55,90,0,0,0,0,0,2
hoothoot,60,30,30,36,56,50,1,0,0,0,0,0
noctowl,100,50,50,86,96,70,2,0,0,0,0,0
ledyba,40,20,30,40,80,55,0,0,0,0,1,0
ledian,55,35,50,55,110,85,0,0,0,0,2,0
spinarak,40,60,40,40,40,30,0,1,0,0,0,0
ariados,70,90,70,60,70,40,0,2,0,0,0,0
crobat,85,90,80,70,80,130,0,0,0,0,0,3
chinchou,75,38,38,56,56,67,1,0,0,0,0,0
lanturn,125,58,58,76,76,67,2,0,0,0,0,0
pichu,20,40,15,35,35,60,0,0,0,0,0,1
cleffa,50,25,28,45,55,15,0,0,0,0,1,0
igglybuff,90,30,15,40,20,15,1,0,0,0,0,0
togepi,35,20,65,40,65,20,0,0,0,0,1,0
togetic,55,40,85,80,105,40,0,0,0,0,2,0
natu,40,50,45,70,45,70,0,0,0,1,0,0
xatu,65,75,70,95,70,95,0,0,0,1,0,1
mareep,55,40,40,65,45,35,0,0,0,1,0,0
flaaffy,70,55,55,80,60,45,0,0,0,2,0,0
ampharos,90,75,85,115,90,55,0,0,0,3,0,0
bellossom,75,80,95,90,100,50,0,0,0,0,3,0
marill,70,20,50,20,50,40,2,0,0,0,0,0
azumarill,100,50,80,60,80,50,3,0,0,0,0,0
sudowoodo,70,100,115,30,65,30,0,0,2,0,0,0
politoed,90,75,75,90,100,70,0,0,0,0,3,0
hoppip,35,35,40,35,55,50,0,0,0,0,1,0
skiploom,55,45,50,45,65,80,0,0,0,0,0,2
jumpluff,75,55,70,55,95,110,0,0,0,0,0,3
aipom,55,70,55,40,55,85,0,0,0,0,0,1
sunkern,30,30,30,30,30,30,0,0,0,1,0,0
sunflora,75,75,55,105,85,30,0,0,0,2,0,0
yanma,65,65,45,75,45,95,0,0,0,0,0,1
wooper,55,45,45,25,25,15,1,0,0,0,0,0
quagsire,95,85,85,65,65,35,2,0,0,0,0,0
espeon,65,65,60,130,95,110,0,0,0,2,0,0
umbreon,95,65,110,60,130,65,0,0,0,0,2,0
murkrow,60,85,42,85,42,91,0,0,0,0,0,1
slowking,95,75,80,100,110,30,0,0,0,0,2,0
misdreavus,60,60,60,85,85,85,0,0,0,0,1,0
unown,48,72,48,72,48,48,0,1,0,1,0,0
wobbuffet,190,33,58,33,58,33,2,0,0,0,0,0
girafarig,70,80,65,90,65,85,0,0,0,2,0,0
pineco,50,65,90,35,35,15,0,0,1,0,0,0
forretress,75,90,140,60,60,40,0,0,2,0,0,0
dunsparce,100,70,70,65,65,45,1,0,0,0,0,0
gligar,65,75,105,35,65,85,0,0,1,0,0,0
steelix,75,85,200,55,65,30,0,0,2,0,0,0
snubbull,60,80,50,40,40,30,0,1,0,0,0,0
granbull,90,120,75,60,60,45,0,2,0,0,0,0
qwilfish,65,95,85,55,55,85,0,1,0,0,0,0
scizor,70,130,100,55,80,65,0,2,0,0,0,0
shuckle,20,10,230,10,230,5,0,0,1,0,1,0
heracross,80,125,75,40,95,85,0,2,0,0,0,0
sneasel,55,95,55,35,75,115,0,0,0,0,0,1
teddiursa,60,80,50,50,50,40,0,1,0,0,0,0
ursaring,90,130,75,75,75,55,0,2,0,0,0,0
slugma,40,40,40,70,40,20,0,0,0,1,0,0
magcargo,60,50,120,90,80,30,0,0,2,0,0,0
swinub,50,50,40,30,30,50,0,1,0,0,0,0
piloswine,100,100,80,60,60,50,1,1,0,0,0,0
corsola,65,55,95,65,95,35,0,0,1,0,1,0
remoraid,35,65,35,65,35,65,0,0,0,1,0,0
octillery,75,105,75,105,75,45,0,1,0,1,0,0
delibird,45,55,45,65,45,75,0,0,0,0,0,1
mantine,85,40,70,80,140,70,0,0,0,0,2,0
skarmory,65,80,140,40,70,70,0,0,2,0,0,0
houndour,45,60,30,80,50,65,0,0,0,1,0,0
houndoom,75,90,50,110,80,95,0,0,0,2,0,0
kingdra,75,95,95,95,95,85,0,1,0,1,1,0
phanpy,90,60,60,40,40,40,1,0,0,0,0,0
donphan,90,120,120,60,60,50,0,1,1,0,0,0
porygon2,85,80,90,105,95,60,0,0,0,2,0,0
stantler,73,95,62,85,65,85,0,1,0,0,0,0
smeargle,55,20,35,20,45,75,0,0,0,0,0,1
tyrogue,35,35,35,35,35,35,0,1,0,0,0,0
hitmontop,50,95,95,35,110,70,0,0,0,0,2,0
smoochum,45,30,15,85,65,65,0,0,0,1,0,0
elekid,45,63,37,65,55,95,0,0,0,0,0,1
magby,45,75,37,70,55,83,0,0,0,0,0,1
miltank,95,80,105,40,70,100,0,0,2,0,0,0
blissey,255,10,10,75,135,55,3,0,0,0,0,0
raikou,90,85,75,115,100,115,0,0,0,1,0,2
entei,115,115,85,90,75,100,1,2,0,0,0,0
suicune,100,75,115,90,115,85,0,0,1,0,2,0
larvitar,50,64,50,45,50,41,0,1,0,0,0,0
pupitar,70,84,70,65,70,51,0,2,0,0,0,0
tyranitar,100,134,110,95,100,61,0,3,0,0,0,0
lugia,106,90,130,90,154,110,0,0,0,0,3,0
ho-oh,106,130,90,110,154,90,0,0,0,0,3,0
celebi,100,100,100,100,100,100,3,0,0,0,0,0
treecko,40,45,35,65,55,70,0,0,0,0,0,1
grovyle,50,65,45,85,65,95,0,0,0,0,0,2
sceptile,70,85,65,105,85,120,0,0,0,0,0,3
torchic,45,60,40,70,50,45,0,0,0,1,0,0
combusken,60,85,60,85,60,55,0,1,0,1,0,0
blaziken,80,120,70,110,70,80,0,3,0,0,0,0
mudkip,50,70,50,50,50,40,0,1,0,0,0,0
marshtomp,70,85,70,60,70,50,0,2,0,0,0,0
swampert,100,110,90,85,90,60,0,3,0,0,0,0
poochyena,35,55,35,30,30,35,0,1,0,0,0,0
mightyena,70,90,70,60,60,70,0,2,0,0,0,0
zigzagoon,38,30,41,30,41,60,0,0,0,0,0,1
linoone,78,70,61,50,61,100,0,0,0,0,0,2
wurmple,45,45,35,20,30,20,1,0,0,0,0,0
silcoon,50,35,55,25,25,15,0,0,2,0,0,0
beautifly,60,70,50,100,50,65,0,0,0,3,0,0
cascoon,50,35,55,25,25,15,0,0,2,0,0,0
dustox,60,50,70,50,90,65,0,0,0,0,3,0
lotad,40,30,30,40,50,30,0,0,0,0,1,0
lombre,60,50,50,60,70,50,0,0,0,0,2,0
ludicolo,80,70,70,90,100,70,0,0,0,0,3,0
seedot,40,40,50,30,30,30,0,0,1,0,0,0
nuzleaf,70,70,40,60,40,60,0,2,0,0,0,0
shiftry,90,100,60,90,60,80,0,3,0,0,0,0
taillow,40,55,30,30,30,85,0,0,0,0,0,1
swellow,60,85,60,75,50,125,0,0,0,0,0,2
wingull,40,30,30,55,30,85,0,0,0,0,0,1
pelipper,60,50,100,95,70,65,0,0,2,0,0,0
ralts,28,25,25,45,35,40,0,0,0,1,0,0
kirlia,38,35,35,65,55,50,0,0,0,2,0,0
gardevoir,68,65,65,125,115,80,0,0,0,3,0,0
surskit,40,30,32,50,52,65,0,0,0,0,0,1
masquerain,70,60,62,100,82,80,0,0,0,1,1,0
shroomish,60,40,60,40,60,35,1,0,0,0,0,0
breloom,60,130,80,60,60,70,0,2,0,0,0,0
slakoth,60,60,60,35,35,30,1,0,0,0,0,0
vigoroth,80,80,80,55,55,90,0,0,0,0,0,2
slaking,150,160,100,95,65,100,3,0,0,0,0,0
nincada,31,45,90,30,30,40,0,0,1,0,0,0
ninjask,61,90,45,50,50,160,0,0,0,0,0,2
shedinja,1,90,45,30,30,40,2,0,0,0,0,0
whismur,64,51,23,51,23,28,1,0,0,0,0,0
loudred,84,71,43,71,43,48,2,0,0,0,0,0
exploud,104,91,63,91,73,68,3,0,0,0,0,0
makuhita,72,60,30,20,30,25,1,0,0,0,0,0
hariyama,144,120,60,40,60,50,2,0,0,0,0,0
azurill,50,20,40,20,40,20,1,0,0,0,0,0
nosepass,30,45,135,45,90,30,0,0,1,0,0,0
skitty,50,45,45,35,35,50,0,0,0,0,0,1
delcatty,70,65,65,55,55,90,1,0,0,0,0,1
sableye,50,75,75,65,65,50,0,1,1,0,0,0
mawile,50,85,85,55,55,50,0,1,1,0,0,0
aron,50,70,100,40,40,30,0,0,1,0,0,0
lairon,60,90,140,50,50,40,0,0,2,0,0,0
aggron,70,110,180,60,60,50,0,0,3,0,0,0
meditite,30,40,55,40,55,60,0,0,0,0,0,1
medicham,60,60,75,60,75,80,0,0,0,0,0,2
electrike,40,45,40,65,40,65,0,0,0,0,0,1
manectric,70,75,60,105,60,105,0,0,0,0,0,2
plusle,60,50,40,85,75,95,0,0,0,0,0,1
minun,60,40,50,75,85,95,0,0,0,0,0,1
volbeat,65,73,75,47,85,85,0,0,0,0,0,1
illumise,65,47,75,73,85,85,0,0,0,0,0,1
roselia,50,60,45,100,80,65,0,0,0,2,0,0
gulpin,70,43,53,43,53,40,1,0,0,0,0,0
swalot,100,73,83,73,83,55,2,0,0,0,0,0
carvanha,45,90,20,65,20,65,0,1,0,0,0,0
sharpedo,70,120,40,95,40,95,0,2,0,0,0,0
wailmer,130,70,35,70,35,60,1,0,0,0,0,0
wailord,170,90,45,90,45,60,2,0,0,0,0,0
numel,60,60,40,65,45,35,0,0,0,1,0,0
camerupt,70,100,70,105,75,40,0,1,0,1,0,0
torkoal,70,85,140,85,70,20,0,0,2,0,0,0
spoink,60,25,35,70,80,60,0,0,0,0,1,0
grumpig,80,45,65,90,110,80,0,0,0,0,2,0
spinda,60,60,60,60,60,60,0,0,0,1,0,0
trapinch,45,100,45,45,45,10,0,1,0,0,0,0
vibrava,50,70,50,50,50,70,0,1,0,0,0,1
flygon,80,100,80,80,80,100,0,1,0,0,0,2
cacnea,50,85,40,85,40,35,0,0,0,1,0,0
cacturne,70,115,60,115,60,55,0,1,0,1,0,0
swablu,45,40,60,40,75,50,0,0,0,0,1,0
altaria,75,70,90,70,105,80,0,0,0,0,2,0
zangoose,73,115,60,60,60,90,0,2,0,0,0,0
seviper,73,100,60,100,60,65,0,1,0,1,0,0
lunatone,90,55,65,95,85,70,0,0,0,2,0,0
solrock,90,95,85,55,65,70,0,2,0,0,0,0
barboach,50,48,43,46,41,60,1,0,0,0,0,0
whiscash,110,78,73,76,71,60,2,0,0,0,0,0
corphish,43,80,65,50,35,35,0,1,0,0,0,0
crawdaunt,63,120,85,90,55,55,0,2,0,0,0,0
baltoy,40,40,55,40,70,55,0,0,0,0,1,0
claydol,60,70,105,70,120,75,0,0,0,0,2,0
lileep,66,41,77,61,87,23,0,0,0,0,1,0
cradily,86,81,97,81,107,43,0,0,0,0,2,0
anorith,45,95,50,40,50,75,0,1,0,0,0,0
armaldo,75,125,100,70,80,45,0,2,0,0,0,0
feebas,20,15,20,10,55,80,0,0,0,0,0,1
milotic,95,60,79,100,125,81,0,0,0,0,2,0
castform,70,70,70,70,70,70,1,0,0,0,0,0
kecleon,60,90,70,60,120,40,0,0,0,0,1,0
shuppet,44,75,35,63,33,45,0,1,0,0,0,0
banette,64,115,65,83,63,65,0,2,0,0,0,0
duskull,20,40,90,30,90,25,0,0,0,0,1,0
dusclops,40,70,130,60,130,25,0,0,1,0,1,0
tropius,99,68,83,72,87,51,2,0,0,0,0,0
chimecho,75,50,80,95,90,65,0,0,0,1,1,0
absol,65,130,60,75,60,75,0,2,0,0,0,0
wynaut,95,23,48,23,48,23,1,0,0,0,0,0
snorunt,50,50,50,50,50,50,1,0,0,0,0,0
glalie,80,80,80,80,80,80,2,0,0,0,0,0
spheal,70,40,50,55,50,25,1,0,0,0,0,0
sealeo,90,60,70,75,70,45,2,0,0,0,0,0
walrein,110,80,90,95,90,65,3,0,0,0,0,0
clamperl,35,64,85,74,55,32,0,0,1,0,0,0
huntail,55,104,105,94,75,52,0,1,1,0,0,0
gorebyss,55,84,105,114,75,52,0,0,0,2,0,0
relicanth,100,90,130,45,65,55,1,0,1,0,0,0
luvdisc,43,30,55,40,65,97,0,0,0,0,0,1
bagon,45,75,60,40,30,50,0,1,0,0,0,0
shelgon,65,95,100,60,50,50,0,0,2,0,0,0
salamence,95,135,80,110,80,100,0,3,0,0,0,0
beldum,40,55,80,35,60,30,0,0,1,0,0,0
metang,60,75,100,55,80,50,0,0,2,0,0,0
metagross,80,135,130,95,90,70,0,0,3,0,0,0
regirock,80,100,200,50,100,50,0,0,3,0,0,0
regice,80,50,100,100,200,50,0,0,0,0,3,0
registeel,80,75,150,75,150,50,0,0,2,0,1,0
latias,80,80,90,110,130,110,0,0,0,0,3,0
latios,80,90,80,130,110,110,0,0,0,3,0,0
kyogre,100,100,90,150,140,90,0,0,0,3,0,0
groudon,100,150,140,100,90,90,0,3,0,0,0,0
rayquaza,105,150,90,150,90,95,0,2,0,1,0,0
jirachi,100,100,100,100,100,100,3,0,0,0,0,0
deoxys-normal,50,150,50,150,50,150,0,1,0,1,0,1
turtwig,55,68,64,45,55,31,0,1,0,0,0,0
grotle,75,89,85,55,65,36,0,1,1,0,0,0
torterra,95,109,105,75,85,56,0,2,1,0,0,0
chimchar,44,58,44,58,44,61,0,0,0,0,0,1
monferno,64,78,52,78,52,81,0,0,0,1,0,1
infernape,76,104,71,104,71,108,0,1,0,1,0,1
piplup,53,51,53,61,56,40,0,0,0,1,0,0
prinplup,64,66,68,81,76,50,0,0,0,2,0,0
empoleon,84,86,88,111,101,60,0,0,0,3,0,0
starly,40,55,30,30,30,60,0,0,0,0,0,1
staravia,55,75,50,40,40,80,0,0,0,0,0,2
staraptor,85,120,70,50,60,100,0,3,0,0,0,0
bidoof,59,45,40,35,40,31,1,0,0,0,0,0
bibarel,79,85,60,55,60,71,0,2,0,0,0,0
kricketot,37,25,41,25,41,25,0,0,1,0,0,0
kricketune,77,85,51,55,51,65,0,2,0,0,0,0
shinx,45,65,34,40,34,45,0,1,0,0,0,0
luxio,60,85,49,60,49,60,0,2,0,0,0,0
luxray,80,120,79,95,79,70,0,3,0,0,0,0
budew,40,30,35,50,70,55,0,0,0,1,0,0
roserade,60,70,65,125,105,90,0,0,0,3,0,0
cranidos,67,125,40,30,30,58,0,1,0,0,0,0
rampardos,97,165,60,65,50,58,0,2,0,0,0,0
shieldon,30,42,118,42,88,30,0,0,1,0,0,0
bastiodon,60,52,168,47,138,30,0,0,2,0,0,0
burmy,40,29,45,29,45,36,0,0,0,0,1,0
wormadam-plant,60,59,85,79,105,36,0,0,0,0,2,0
mothim,70,94,50,94,50,66,0,1,0,1,0,0
combee,30,30,42,30,42,70,0,0,0,0,0,1
vespiquen,70,80,102,80,102,40,0,0,1,0,1,0
pachirisu,60,45,70,45,90,95,0,0,0,0,0,1
buizel,55,65,35,60,30,85,0,0,0,0,0,1
floatzel,85,105,55,85,50,115,0,0,0,0,0,2
cherubi,45,35,45,62,53,35,0,0,0,1,0,0
cherrim,70,60,70,87,78,85,0,0,0,2,0,0
shellos,76,48,48,57,62,34,1,0,0,0,0,0
gastrodon,111,83,68,92,82,39,2,0,0,0,0,0
ambipom,75,100,66,60,66,115,0,0,0,0,0,2
drifloon,90,50,34,60,44,70,1,0,0,0,0,0
drifblim,150,80,44,90,54,80,2,0,0,0,0,0
buneary,55,66,44,44,56,85,0,0,0,0,0,1
lopunny,65,76,84,54,96,105,0,0,0,0,0,2
mismagius,60,60,60,105,105,105,0,0,0,1,1,0
honchkrow,100,125,52,105,52,71,0,2,0,0,0,0
glameow,49,55,42,42,37,85,0,0,0,0,0,1
purugly,71,82,64,64,59,112,0,0,0,0,0,2
chingling,45,30,50,65,50,45,0,0,0,1,0,0
stunky,63,63,47,41,41,74,0,0,0,0,0,1
skuntank,103,93,67,71,61,84,2,0,0,0,0,0
bronzor,57,24,86,24,86,23,0,0,1,0,0,0
bronzong,67,89,116,79,116,33,0,0,1,0,1,0
bonsly,50,80,95,10,45,10,0,0,1,0,0,0
mime-jr,20,25,45,70,90,60,0,0,0,0,1,0
happiny,100,5,5,15,65,30,1,0,0,0,0,0
chatot,76,65,45,92,42,91,0,1,0,0,0,0
spiritomb,50,92,108,92,108,35,0,0,1,0,1,0
gible,58,70,45,40,45,42,0,1,0,0,0,0
gabite,68,90,65,50,55,82,0,2,0,0,0,0
garchomp,108,130,95,80,85,102,0,3,0,0,0,0
munchlax,135,85,40,40,85,5,1,0,0,0,0,0
riolu,40,70,40,35,40,60,0,1,0,0,0,0
lucario,70,110,70,115,70,90,0,1,0,1,0,0
