pokemon,last_generation,stat,base_stat,effort
bulbasaur,1,special,65,0
ivysaur,1,special,80,0
venusaur,1,special,100,0
charmander,1,special,50,0
charmeleon,1,special,65,0
charizard,1,special,85,0
squirtle,1,special,50,0
wartortle,1,special,65,0
blastoise,1,special,85,0
caterpie,1,special,20,0
metapod,1,special,25,0
butterfree,1,special,80,0
weedle,1,special,20,0
kakuna,1,special,25,0
beedrill,1,special,45,0
pidgey,1,special,35,0
pidgeotto,1,special,50,0
pidgeot,1,special,70,0
rattata,1,special,25,0
raticate,1,special,50,0
spearow,1,special,31,0
fearow,1,special,61,0
ekans,1,special,40,0
arbok,1,special,65,0
pikachu,1,special,50,0
raichu,1,special,90,0
sandshrew,1,special,30,0
sandslash,1,special,55,0
nidoran-f,1,special,40,0
nidorina,1,special,55,0
nidoqueen,1,special,75,0
nidoran-m,1,special,40,0
nidorino,1,special,55,0
nidoking,1,special,75,0
clefairy,1,special,60,0
clefable,1,special,85,0
vulpix,1,special,65,0
ninetales,1,special,100,0
jigglypuff,1,special,25,0
wigglytuff,1,special,50,0
zubat,1,special,40,0
golbat,1,special,75,0
oddish,1,special,75,0
gloom,1,special,85,0
vileplume,1,special,100,0
paras,1,special,55,0
parasect,1,special,80,0
venonat,1,special,40,0
venomoth,1,special,90,0
diglett,1,special,45,0
dugtrio,1,special,70,0
meowth,1,special,40,0
persian,1,special,65,0
psyduck,1,special,50,0
golduck,1,special,80,0
mankey,1,special,35,0
primeape,1,special,60,0
growlithe,1,special,50,0
arcanine,1,special,80,0
poliwag,1,special,40,0
poliwhirl,1,special,50,0
poliwrath,1,special,70,0
abra,1,special,105,0
kadabra,1,special,120,0
alakazam,1,special,135,0
machop,1,special,35,0
machoke,1,special,50,0
machamp,1,special,65,0
bellsprout,1,special,70,0
weepinbell,1,special,85,0
victreebel,1,special,100,0
tentacool,1,special,100,0
tentacruel,1,special,120,0
geodude,1,special,30,0
graveler,1,special,45,0
golem,1,special,55,0
ponyta,1,special,65,0
rapidash,1,special,80,0
slowpoke,1,special,40,0
slowbro,1,special,80,0
magnemite,1,special,95,0
magneton,1,special,120,0
farfetchd,1,special,58,0
doduo,1,special,35,0
dodrio,1,special,60,0
seel,1,special,70,0
dewgong,1,special,95,0
grimer,1,special,40,0
muk,1,special,65,0
shellder,1,special,45,0
cloyster,1,special,85,0
gastly,1,special,100,0
haunter,1,special,115,0
gengar,1,special,130,0
onix,1,special,30,0
drowzee,1,special,90,0
hypno,1,special,115,0
krabby,1,special,25,0
kingler,1,special,50,0
voltorb,1,special,55,0
electrode,1,special,80,0
exeggcute,1,special,60,0
exeggutor,1,special,125,0
cubone,1,special,40,0
marowak,1,special,50,0
hitmonlee,1,special,35,0
hitmonchan,1,special,35,0
lickitung,1,special,60,0
koffing,1,special,60,0
weezing,1,special,85,0
rhyhorn,1,special,30,0
rhydon,1,special,45,0
chansey,1,special,105,0
tangela,1,special,100,0
kangaskhan,1,special,40,0
horsea,1,special,70,0
seadra,1,special,95,0
goldeen,1,special,50,0
seaking,1,special,80,0
staryu,1,special,70,0
starmie,1,special,100,0
mr-mime,1,special,100,0
scyther,1,special,55,0
jynx,1,special,95,0
electabuzz,1,special,85,0
magmar,1,special,85,0
pinsir,1,special,55,0
tauros,1,special,70,0
magikarp,1,special,20,0
gyarados,1,special,100,0
lapras,1,special,95,0
ditto,1,special,48,0
eevee,1,special,65,0
vaporeon,1,special,110,0
jolteon,1,special,110,0
flareon,1,special,110,0
porygon,1,special,75,0
omanyte,1,special,90,0
omastar,1,special,115,0
kabuto,1,special,45,0
kabutops,1,special,70,0
aerodactyl,1,special,60,0
snorlax,1,special,65,0
articuno,1,special,125,0
zapdos,1,special,125,0
moltres,1,special,125,0
dratini,1,special,50,0
dragonair,1,special,70,0
dragonite,1,special,100,0
mewtwo,1,special,154,0
mew,1,special,100,0
yanma,3,speed,95,2
misdreavus,3,special-attack,85,1
blissey,3,hp,255,2
roselia,3,special-attack,100,1
duskull,3,defense,90,1
dusclops,3,special-defense,130,2
butterfree,5,special-attack,80,2
beedrill,5,attack,80,2
pidgeot,5,speed,91,3
pikachu,5,defense,30,0
pikachu,5,special-defense,40,0
raichu,5,speed,100,0
nidoqueen,5,attack,82,0
nidoking,5,attack,92,3
clefable,5,special-attack,85,0
wigglytuff,5,special-attack,75,0
vileplume,5,special-attack,100,3
poliwrath,5,attack,85,0
alakazam,5,special-defense,85,3
victreebel,5,special-defense,60,0
golem,5,attack,110,0
ampharos,5,defense,75,0
bellossom,5,defense,85,0
azumarill,5,special-attack,50,0
jumpluff,5,special-defense,85,0
beautifly,5,special-attack,90,3
exploud,5,special-defense,63,0
staraptor,5,special-defense,50,0
roserade,5,defense,55,0
stoutland,5,attack,100,0
unfezant,5,attack,105,3
gigalith,5,special-defense,70,0
seismitoad,5,attack,85,0
leavanny,5,special-defense,70,0
scolipede,5,attack,90,0
krookodile,5,defense,70,0
arbok,6,attack,85,2
dugtrio,6,attack,80,0
alakazam-mega,6,special-defense,95,3
farfetchd,6,attack,65,1
dodrio,6,speed,100,0
electrode,6,speed,140,0
exeggutor,6,special-defense,65,0
noctowl,6,special-attack,76,0
ariados,6,special-defense,60,0
qwilfish,6,defense,75,0
magcargo,6,hp,50,0
magcargo,6,special-attack,80,0
corsola,6,hp,55,0
corsola,6,defense,85,1
corsola,6,special-defense,85,1
mantine,6,hp,65,0
swellow,6,special-attack,50,0
pelipper,6,special-attack,85,0
masquerain,6,special-attack,80,1
masquerain,6,speed,60,0
delcatty,6,speed,70,0
volbeat,6,defense,55,0
volbeat,6,special-defense,75,0
illumise,6,defense,55,0
illumise,6,special-defense,75,0
lunatone,6,hp,70,0
solrock,6,hp,70,0
chimecho,6,hp,65,0
chimecho,6,defense,70,0
chimecho,6,special-defense,80,1
woobat,6,hp,55,0
crustle,6,attack,95,0
beartic,6,attack,110,0
cryogonal,6,hp,70,0
cryogonal,6,attack,30,0
slowking,7,special-defense,110,3
aegislash-shield,7,defense,150,2
aegislash-shield,7,special-defense,150,1
aegislash-blade,7,attack,150,2
aegislash-blade,7,special-attack,150,1
cresselia,8,defense,120,0
cresselia,8,special-defense,130,3
zacian,8,attack,130,0
zacian-crowned,8,attack,170,0
zamazenta,8,attack,130,0
zamazenta-crowned,8,attack,130,0
zamazenta-crowned,8,defense,145,0
zamazenta-crowned,8,special-defense,145,0
