pokemon,last_generation,type_1,type_2
clefairy,5,normal,
clefable,5,normal,
jigglypuff,5,normal,
wigglytuff,5,normal,
magnemite,1,electric,
magneton,1,electric,
mr-mime,5,psychic,
cleffa,5,normal,
igglybuff,5,normal,
togepi,5,normal,
togetic,5,normal,flying
marill,5,water,
azumarill,5,water,
snubbull,5,normal,
granbull,5,normal,
ralts,5,psychic,
kirlia,5,psychic,
gardevoir,5,psychic,
azurill,5,normal,
mawile,5,steel,
mime-jr,5,psychic,
togekiss,5,normal,flying
cottonee,5,grass,
whimsicott,5,grass,
rotom-heat,4,electric,ghost
rotom-wash,4,electric,ghost
rotom-frost,4,electric,ghost
rotom-fan,4,electric,ghost
rotom-mow,4,electric,ghost
