species,identifier,generation,evolves_from_species,evolution_chain_id,color,shape,habitat,gender_rate,percent_male,capture_rate,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,is_baby,is_ultra_beast,is_paradox,is_fossil,is_first_partner,origin_region,order,conquest_order
1,bulbasaur,1,,1,green,quadruped,grassland,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,1,kanto,1,
2,ivysaur,1,1,1,green,quadruped,grassland,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,2,
3,venusaur,1,2,1,green,quadruped,grassland,1,87.5,45,20,1,medium-slow,1,0,0,0,0,0,0,0,kanto,3,
4,charmander,1,,2,red,upright,mountain,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,1,kanto,4,109
5,charmeleon,1,4,2,red,upright,mountain,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,5,110
6,charizard,1,5,2,red,upright,mountain,1,87.5,45,20,0,medium-slow,1,0,0,0,0,0,0,0,kanto,6,111
7,squirtle,1,,3,blue,upright,waters-edge,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,1,kanto,7,
8,wartortle,1,7,3,blue,upright,waters-edge,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,8,
9,blastoise,1,8,3,blue,upright,waters-edge,1,87.5,45,20,0,medium-slow,1,0,0,0,0,0,0,0,kanto,9,
10,caterpie,1,,4,green,armor,forest,4,50,255,15,0,medium,0,0,0,0,0,0,0,0,kanto,10,
11,metapod,1,10,4,green,squiggle,forest,4,50,120,15,0,medium,0,0,0,0,0,0,0,0,kanto,11,
12,butterfree,1,11,4,white,bug-wings,forest,4,50,45,15,1,medium,0,0,0,0,0,0,0,0,kanto,12,
13,weedle,1,,5,brown,armor,forest,4,50,255,15,0,medium,0,0,0,0,0,0,0,0,kanto,13,
14,kakuna,1,13,5,yellow,squiggle,forest,4,50,120,15,0,medium,0,0,0,0,0,0,0,0,kanto,14,
15,beedrill,1,14,5,yellow,bug-wings,forest,4,50,45,15,0,medium,1,0,0,0,0,0,0,0,kanto,15,177
16,pidgey,1,,6,brown,wings,forest,4,50,255,15,0,medium-slow,0,0,0,0,0,0,0,0,kanto,16,
17,pidgeotto,1,16,6,brown,wings,forest,4,50,120,15,0,medium-slow,0,0,0,0,0,0,0,0,kanto,17,
18,pidgeot,1,17,6,brown,wings,forest,4,50,45,15,0,medium-slow,1,0,0,0,0,0,0,0,kanto,18,
19,rattata,1,,7,purple,quadruped,grassland,4,50,255,15,1,medium,0,0,0,0,0,0,0,0,kanto,19,
20,raticate,1,19,7,brown,quadruped,grassland,4,50,127,15,1,medium,0,0,0,0,0,0,0,0,kanto,20,
21,spearow,1,,8,brown,wings,rough-terrain,4,50,255,15,0,medium,0,0,0,0,0,0,0,0,kanto,21,
22,fearow,1,21,8,brown,wings,rough-terrain,4,50,90,15,0,medium,0,0,0,0,0,0,0,0,kanto,22,
23,ekans,1,,9,purple,squiggle,grassland,4,50,255,20,0,medium,0,0,0,0,0,0,0,0,kanto,23,54
24,arbok,1,23,9,purple,squiggle,grassland,4,50,90,20,0,medium,0,0,0,0,0,0,0,0,kanto,24,55
25,pikachu,1,172,10,yellow,quadruped,forest,4,50,190,10,1,medium,0,0,0,0,0,0,0,1,kanto,26,16
26,raichu,1,25,10,yellow,upright,forest,4,50,75,10,1,medium,0,0,0,0,0,0,0,0,kanto,27,17
27,sandshrew,1,,11,yellow,upright,rough-terrain,4,50,255,20,0,medium,0,0,0,0,0,0,0,0,kanto,28,
28,sandslash,1,27,11,yellow,upright,rough-terrain,4,50,90,20,0,medium,0,0,0,0,0,0,0,0,kanto,29,
29,nidoran-f,1,,12,blue,quadruped,grassland,8,0,235,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,30,
30,nidorina,1,29,12,blue,quadruped,grassland,8,0,120,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,31,
31,nidoqueen,1,30,12,blue,upright,grassland,8,0,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,32,
32,nidoran-m,1,,13,purple,quadruped,grassland,0,100,235,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,33,
33,nidorino,1,32,13,purple,quadruped,grassland,0,100,120,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,34,
34,nidoking,1,33,13,purple,upright,grassland,0,100,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,35,
35,clefairy,1,173,14,pink,upright,mountain,6,25,150,10,0,fast,0,0,0,0,0,0,0,0,kanto,37,
36,clefable,1,35,14,pink,upright,mountain,6,25,25,10,0,fast,0,0,0,0,0,0,0,0,kanto,38,
37,vulpix,1,,15,brown,quadruped,grassland,6,25,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,39,
38,ninetales,1,37,15,yellow,quadruped,grassland,6,25,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,40,
39,jigglypuff,1,174,16,pink,humanoid,grassland,6,25,170,10,0,fast,0,0,0,0,0,0,0,0,kanto,42,21
40,wigglytuff,1,39,16,pink,humanoid,grassland,6,25,50,10,0,fast,0,0,0,0,0,0,0,0,kanto,43,22
41,zubat,1,,17,purple,wings,cave,4,50,255,15,1,medium,0,0,0,0,0,0,0,0,kanto,44,23
42,golbat,1,41,17,purple,wings,cave,4,50,90,15,1,medium,0,0,0,0,0,0,0,0,kanto,45,24
43,oddish,1,,18,blue,legs,grassland,4,50,255,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,47,
44,gloom,1,43,18,blue,humanoid,grassland,4,50,120,20,1,medium-slow,0,0,0,0,0,0,0,0,kanto,48,
45,vileplume,1,44,18,red,humanoid,grassland,4,50,45,20,1,medium-slow,0,0,0,0,0,0,0,0,kanto,49,
46,paras,1,,19,red,armor,forest,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,51,
47,parasect,1,46,19,red,armor,forest,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,52,
48,venonat,1,,20,purple,humanoid,forest,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,53,
49,venomoth,1,48,20,purple,bug-wings,forest,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,54,
50,diglett,1,,21,brown,blob,cave,4,50,255,20,0,medium,0,0,0,0,0,0,0,0,kanto,55,
51,dugtrio,1,50,21,brown,heads,cave,4,50,50,20,0,medium,0,0,0,0,0,0,0,0,kanto,56,
52,meowth,1,,22,yellow,quadruped,urban,4,50,255,20,0,medium,0,0,0,0,0,0,0,0,kanto,57,58
53,persian,1,52,22,yellow,quadruped,urban,4,50,90,20,0,medium,0,0,0,0,0,0,0,0,kanto,58,59
54,psyduck,1,,23,yellow,upright,waters-edge,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,59,
55,golduck,1,54,23,blue,upright,waters-edge,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,60,
56,mankey,1,,24,brown,upright,mountain,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,61,
57,primeape,1,56,24,brown,upright,mountain,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,62,
58,growlithe,1,,25,brown,quadruped,grassland,2,75,190,20,0,slow,0,0,0,0,0,0,0,0,kanto,63,
59,arcanine,1,58,25,brown,quadruped,grassland,2,75,75,20,0,slow,0,0,0,0,0,0,0,0,kanto,64,
60,poliwag,1,,26,blue,legs,waters-edge,4,50,255,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,65,
61,poliwhirl,1,60,26,blue,humanoid,waters-edge,4,50,120,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,66,
62,poliwrath,1,61,26,blue,humanoid,waters-edge,4,50,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,67,
63,abra,1,,27,brown,upright,urban,2,75,200,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,69,127
64,kadabra,1,63,27,brown,upright,urban,2,75,100,20,1,medium-slow,0,0,0,0,0,0,0,0,kanto,70,128
65,alakazam,1,64,27,brown,humanoid,urban,2,75,50,20,1,medium-slow,1,0,0,0,0,0,0,0,kanto,71,129
66,machop,1,,28,gray,upright,mountain,2,75,180,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,72,98
67,machoke,1,66,28,gray,humanoid,mountain,2,75,90,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,73,99
68,machamp,1,67,28,gray,humanoid,mountain,2,75,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,74,100
69,bellsprout,1,,29,green,humanoid,forest,4,50,255,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,75,
70,weepinbell,1,69,29,green,blob,forest,4,50,120,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,76,
71,victreebel,1,70,29,green,blob,forest,4,50,45,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,77,
72,tentacool,1,,30,blue,tentacles,sea,4,50,190,20,0,slow,0,0,0,0,0,0,0,0,kanto,78,
73,tentacruel,1,72,30,blue,tentacles,sea,4,50,60,20,0,slow,0,0,0,0,0,0,0,0,kanto,79,
74,geodude,1,,31,brown,arms,mountain,4,50,255,15,0,medium-slow,0,0,0,0,0,0,0,0,kanto,80,
75,graveler,1,74,31,brown,humanoid,mountain,4,50,120,15,0,medium-slow,0,0,0,0,0,0,0,0,kanto,81,
76,golem,1,75,31,brown,humanoid,mountain,4,50,45,15,0,medium-slow,0,0,0,0,0,0,0,0,kanto,82,
77,ponyta,1,,32,yellow,quadruped,grassland,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,83,
78,rapidash,1,77,32,yellow,quadruped,grassland,4,50,60,20,0,medium,0,0,0,0,0,0,0,0,kanto,84,
79,slowpoke,1,,33,pink,quadruped,waters-edge,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,85,
80,slowbro,1,79,33,pink,upright,waters-edge,4,50,75,20,0,medium,1,0,0,0,0,0,0,0,kanto,86,
81,magnemite,1,,34,gray,arms,rough-terrain,-1,,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,88,
82,magneton,1,81,34,gray,heads,rough-terrain,-1,,60,20,0,medium,0,0,0,0,0,0,0,0,kanto,89,
83,farfetchd,1,,35,brown,wings,grassland,4,50,45,20,0,medium,0,0,0,0,0,0,0,0,kanto,91,
84,doduo,1,,36,brown,legs,grassland,4,50,190,20,1,medium,0,0,0,0,0,0,0,0,kanto,92,
85,dodrio,1,84,36,brown,legs,grassland,4,50,45,20,1,medium,0,0,0,0,0,0,0,0,kanto,93,
86,seel,1,,37,white,fish,sea,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,94,
87,dewgong,1,86,37,white,fish,sea,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,95,
88,grimer,1,,38,purple,arms,urban,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,96,
89,muk,1,88,38,purple,arms,urban,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,97,
90,shellder,1,,39,purple,ball,sea,4,50,190,20,0,slow,0,0,0,0,0,0,0,0,kanto,98,
91,cloyster,1,90,39,purple,ball,sea,4,50,60,20,0,slow,0,0,0,0,0,0,0,0,kanto,99,
92,gastly,1,,40,purple,ball,cave,4,50,190,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,100,112
93,haunter,1,92,40,purple,arms,cave,4,50,90,20,0,medium-slow,0,0,0,0,0,0,0,0,kanto,101,113
94,gengar,1,93,40,purple,upright,cave,4,50,45,20,0,medium-slow,1,0,0,0,0,0,0,0,kanto,102,114
95,onix,1,,41,gray,squiggle,cave,4,50,45,25,0,medium,0,0,0,0,0,0,0,0,kanto,103,175
96,drowzee,1,,42,yellow,humanoid,grassland,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,105,
