species,form,version_group,version,language,flavor_text
25,,legends-arceus,legends-arceus,en,"Possesses cheek sacs in which it stores electricity. This clever
forest-dweller roasts tough berries with an electric shock before
consuming them."
26,,legends-arceus,legends-arceus,en,"It can discharge bursts of electricity exceeding 100,000 volts—
a single strike with that amount of power would incapacitate one
of the Copperajah of my homeland."
35,,legends-arceus,legends-arceus,en,"It can be found in quiet mountain areas on a full moon's night.
Its dancing and its tiny, faintly glowing wings confer upon it a
lovely fairylike quality."
36,,legends-arceus,legends-arceus,en,"Legend says that on clear, quiet nights, it listens for the voices
of its kin living on the moon. I, too, often think of my homeland,
so far away."
37,,legends-arceus,legends-arceus,en,"In its belly burns a fire, which Vulpix spits out in the form of
fireballs. When young, this Pokémon has but one white tail.
As the Pokémon matures, this single tail splits into six."
38,,legends-arceus,legends-arceus,en,"The coat of gleaming golden fur is quite magnificent.
This species is said to store sacred power in its nine long tails
and to live for a millennium."
41,,legends-arceus,legends-arceus,en,"Makes its home in gloomy caves. Atrophied eyes have left this
Pokémon blind, so it scans its surroundings via sound waves that
it emits from its mouth as it flies."
42,,legends-arceus,legends-arceus,en,"It sinks its sharp fangs into other creatures and slurps up their
blood. A closer look at the fangs reveals that they are hollow
and akin to straws."
46,,legends-arceus,legends-arceus,en,"Sometimes seen at the foot of trees in humid forests.
The mushrooms on its back—called tochukaso—are not present
on infant specimens and instead emerge as Paras matures."
47,,legends-arceus,legends-arceus,en,"Mushroom-lacking specimens of this Pokémon lie unmoving in
the forest, lending credence to the hypothesis that the large
mushroom is in control of Parasect's actions."
54,,legends-arceus,legends-arceus,en,"Suffers perpetual headaches. If the agony grows too great,
Psyduck's latent power erupts, contrary to Psyduck's intent.
Ergo, I am exploring ways to ease the pain."
55,,legends-arceus,legends-arceus,en,"Its body is strong, and it has webbing on its hands and feet.
Golduck can swim easily through rough seas, clawing its way
through the high waves."
58,,legends-arceus,legends-arceus,en,"They patrol their territory in pairs. I believe the igneous
rock components in the fur of this species are the result of
volcanic activity in its habitat."
