species,form,version_group,version,language,flavor_text
460,,legends-za,legends-za,en,It blankets wide areas in snow by whipping up blizzards. It is also known as the Ice Monster.
460,abomasnow-mega,legends-za,legends-za,en,The buds on its back have sprouted into impressive icicles that can whip up massive blizzards of −22 degrees Fahrenheit.
63,,legends-za,legends-za,en,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.
359,,legends-za,legends-za,en,It senses coming disasters and appears before people only to warn them of impending danger.
359,absol-mega,legends-za,legends-za,en,"When this Pokémon whips the winglike fur on its back as though beating its wings, it sends an intimidating aura flying at its opponents."
359,absol-mega-z,legends-za,legends-za,en,"Using fur that it has made into sharp, clawlike shapes, it cuts down foes with a single blow. This is an act of kindness to keep them from suffering."
681,aegislash-blade,legends-za,legends-za,en,This stance is dedicated to offense. It can cleave any opponent with the strength and weight of its steel blade.
681,,legends-za,legends-za,en,"Apparently, it can detect the innate qualities of leadership. According to legend, whoever it recognizes is destined to rule."
142,,legends-za,legends-za,en,It was regenerated from a pterosaur's genetic matter that was found in amber. It flies with high- pitched cries.
142,aerodactyl-mega,legends-za,legends-za,en,Parts of its body have become stone. Some scholars claim that this is Aerodactyl's true appearance.
306,,legends-za,legends-za,en,"It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don't take it lightly."
306,aggron-mega,legends-za,legends-za,en,Energy from Mega Evolution has turned the iron inside this Pokémon into steel armor that covers Mega Aggron's whole body.
65,,legends-za,legends-za,en,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
65,alakazam-mega,legends-za,legends-za,en,"Alakazam has traded away its muscles, unleashing its true power. With its psychic powers, it can foresee all things."
334,,legends-za,legends-za,en,It flies gracefully through the sky. Its melodic humming makes you feel like you're in a dream.
334,altaria-mega,legends-za,legends-za,en,"Its down is so soft, it seems as if a touch could melt it. But it's strong enough that just a few strands could be used to hoist a dump truck."
698,,legends-za,legends-za,en,This ancient Pokémon was restored from a part of its body that had been frozen in ice for 100 million years.
591,,legends-za,legends-za,en,"They show off their Poké Ball caps in an attempt to lure prey close, but few Pokémon are fooled."
181,,legends-za,legends-za,en,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
181,ampharos-mega,legends-za,legends-za,en,"Massive amounts of energy intensely stimulated Ampharos's cells, apparently awakening its long- sleeping dragon's blood."
979,,legends-za,legends-za,en,Primape evolved into Annihilape after repeatedly using a move with enough force to burst the blood vessels in its head.
24,,legends-za,legends-za,en,"To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth."
997,,legends-za,legends-za,en,"Arctibax is armed with a bladed dorsal fin and a mask made of ice. It is agile in its movements, springing upon foes to deliver slashing attacks."
168,,legends-za,legends-za,en,It spins string not only from its rear but also from its mouth. It's hard to tell which end is which.
936,,legends-za,legends-za,en,"Though Armarouge pledges loyalty to its Trainer, it repeatedly leaves to go train on its own to strengthen its psychic energy."
683,,legends-za,legends-za,en,"Its scent is so overpowering that, unless they happen to really enjoy the smell, Trainers will have a hard time walking alongside it."
304,,legends-za,legends-za,en,"When it evolves, it sheds the steel carapace that covered its whole body and develops a new one."
531,,legends-za,legends-za,en,"It touches others with the feelers on its ears, using the sound of their heartbeats to check their emotions and physical health."
531,audino-mega,legends-za,legends-za,en,Anyone who touches the secondary feelers that have sprouted from the base of its throat will fall into a deep sleep.
699,,legends-za,legends-za,en,"The diamond-shaped crystals on its body expel air as cold as −240 degrees Fahrenheit, surrounding its enemies and encasing them in ice."
713,,legends-za,legends-za,en,Its ice-covered body is as hard as steel. Its enormous frame crushes anything that stands in its way.
713,avalugg-hisui,legends-za,legends-za,en,"With its icy jaw, it swiftly plows across snowy fields and mountains, in search of nutritious vegetables people have stored in the snow."
371,,legends-za,legends-za,en,Its well-developed neck muscles and ironlike head can smash boulders into pieces.
354,,legends-za,legends-za,en,"A doll bore a grudge over being junked, and it became a Pokémon. It seeks the child that disowned it."
354,banette-mega,legends-za,legends-za,en,"Mega Evolution increases its vindictiveness, and the cursing power that was held back by its zipper comes spilling out."
689,,legends-za,legends-za,en,"Barbaracle's legs and hands have minds of their own, and they will move independently. But they usually follow the head's orders."
689,barbaracle-mega,legends-za,legends-za,en,It uses its many arms to toy with its opponents. This keeps the head extremely busy.
998,,legends-za,legends-za,en,"Baxcalibur exhales air cold enough to freeze lava. It uses its breath to freeze foes, then pulverizes them with a blow from its tail."
998,baxcalibur-mega,legends-za,legends-za,en,Baxcalibur's dorsal blade has grown even more massive thanks to Mega Evolution. This Pokémon fires beams from the hilt at its solar plexus.
153,,legends-za,legends-za,en,The spicy aroma emanating from around its neck has an energizing effect.
15,,legends-za,legends-za,en,"They may appear in a swarm. Beedrill flies at violent speeds, all the while stabbing with the toxic stinger on its rear."
15,beedrill-mega,legends-za,legends-za,en,"Its legs have become poison stingers. It stabs its prey repeatedly with the stingers on its limbs, dealing the final blow with the stinger on its rear."
374,,legends-za,legends-za,en,"They communicate with one another by using magnetic pulses. In a swarm, they move in perfect unison."
69,,legends-za,legends-za,en,"Even though its body is extremely skinny, it is blindingly fast when catching its prey."
712,,legends-za,legends-za,en,"It blocks opponents' attacks with the ice that shields its body. If the ice breaks, this Pokémon uses cold air to quickly create new ice."
688,,legends-za,legends-za,en,"Two Binacle live together on one rock. When they fight, one of them will move to a different rock."
9,,legends-za,legends-za,en,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
9,blastoise-mega,legends-za,legends-za,en,The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon.
257,,legends-za,legends-za,en,It can jump powerfully enough to clear a 30-story building. It uses flaming punches to incinerate its opponents.
257,blaziken-mega,legends-za,legends-za,en,"Boiling-hot blood courses through its entire body, doubling the sharpness of its moves. It subdues opponents in the blink of an eye."
654,,legends-za,legends-za,en,"It keeps a twig in its tail. Using friction from its tail fur, it sets the twig on fire and launches into battle."
406,,legends-za,legends-za,en,"When it feels the sun's warm touch, it opens its bud to release pollen. It lives alongside clear pools."
1,,legends-za,legends-za,en,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
427,,legends-za,legends-za,en,One of Buneary's ears is always rolled up. It can be forcefully extended to shatter even a large boulder.
659,,legends-za,legends-za,en,They use their large ears to dig burrows. They will dig the whole night through without rest.
