species,genus_en,genus_ja,genus_ja_hrkt,genus_fr,genus_de,genus_es,genus_es_419,genus_it,genus_ko,genus_zh_hant,genus_zh_hans
1,Seed Pokémon,たねポケモン,たねポケモン,Pokémon Graine,Samen-Pokémon,Pokémon Semilla,Pokémon Semilla,Pokémon Seme,씨앗포켓몬,種子寶可夢,种子宝可梦
2,Seed Pokémon,たねポケモン,たねポケモン,Pokémon Graine,Samen-Pokémon,Pokémon Semilla,Pokémon Semilla,Pokémon Seme,씨앗포켓몬,種子寶可夢,种子宝可梦
3,Seed Pokémon,たねポケモン,たねポケモン,Pokémon Graine,Samen-Pokémon,Pokémon Semilla,Pokémon Semilla,Pokémon Seme,씨앗포켓몬,種子寶可夢,种子宝可梦
4,Lizard Pokémon,とかげポケモン,とかげポケモン,Pokémon Lézard,Echsen-Pokémon,Pokémon Lagartija,Pokémon Lagartija,Pokémon Lucertola,도롱뇽포켓몬,蜥蜴寶可夢,蜥蜴宝可梦
5,Flame Pokémon,かえんポケモン,かえんポケモン,Pokémon Flamme,Flammen-Pokémon,Pokémon Llama,Pokémon Llama,Pokémon Fiamma,화염포켓몬,火焰寶可夢,火焰宝可梦
6,Flame Pokémon,かえんポケモン,かえんポケモン,Pokémon Flamme,Flammen-Pokémon,Pokémon Llama,Pokémon Llama,Pokémon Fiamma,화염포켓몬,火焰寶可夢,火焰宝可梦
7,Tiny Turtle Pokémon,かめのこポケモン,かめのこポケモン,Pokémon Minitortue,Minikröten-Pokémon,Pokémon Tortuguita,Pokémon Tortuguita,Pokémon Tartaghina,꼬마거북포켓몬,小龜寶可夢,小龟宝可梦
8,Turtle Pokémon,かめポケモン,かめポケモン,Pokémon Tortue,Kröten-Pokémon,Pokémon Tortuga,Pokémon Tortuga,Pokémon Tartaruga,거북포켓몬,龜寶可夢,龟宝可梦
9,Shellfish Pokémon,こうらポケモン,こうらポケモン,Pokémon Carapace,Panzertier-Pokémon,Pokémon Armazón,Pokémon Armazón,Pokémon Crostaceo,껍질포켓몬,甲殼寶可夢,甲壳宝可梦
10,Worm Pokémon,いもむしポケモン,いもむしポケモン,Pokémon Ver,Wurm-Pokémon,Pokémon Gusano,Pokémon Gusano,Pokémon Baco,애벌레포켓몬,蟲寶寶寶可夢,虫宝宝宝可梦
11,Cocoon Pokémon,さなぎポケモン,さなぎポケモン,Pokémon Cocon,Kokon-Pokémon,Pokémon Capullo,Pokémon Capullo,Pokémon Bozzolo,번데기포켓몬,蛹寶可夢,蛹宝可梦
12,Butterfly Pokémon,ちょうちょポケモン,ちょうちょポケモン,Pokémon Papillon,Falter-Pokémon,Pokémon Mariposa,Pokémon Mariposa,Pokémon Farfalla,나비포켓몬,蝴蝶寶可夢,蝴蝶宝可梦
13,Hairy Bug Pokémon,けむしポケモン,けむしポケモン,Pokémon Insectopic,Raupe,Pokémon Oruga,Pokémon Oruga,Pokémon Millepiedi,송충이포켓몬,毛毛蟲寶可夢,毛毛虫宝可梦
14,Cocoon Pokémon,さなぎポケモン,さなぎポケモン,Pokémon Cocon,Kokon,Pokémon Capullo,Pokémon Capullo,Pokémon Bozzolo,번데기포켓몬,蛹寶可夢,蛹宝可梦
15,Poison Bee Pokémon,どくばちポケモン,どくばちポケモン,Pokémon Guêpoison,Giftbiene,Pokémon Abeja Veneno,Pokémon Abeja Veneno,Pokémon Velenape,독벌포켓몬,毒蜂寶可夢,毒蜂宝可梦
16,Tiny Bird Pokémon,ことりポケモン,ことりポケモン,Pokémon Minoiseau,Kleinvogel,Pokémon Pajarito,Pokémon Pajarito,Pokémon Uccellino,아기새포켓몬,小鳥寶可夢,小鸟宝可梦
17,Bird Pokémon,とりポケモン,とりポケモン,Pokémon Oiseau,Vogel,Pokémon Pájaro,Pokémon Pájaro,Pokémon Uccello,새포켓몬,鳥寶可夢,鸟宝可梦
18,Bird Pokémon,とりポケモン,とりポケモン,Pokémon Oiseau,Vogel,Pokémon Pájaro,Pokémon Pájaro,Pokémon Uccello,새포켓몬,鳥寶可夢,鸟宝可梦
19,Mouse Pokémon,ねずみポケモン,ねずみポケモン,Pokémon Souris,Maus,Pokémon Ratón,Pokémon Ratón,Pokémon Topo,쥐포켓몬,鼠寶可夢,鼠宝可梦
20,Mouse Pokémon,ねずみポケモン,ねずみポケモン,Pokémon Souris,Maus,Pokémon Ratón,Pokémon Ratón,Pokémon Topo,쥐포켓몬,鼠寶可夢,鼠宝可梦
21,Tiny Bird Pokémon,ことりポケモン,ことりポケモン,Pokémon Minoiseau,Kleinvogel,Pokémon Pajarito,Pokémon Pajarito,Pokémon Uccellino,아기새포켓몬,小鳥寶可夢,小鸟宝可梦
22,Beak Pokémon,くちばしポケモン,くちばしポケモン,Pokémon Bec-Oiseau,Pickvogel,Pokémon Pico,Pokémon Pico,Pokémon Becco,부리포켓몬,鳥嘴寶可夢,鸟嘴宝可梦
23,Snake Pokémon,へびポケモン,へびポケモン,Pokémon Serpent,Schlange,Pokémon Serpiente,Pokémon Serpiente,Pokémon Serpente,뱀포켓몬,蛇寶可夢,蛇宝可梦
24,Cobra Pokémon,コブラポケモン,コブラポケモン,Pokémon Cobra,Kobra,Pokémon Cobra,Pokémon Cobra,Pokémon Cobra,코브라포켓몬,眼鏡蛇寶可夢,眼镜蛇宝可梦
25,Mouse Pokémon,ねずみポケモン,ねずみポケモン,Pokémon Souris,Maus-Pokémon,Pokémon Ratón,Pokémon Ratón,Pokémon Topo,쥐포켓몬,鼠寶可夢,鼠宝可梦
26,Mouse Pokémon,ねずみポケモン,ねずみポケモン,Pokémon Souris,Maus-Pokémon,Pokémon Ratón,Pokémon Ratón,Pokémon Topo,쥐포켓몬,鼠寶可夢,鼠宝可梦
27,Mouse Pokémon,ねずみポケモン,ねずみポケモン,Pokémon Souris,Maus-Pokémon,Pokémon Ratón,Pokémon Ratón,Pokémon Topo,쥐포켓몬,鼠寶可夢,鼠宝可梦
28,Mouse Pokémon,ねずみポケモン,ねずみポケモン,Pokémon Souris,Maus-Pokémon,Pokémon Ratón,Pokémon Ratón,Pokémon Topo,쥐포켓몬,鼠寶可夢,鼠宝可梦
29,Poison Pin Pokémon,どくばりポケモン,どくばりポケモン,Pokémon Vénépic,Giftdorn-Pokémon,Pokémon Pin Veneno,Pokémon Pin Veneno,Pokémon Velenago,독침포켓몬,毒針寶可夢,毒针宝可梦
30,Poison Pin Pokémon,どくばりポケモン,どくばりポケモン,Pokémon Vénépic,Giftdorn-Pokémon,Pokémon Pin Veneno,Pokémon Pin Veneno,Pokémon Velenago,독침포켓몬,毒針寶可夢,毒针宝可梦
31,Drill Pokémon,ドリルポケモン,ドリルポケモン,Pokémon Perceur,Bohrer-Pokémon,Pokémon Taladro,Pokémon Taladro,Pokémon Trapano,드릴포켓몬,鑽錐寶可夢,钻锥宝可梦
32,Poison Pin Pokémon,どくばりポケモン,どくばりポケモン,Pokémon Vénépic,Giftdorn-Pokémon,Pokémon Pin Veneno,Pokémon Pin Veneno,Pokémon Velenago,독침포켓몬,毒針寶可夢,毒针宝可梦
33,Poison Pin Pokémon,どくばりポケモン,どくばりポケモン,Pokémon Vénépic,Giftdorn-Pokémon,Pokémon Pin Veneno,Pokémon Pin Veneno,Pokémon Velenago,독침포켓몬,毒針寶可夢,毒针宝可梦
34,Drill Pokémon,ドリルポケモン,ドリルポケモン,Pokémon Perceur,Bohrer-Pokémon,Pokémon Taladro,Pokémon Taladro,Pokémon Trapano,드릴포켓몬,鑽錐寶可夢,钻锥宝可梦
35,Fairy Pokémon,ようせいポケモン,ようせいポケモン,Pokémon Fée,Feen-Pokémon,Pokémon Hada,Pokémon Hada,Pokémon Fata,요정포켓몬,妖精寶可夢,妖精宝可梦
36,Fairy Pokémon,ようせいポケモン,ようせいポケモン,Pokémon Fée,Feen-Pokémon,Pokémon Hada,Pokémon Hada,Pokémon Fata,요정포켓몬,妖精寶可夢,妖精宝可梦
37,Fox Pokémon,きつねポケモン,きつねポケモン,Pokémon Renard,Fuchs-Pokémon,Pokémon Zorro,Pokémon Zorro,Pokémon Volpe,여우포켓몬,狐狸寶可夢,狐狸宝可梦
38,Fox Pokémon,きつねポケモン,きつねポケモン,Pokémon Renard,Fuchs-Pokémon,Pokémon Zorro,Pokémon Zorro,Pokémon Volpe,여우포켓몬,狐狸寶可夢,狐狸宝可梦
39,Balloon Pokémon,ふうせんポケモン,ふうせんポケモン,Pokémon Bouboule,Ballon-Pokémon,Pokémon Globo,Pokémon Globo,Pokémon Pallone,풍선포켓몬,氣球寶可夢,气球宝可梦
40,Balloon Pokémon,ふうせんポケモン,ふうせんポケモン,Pokémon Bouboule,Ballon-Pokémon,Pokémon Globo,Pokémon Globo,Pokémon Pallone,풍선포켓몬,氣球寶可夢,气球宝可梦
41,Bat Pokémon,こうもりポケモン,こうもりポケモン,Pokémon Chovsouris,Fledermaus-Pokémon,Pokémon Murciélago,Pokémon Murciélago,Pokémon Pipistrello,박쥐포켓몬,蝙蝠寶可夢,蝙蝠宝可梦
42,Bat Pokémon,こうもりポケモン,こうもりポケモン,Pokémon Chovsouris,Fledermaus-Pokémon,Pokémon Murciélago,Pokémon Murciélago,Pokémon Pipistrello,박쥐포켓몬,蝙蝠寶可夢,蝙蝠宝可梦
43,Weed Pokémon,ざっそうポケモン,ざっそうポケモン,Pokémon Racine,Unkraut-Pokémon,Pokémon Hierbajo,Pokémon Hierbajo,Pokémon Malerba,잡초포켓몬,雜草寶可夢,杂草宝可梦
44,Weed Pokémon,ざっそうポケモン,ざっそうポケモン,Pokémon Racine,Unkraut-Pokémon,Pokémon Hierbajo,Pokémon Hierbajo,Pokémon Malerba,잡초포켓몬,雜草寶可夢,杂草宝可梦
45,Flower Pokémon,フラワーポケモン,フラワーポケモン,Pokémon Fleur,Blumen-Pokémon,Pokémon Flor,Pokémon Flor,Pokémon Fiore,꽃포켓몬,花寶可夢,花宝可梦
46,Mushroom Pokémon,きのこポケモン,きのこポケモン,Pokémon Champignon,Pilz,Pokémon Hongo,Pokémon Hongo,Pokémon Fungo,버섯포켓몬,蘑菇寶可夢,蘑菇宝可梦
47,Mushroom Pokémon,きのこポケモン,きのこポケモン,Pokémon Champignon,Pilz,Pokémon Hongo,Pokémon Hongo,Pokémon Fungo,버섯포켓몬,蘑菇寶可夢,蘑菇宝可梦
48,Insect Pokémon,こんちゅうポケモン,こんちゅうポケモン,Pokémon Vermine,Insekt,Pokémon Insecto,Pokémon Insecto,Pokémon Insetto,곤충포켓몬,昆蟲寶可夢,昆虫宝可梦
49,Poison Moth Pokémon,どくがポケモン,どくがポケモン,Pokémon Papipoison,Giftmotte,Pokémon Polilla Ven.,Pokémon Polilla Ven.,Pokémon Velentarma,독나방포켓몬,毒蛾寶可夢,毒蛾宝可梦
50,Mole Pokémon,もぐらポケモン,もぐらポケモン,Pokémon Taupe,Maulwurf-Pokémon,Pokémon Topo,Pokémon Topo,Pokémon Talpa,두더지포켓몬,鼴鼠寶可夢,鼹鼠宝可梦
51,Mole Pokémon,もぐらポケモン,もぐらポケモン,Pokémon Taupe,Maulwurf-Pokémon,Pokémon Topo,Pokémon Topo,Pokémon Talpa,두더지포켓몬,鼴鼠寶可夢,鼹鼠宝可梦
52,Scratch Cat Pokémon,ばけねこポケモン,ばけねこポケモン,Pokémon Chadégout,Katzen-Pokémon,Pokémon Gato Araña,Pokémon Gato Araña,Pokémon Graffimiao,요괴고양이포켓몬,妖怪貓寶可夢,妖怪猫宝可梦
53,Classy Cat Pokémon,シャムネコポケモン,シャムネコポケモン,Pokémon Chadeville,Rassekatzen-Pokémon,Pokémon Gato Fino,Pokémon Gato Fino,Pokémon Nobilgatto,샴고양이포켓몬,暹羅貓寶可夢,暹罗猫宝可梦
54,Duck Pokémon,あひるポケモン,あひるポケモン,Pokémon Canard,Enten-Pokémon,Pokémon Pato,Pokémon Pato,Pokémon Papero,오리포켓몬,鴨寶可夢,鸭宝可梦
55,Duck Pokémon,あひるポケモン,あひるポケモン,Pokémon Canard,Enten-Pokémon,Pokémon Pato,Pokémon Pato,Pokémon Papero,오리포켓몬,鴨寶可夢,鸭宝可梦
56,Pig Monkey Pokémon,ぶたざるポケモン,ぶたざるポケモン,Pokémon Porsinge,Schwein/Affe,Pokémon Mono Cerdo,Pokémon Mono Cerdo,Pokémon Suinpanzé,돈숭이포켓몬,豬猴寶可夢,猪猴宝可梦
57,Pig Monkey Pokémon,ぶたざるポケモン,ぶたざるポケモン,Pokémon Porsinge,Schwein/Affe,Pokémon Mono Cerdo,Pokémon Mono Cerdo,Pokémon Suinpanzé,돈숭이포켓몬,豬猴寶可夢,猪猴宝可梦
58,Puppy Pokémon,こいぬポケモン,こいぬポケモン,Pokémon Chiot,Welpen-Pokémon,Pokémon Perrito,Pokémon Perrito,Pokémon Cagnolino,강아지포켓몬,小狗寶可夢,小狗宝可梦
