species,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_latn
1,Bulbasaur,フシギダネ,フシギダネ,Fushigidane,Bulbizarre,Bisasam,Bulbasaur,Bulbasaur,Bulbasaur,이상해씨,Isanghaessi,妙蛙種子,妙蛙种子,Miàowāzhǒngzǐ
2,Ivysaur,フシギソウ,フシギソウ,Fushigisou,Herbizarre,Bisaknosp,Ivysaur,Ivysaur,Ivysaur,이상해풀,Isanghaepul,妙蛙草,妙蛙草,Miàowācǎo
3,Venusaur,フシギバナ,フシギバナ,Fushigibana,Florizarre,Bisaflor,Venusaur,Venusaur,Venusaur,이상해꽃,Isanghaekkot,妙蛙花,妙蛙花,Miàowāhuā
4,Charmander,ヒトカゲ,ヒトカゲ,Hitokage,Salamèche,Glumanda,Charmander,Charmander,Charmander,파이리,Pairi,小火龍,小火龙,Xiǎohuǒlóng
5,Charmeleon,リザード,リザード,Lizardo,Reptincel,Glutexo,Charmeleon,Charmeleon,Charmeleon,리자드,Rijadeu,火恐龍,火恐龙,Huǒkǒnglóng
6,Charizard,リザードン,リザードン,Lizardon,Dracaufeu,Glurak,Charizard,Charizard,Charizard,리자몽,Rijamong,噴火龍,喷火龙,Pēnhuǒlóng
7,Squirtle,ゼニガメ,ゼニガメ,Zenigame,Carapuce,Schiggy,Squirtle,Squirtle,Squirtle,꼬부기,Kkobugi,傑尼龜,杰尼龟,Jiéníguī
8,Wartortle,カメール,カメール,Kameil,Carabaffe,Schillok,Wartortle,Wartortle,Wartortle,어니부기,Eonibugi,卡咪龜,卡咪龟,Kǎmīguī
9,Blastoise,カメックス,カメックス,Kamex,Tortank,Turtok,Blastoise,Blastoise,Blastoise,거북왕,Geobugwang,水箭龜,水箭龟,Shuǐjiànguī
10,Caterpie,キャタピー,キャタピー,Caterpie,Chenipan,Raupy,Caterpie,Caterpie,Caterpie,캐터피,Kaeteopi,綠毛蟲,绿毛虫,Lǜmáochóng
11,Metapod,トランセル,トランセル,Transel,Chrysacier,Safcon,Metapod,Metapod,Metapod,단데기,Dandegi,鐵甲蛹,铁甲蛹,Tiějiáyǒng
12,Butterfree,バタフリー,バタフリー,Butterfree,Papilusion,Smettbo,Butterfree,Butterfree,Butterfree,버터플,Beoteopeul,巴大蝶,巴大蝶,Bādàdié
13,Weedle,ビードル,ビードル,Beedle,Aspicot,Hornliu,Weedle,Weedle,Weedle,뿔충이,Ppulchungi,獨角蟲,独角虫,Dújiǎochóng
14,Kakuna,コクーン,コクーン,Cocoon,Coconfort,Kokuna,Kakuna,Kakuna,Kakuna,딱충이,Ttakchungi,鐵殼蛹,铁壳蛹,Tiěkéyǒng
15,Beedrill,スピアー,スピアー,Spear,Dardargnan,Bibor,Beedrill,Beedrill,Beedrill,독침붕,Dokchimbung,大針蜂,大针蜂,Dàzhēnfēng
16,Pidgey,ポッポ,ポッポ,Poppo,Roucool,Taubsi,Pidgey,Pidgey,Pidgey,구구,Gugu,波波,波波,Bōbō
17,Pidgeotto,ピジョン,ピジョン,Pigeon,Roucoups,Tauboga,Pidgeotto,Pidgeotto,Pidgeotto,피죤,Pijyon,比比鳥,比比鸟,Bǐbǐniǎo
18,Pidgeot,ピジョット,ピジョット,Pigeot,Roucarnage,Tauboss,Pidgeot,Pidgeot,Pidgeot,피죤투,Pijyontu,大比鳥,大比鸟,Dàbǐniǎo
19,Rattata,コラッタ,コラッタ,Koratta,Rattata,Rattfratz,Rattata,Rattata,Rattata,꼬렛,Kkoret,小拉達,小拉达,Xiǎolādá
20,Raticate,ラッタ,ラッタ,Ratta,Rattatac,Rattikarl,Raticate,Raticate,Raticate,레트라,Reteura,拉達,拉达,Lādá
21,Spearow,オニスズメ,オニスズメ,Onisuzume,Piafabec,Habitak,Spearow,Spearow,Spearow,깨비참,Kkaebicham,烈雀,烈雀,Lièquè
22,Fearow,オニドリル,オニドリル,Onidrill,Rapasdepic,Ibitak,Fearow,Fearow,Fearow,깨비드릴조,Kkaebideuriljo,大嘴雀,大嘴雀,Dàzuǐquè
23,Ekans,アーボ,アーボ,Arbo,Abo,Rettan,Ekans,Ekans,Ekans,아보,Abo,阿柏蛇,阿柏蛇,Ābóshé
24,Arbok,アーボック,アーボック,Arbok,Arbok,Arbok,Arbok,Arbok,Arbok,아보크,Abokeu,阿柏怪,阿柏怪,Ābóguài
25,Pikachu,ピカチュウ,ピカチュウ,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,피카츄,Pikachyu,皮卡丘,皮卡丘,Píkǎqiū
26,Raichu,ライチュウ,ライチュウ,Raichu,Raichu,Raichu,Raichu,Raichu,Raichu,라이츄,Raichyu,雷丘,雷丘,Léiqiū
27,Sandshrew,サンド,サンド,Sand,Sabelette,Sandan,Sandshrew,Sandshrew,Sandshrew,모래두지,Moraeduji,穿山鼠,穿山鼠,Chuānshānshǔ
28,Sandslash,サンドパン,サンドパン,Sandpan,Sablaireau,Sandamer,Sandslash,Sandslash,Sandslash,고지,Goji,穿山王,穿山王,Chuānshānwáng
29,Nidoran♀,ニドラン♀,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,Nideureonamkeot,尼多蘭,尼多兰,Níduōlán
30,Nidorina,ニドリーナ,ニドリーナ,Nidorina,Nidorina,Nidorina,Nidorina,Nidorina,Nidorina,니드리나,Nideurina,尼多娜,尼多娜,Níduōnà
31,Nidoqueen,ニドクイン,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,Nideukwin,尼多后,尼多后,Níduōhòu
32,Nidoran♂,ニドラン♂,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,Nideureonsukeot,尼多朗,尼多朗,Níduōláng
33,Nidorino,ニドリーノ,ニドリーノ,Nidorino,Nidorino,Nidorino,Nidorino,Nidorino,Nidorino,니드리노,Nideurino,尼多力諾,尼多力诺,Níduōlìnuò
34,Nidoking,ニドキング,ニドキング,Nidoking,Nidoking,Nidoking,Nidoking,Nidoking,Nidoking,니드킹,Nideuking,尼多王,尼多王,Níduōwáng
35,Clefairy,ピッピ,ピッピ,Pippi,Mélofée,Piepi,Clefairy,Clefairy,Clefairy,삐삐,Ppippi,皮皮,皮皮,Pípí
36,Clefable,ピクシー,ピクシー,Pixy,Mélodelfe,Pixi,Clefable,Clefable,Clefable,픽시,Piksi,皮可西,皮可西,Píkěxī
37,Vulpix,ロコン,ロコン,Rokon,Goupix,Vulpix,Vulpix,Vulpix,Vulpix,식스테일,Sikseuteil,六尾,六尾,Liùwěi
38,Ninetales,キュウコン,キュウコン,Kyukon,Feunard,Vulnona,Ninetales,Ninetales,Ninetales,나인테일,Nainteil,九尾,九尾,Jiǔwěi
39,Jigglypuff,プリン,プリン,Purin,Rondoudou,Pummeluff,Jigglypuff,Jigglypuff,Jigglypuff,푸린,Purin,胖丁,胖丁,Pàngdīng
40,Wigglytuff,プクリン,プクリン,Pukurin,Grodoudou,Knuddeluff,Wigglytuff,Wigglytuff,Wigglytuff,푸크린,Pukeurin,胖可丁,胖可丁,Pàngkědīng
41,Zubat,ズバット,ズバット,Zubat,Nosferapti,Zubat,Zubat,Zubat,Zubat,주뱃,Jubaet,超音蝠,超音蝠,Chāoyīnfú
42,Golbat,ゴルバット,ゴルバット,Golbat,Nosferalto,Golbat,Golbat,Golbat,Golbat,골뱃,Golbaet,大嘴蝠,大嘴蝠,Dàzuǐfú
43,Oddish,ナゾノクサ,ナゾノクサ,Nazonokusa,Mystherbe,Myrapla,Oddish,Oddish,Oddish,뚜벅쵸,Ttubeokchyo,走路草,走路草,Zǒulùcǎo
44,Gloom,クサイハナ,クサイハナ,Kusaihana,Ortide,Duflor,Gloom,Gloom,Gloom,냄새꼬,Naemsaekko,臭臭花,臭臭花,Chòuchòuhuā
45,Vileplume,ラフレシア,ラフレシア,Ruffresia,Rafflesia,Giflor,Vileplume,Vileplume,Vileplume,라플레시아,Rapeullesia,霸王花,霸王花,Bàwánghuā
46,Paras,パラス,パラス,Paras,Paras,Paras,Paras,Paras,Paras,파라스,Paraseu,派拉斯,派拉斯,Pàilāsī
47,Parasect,パラセクト,パラセクト,Parasect,Parasect,Parasek,Parasect,Parasect,Parasect,파라섹트,Parasekteu,派拉斯特,派拉斯特,Pàilāsītè
48,Venonat,コンパン,コンパン,Kongpang,Mimitoss,Bluzuk,Venonat,Venonat,Venonat,콘팡,Konpang,毛球,毛球,Máoqiú
49,Venomoth,モルフォン,モルフォン,Morphon,Aéromite,Omot,Venomoth,Venomoth,Venomoth,도나리,Donari,摩魯蛾,摩鲁蛾,Mólǔ'é
50,Diglett,ディグダ,ディグダ,Digda,Taupiqueur,Digda,Diglett,Diglett,Diglett,디그다,Digeuda,地鼠,地鼠,Dìshǔ
51,Dugtrio,ダグトリオ,ダグトリオ,Dugtrio,Triopikeur,Digdri,Dugtrio,Dugtrio,Dugtrio,닥트리오,Dakteurio,三地鼠,三地鼠,Sāndìshǔ
52,Meowth,ニャース,ニャース,Nyarth,Miaouss,Mauzi,Meowth,Meowth,Meowth,나옹,Naong,喵喵,喵喵,Miāomiāo
53,Persian,ペルシアン,ペルシアン,Persian,Persian,Snobilikat,Persian,Persian,Persian,페르시온,Pereusion,貓老大,猫老大,Māolǎodà
54,Psyduck,コダック,コダック,Koduck,Psykokwak,Enton,Psyduck,Psyduck,Psyduck,고라파덕,Gorapadeok,可達鴨,可达鸭,Kědáyā
55,Golduck,ゴルダック,ゴルダック,Golduck,Akwakwak,Entoron,Golduck,Golduck,Golduck,골덕,Goldeok,哥達鴨,哥达鸭,Gēdáyā
56,Mankey,マンキー,マンキー,Mankey,Férosinge,Menki,Mankey,Mankey,Mankey,망키,Mangki,猴怪,猴怪,Hóuguài
57,Primeape,オコリザル,オコリザル,Okorizaru,Colossinge,Rasaff,Primeape,Primeape,Primeape,성원숭,Seongwonsung,火爆猴,火暴猴,Huǒbàohóu
