status_condition,short_effect,long_effect
burn,"Deals <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of maximum {HP;STAT;HP} each turn and reduces damage of {PHYSICAL;CATEGORY;physical} moves by 50%.","The <i>Burn</i> status condition (BRN) has 2 primary effects:
<ul>
  <li>deals damage equal to <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of the target's maximum {HP;STAT;HP} each turn</li>
  <li>reduces the damage dealt by the target's {physical;CATEGORY;physical} moves by 50%<br/>
  </li>
</ul>
Most <i>Burn</i> causing moves are {FIRE;TYPE;Fire}-type.<br/>
{FIRE;TYPE;Fire}-type Pokémon can not be burned.<br/><br/>
Direct damage dealing moves and effects are not affected by the damage reduction.<br/>
<br>
<h4>
  Effects that interact with the <i>Burn</i> status condition:
</h4>
Pokémon with the ability {Water Veil;ABILITY;water-veil}, {Water Bubble;ABILITY;water-bubble}, {Comatose;ABILITY;comatose} or {Purifying Salt;ABILITY;purifying-salt} are completely immune to <i>Burn</i>.<br/>
Pokémon with the ability {Guts;ABILITY;guts} or after using the move {Facade;MOVE;facade} ignore the damage reduction.<br/>
Pokémon with the ability {Heatproof;ABILITY;heatproof} only take half of the <i>burn</i> damage.<br/>
Pokémon with the ability {Magic Guard;ABILITY;magic-guard} are immune to the damage but not the damage reducing effect.<br/>
Pokémon with the ability {Leaf Guard;ABILITY;leaf-guard} only prevents <i>burns</i> during {harsh sunlight;WEATHER;HARSHSUNLIGHT}<br/>
Pokémon with the ability {Flame Body;ABILITY;flame-body} have a 30% chance to <i>burn</i> enemies that make contact with them.<br/>
Pokémon with the ability {Natural Cure;ABILITY;natural-cure} are cured after switching out.<br/>
Pokémon with the ability {Hydration;ABILITY;hydration} are cured during {rain;WEATHER;RAIN}<br/>
Pokémon with the ability {Shed Skin;ABILITY;shed-skin} have a 30% chance to be cured at the end of each turn.<br/>
If the target has the ability {Synchronize;ABILITY;synchronize}, the user will also be <i>burned</i>.<br/>
A Pokémon holding a {Flame Orb;ITEM;flame-orb} will be <i>burned</i> at the end of the turn.<br/>
{Safeguard;MOVE;safeguard} and {Misty Terrain;MOVE;misty-terrain} protect the user's party from being burned.<br/>
Pokémon behind a {Substitute;MOVE;substitute} can only receive <i>burn</i> through Synchronize or a held Flame Orb.<br/><br/>
Pokémon with the abilities Guts, {Marvel Scale;ABILITY;marvel-scale}, {Quick Feet;ABILITY;quick-feet} and {Flare Boost;ABILITY;flare-boost} can receive benefits by being <i>burned</i>.<br/><br/>
{Rest;MOVE;rest}, {Refresh;MOVE;refresh} cure the user.<br/>
{Aromatherapy;MOVE;aromatherapy} and {Heal Bell;MOVE;heal-bell} cure the user's entire party.<br/>
{Sparkling Aria;MOVE;sparkling-aria} cures any Pokémon that receives damage.<br/>
<br/>
<h4>
  Other Effects
</h4>
A <i>burned</i> wild Pokémon receives a 1.5x multiplier to its catch rate.
<br/>
<h4>
  Changes
</h4>
<ul>
  <li>In Gen 1 here are a few bugs with this status conditions:
  <ul>
    <li>A burned target does not receive any damage on the turn it causes an enemy to faint.</li>
    <li><i>Burn's</i> damage is increased by the target's {badly poisened;STATUS;poison} if the target received that status condition and cured itself.</li>
    <li>The move {Swords Dance;MOVE;swords-dance} resets the {Attack;STAT;ATTACK} reduction.</li>
    <li>The {Attack;STAT;ATTACK} reduction stay even after the target was cured.</li>
    </ul></li>
  <li>In Gen 1-2 <i>Burn</i> reduces the target's {Attack;STAT;ATTACK} by 50% stat instead of reducing the damage of {PHYSICAL;CATEGORY;physical} moves by 50%.<br/>
  {FIRE;TYPE;Fire}-type Pokémon can also be burned by non-{FIRE;TYPE;Fire}-type moves or effects.</li>
  <li>In Gen 1-4 <i>Burn's</i> {ATTACK;STAT;ATTACK} reduction also lowers the damage caused by {confusion;STATUS;confusion}</li>
  <li>In Gen 2-6 <i>Burn</i> deals damage equal to <span style=""font-size: 1.3rem"">⅛</span> of the target's maximum {HP;STAT;HP}</li>
  <li>In Gen 3-4 {Heal Bell;MOVE;heal-bell} does not cure the <i>burn</i> of any Pokémon with the ability {Soundproof;ABILITY;soundproof}.</li>
  <li>In Gen 5 <i>burned</i> Pokémon have a red glow.</li>
</ul>"
freeze,"Prevents a Pokémon from using almost all moves, except for those that have a chance to thaw it out. Has a 20% chance to thaw itself out every turn.","A <i>frozen</i> (FRZ) Pokémon is unable to use any move.<br/>
Each turn, it has a 20% chance to thaw itself out.<br/>
<i>Frozen</i> Pokémon can be thawed out by:
<ul>
  <li>using various items</li>
  <li>being hit by {FIRE;TYPE;Fire}-type move</li>
  <li>using certain moves such as {Scald;MOVE;scald}</li>
</ul>
{ICE;TYPE;Ice}-type Pokémon can not become <i>frozen</i>.<br/>
<h4>
  Effects that interact with the <i>Freeze</i> status condition:
</h4>
Pokémon with the ability {Magma Armor;ABILITY;magma-armor}, {Comatose;ABILITY;comatose} or {Purifying Salt;ABILITY;purifying-salt} are completely immune to <i>Freeze</i>.<br/>
Pokémon with the ability {Shield Dust;ABILITY;shield-dust} or those holding {Covert Cloak;ITEM;covert-cloak} can only be <i>frozen</i> it the freeze is a side-effect of the move.<br/>
A Pokémon can be frozen during {harsh sunlight;WEATHER;HARSHSUNLIGHT}.<br/>
{Aromatherapy;MOVE;aromatherapy} and {Heal Bell;MOVE;heal-bell} cure the user's entire party.<br/>
Pokémon with the ability {Natural Cure;ABILITY;natural-cure} are cured after switching out.<br/>
Pokémon with the ability {Hydration;ABILITY;hydration} are cured during {rain;WEATHER;RAIN}<br/>
Pokémon with the ability {Shed Skin;ABILITY;shed-skin} have a 30% chance to be cured at the end of each turn.<br/>
<br/>
{Safeguard;MOVE;safeguard} and {Misty Terrain;MOVE;misty-terrain} protect the user's party from being burned.<br/>
<h4>
  Other Effects
</h4>
A <i>frozen</i> Sky Form {Shaymin;POKEMON;shaymin} will return to its Land Form.
A <i>frozen</i> wild Pokémon receives a 1.5x multiplier to its catch rate.
<h4>
  Changes
</h4>
<ul>
  <li>In Gen 1 Pokémon have a 0% chance to thaw themselves automatically.<br/>
  There are also a various bugs with this status condition including:
    <ul>
      <li>PP rolling over from 0 to 63 when using 0 PP move directly after thawing out</li>
      <li>Link battles being desynchronized</li>
      <li>Using a glitch move instead of the selected move if using a move without every hovering over another move right after thawing out in Link battles.</li>
    </ul></li>
  <li>In Gen 1-2 only {FIRE;TYPE;Fire}-type moves that have a chance to {burn;STATUS;burn} the target can thaw out <i>frozen</i> Pokémon.</li>
  <li>In Gen 2 Pokémon have a ~10% chance to thaw themselves out after each turn.<br/>
  An {ICE;TYPE;Ice}-type Pokémon can be <i>frozen</i> by {Tri-Attack;MOVE;tri-attack}.</li>
  <li>In Gen 2-3 a {FIRE;TYPE;Fire}-type move produced by {Hidden Power;MOVE;hidden-power} can not thaw out a Pokémon.</li>
  <li>In Gen 3-4 {Heal Bell;MOVE;heal-bell} does not cure the <i>freeze</i> of any Pokémon with the ability {Soundproof;ABILITY;soundproof}.</li>
  <li>In Gen 4 the ability {Flash Fire;ABILITY;flash-fire} is disabled when the user is <i>frozen</i>.</li>
  <li>In Gen 5 <i>frozen</i> Pokémon have a blue glow.</li>
</ul>"
paralysis,Has a 25% chance to prevent a move from being used and decreases {Speed;STAT;SPEED} by 50%.,"<i>Paralysis</i> (PAR) has 2 primary effects:
<ul>
  <li>25% chance to prevent a Pokémon from using any move</li>
  <li>50% reduction of a Pokémon {Speed;STAT;SPEED} stat.</li>
</ul>
Most <i>Paralysis</i> causing moves are {ELECTRIC;TYPE;Electric}-type.<br/>
{ELECTRIC;TYPE;Electric}-type Pokémon can not become <i>paralyzed</i>.
<h4>
  Effects that interact with the <i>Burn</i> status condition:
</h4>
Pokémon with the ability {Limber;ABILITY;limber}, {Comatose;ABILITY;comatose} or {Purifying Salt;ABILITY;purifying-salt} are completely immune to <i>Paralysis</i>.<br/>
Pokémon with the ability {Static;ABILITY;static} have a 30% chance and Pokémon with the ability {Effect Spore;ABILITY;effect-spore} have a 10% chance to <i>paralyze</i> Pokémon that make contact with them.<br/>
If the target has the ability {Synchronize;ABILITY;synchronize}, the user will also be <i>paralyzed</i>.<br/>
Pokémon with the ability {Natural Cure;ABILITY;natural-cure} are cured after switching out.<br/>
Pokémon with the ability {Hydration;ABILITY;hydration} are cured during {rain;WEATHER;RAIN}<br/>
Pokémon with the ability {Shed Skin;ABILITY;shed-skin} have a 30% chance to be cured at the end of each turn.<br/>
Pokémon with the ability {Healer;ABILITY;healer} have a 30% chance to cure their allies.<br/>
Pokémon with the ability {Magic Guard;ABILITY;magic-guard} are immune to the move prevention but not the {Speed;STAT;SPEED} reducing effect.<br/>
Pokémon with the ability {Leaf Guard;ABILITY;leaf-guard} only prevents <i>paralysis</i> during {harsh sunlight;WEATHER;HARSHSUNLIGHT}<br/>
<br/>
If a Gorging Form {Cramorant;POKEMON;cramorant} is attacked, its {Gulp Missile;ABILITY;gulp-missile} ability will <i>paralyze</i> the target.<br/>
{Rest;MOVE;rest}, {Refresh;MOVE;refresh} cure the user.<br/>
{Aromatherapy;MOVE;aromatherapy} and {Heal Bell;MOVE;heal-bell} cure the user's entire party.<br/>
{Psycho Shift;MOVE;psycho-shift} will transfer the <i>paralysis</i> to its target.<br/>
{Smelling Salts;MOVE;smelling-salts} will also cure the target.<br/>
{Safeguard;MOVE;safeguard} and {Misty Terrain;MOVE;misty-terrain} protect the user's party from being <i>paralyzed</i>.<br/><br/>
Pokémon with the abilities {Guts;ABILITY;guts}, {Marvel Scale;ABILITY;marvel-scale} and {Quick Feet;ABILITY;quick-feet} can receive benefits by being <i>paralyzed</i>.<br/><br/>
<h4>
  Other Effects
</h4>
<i>Paralyzed</i> Pokémon have a yellow glow and slower animations.
<br/>
<h4>
  Changes
</h4>
<ul>
  <li>In Gen 1 there is a bug that causes the {Speed;STAT;SPEED} decrease to persist after the Pokémon was cured.<br/>
  Using {Haze;MOVE;haze} cures the target's <i>paralysis</i>.</li>
  <li>In Gen 1-5 <i>paralyzed</i> Pokémon do not glow and their animations play at normal speed.<br/>
  {ELECTRIC;TYPE;Electric}-type Pokémon can also become <i>paralyzed</i>.</li>
  <li>In Gen 1-6 <i>Paralysis</i> decreases a Pokémon's {Speed;STAT;SPEED} by 75%.</li>
  <li>In Gen 3-4 {Heal Bell;MOVE;heal-bell} does not cure the <i>paralysis</i> of any Pokémon with the ability {Soundproof;ABILITY;soundproof}.</li>
</ul>"
poison,"Deals damage equal to <span style=""font-size: 1.3rem"">⅛</span> of the Pokémon's maximum {HP;STAT;HP} at the end of each turn.","<i>Poison</i> (PSN) deals damage equal to <span style=""font-size: 1.3rem"">⅛</span> of the Pokémon's maximum {HP;STAT;HP} at the end of each turn.<br/>
There is also a stronger version of this status condition called <i>bad poison</i> where the damage increases by the original amount each turn.<br/>
Most moves that apply <i>poison</i> are {POISON;TYPE;Poison}-type.<br/>
{POISON;TYPE;Poison} and {STEEL;TYPE;Steel}-type Pokémon are immune to <i>poison</i> except when caused by Pokémon with the {Corrosion;ABILITY;corrosion} ability.
<h4>
  Effects that interact with the <i>Burn</i> status condition:
</h4>
Pokémon with the ability {Immunity;ABILITY;immunity}, {Comatose;ABILITY;comatose} or {Purifying Salt;ABILITY;purifying-salt} are completely immune to <i>poison</i>.<br/>
{Minior;POKEMON;minior} in its Meteor Form can not be <i>poisoned</i>.<br/>
Pokémon with the ability {Pastel Veil;ABILITY;pastel-veil} will prevent itself and its allies from being <i>poisoned</i>.<br/>
Pokémon with the ability {Leaf Guard;ABILITY;leaf-guard} only prevents <i>poison</i> during {harsh sunlight;WEATHER;HARSHSUNLIGHT}<br/>
Pokémon with the ability {Magic Guard;ABILITY;magic-guard} are immune to the damage but does not prevent it outside of combat.<br/>
Pokémon with the ability {Poison Point;ABILITY;poison-point} have a 30% chance to <i>poison</i> enemies that make contact with them.<br/>
Pokémon with the ability {Poison Touch;ABILITY;poison-touch} have a 30% chance to <i>poison</i> enemies that they make contact with.<br/>
Pokémon with the ability {Effect Spore;ABILITY;effect-spore} have a 9% chance to <i>poison</i> enemies that they make contact with.<br/>
If the target has the ability {Synchronize;ABILITY;synchronize}, the user will also be <i>poisoned</i> or <i>badly poisoned</i>.<br/>
Pokémon with the ability {Natural Cure;ABILITY;natural-cure} are cured after switching out.<br/>
Pokémon with the ability {Hydration;ABILITY;hydration} are cured during {rain;WEATHER;RAIN}<br/>
Pokémon with the ability {Shed Skin;ABILITY;shed-skin} have a 30% chance to be cured at the end of each turn.<br/>
Pokémon with the ability {Healer;ABILITY;healer} have a 30% chance to cure their allies.<br/>
Pokémon with the ability {Toxic Boost;ABILITY;toxic-boost} have their {Attack;STAT;ATTACK} raised by 50% when <i>poisoned</i>.
<br/>
{Psycho Shift;MOVE;psycho-shift} will transfer the <i>poison</i> to its target.<br/>
{Safeguard;MOVE;safeguard} and {Misty Terrain;MOVE;misty-terrain} protect the user's party from being poisoned.<br/>
A Pokémon holding a {Toxic Orb;ITEM;toxic-orb} will <i>badly poison</i> itself at the end of each turn.<br/>
Pokémon behind a {Substitute;MOVE;substitute} can only receive <i>poison</i> through Synchronize or a held Toxic Orb.<br/><br/>
Pokémon with the abilities {Guts;ABILITY;guts}, {Marvel Scale;ABILITY;marvel-scale}, {Quick Feet;ABILITY;quick-feet} and {Flare Boost;ABILITY;flare-boost} can receive benefits by being <i>poisoned</i>.<br/>
<h4>
  Other Effects
</h4>
<i>Poisoned</i> Pokémon release bubbles from the main image every few seconds.
<h4>
  Changes
</h4>
<ul>
  <li>In Gen 1 <i>poison</i> deals damage equal to <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of the Pokémon's maximum {HP;STAT;HP} at the end of each turn.<br/>
    There is a bug with the <i>bad poison</i> version of this status condition where its damage increasing multiplier is further increased by {Leech Seed;MOVE;leech-seed}.<br/>
  Using {Haze;MOVE;haze} cures the target's <i>poison</i>.</li>
  <li>In Gen 1-3 <i>poisoned</i> Pokémon take damage outside of combat until they feint.</li>
  <li>In Gen 1-4 <i>poisoned</i> Pokémon also take damage outside of combat (1 {HP;STAT;HP} every 4 steps / 5 steps in {FRLG;GAME;firered-leafgreen})<br/>
  A Pokémon can not be <i>badly poisoned</i> when receiving a poison caused by {Synchronize;ABILITY;synchronize}.</li>
  <li>In Gen 2 {STEEL;TYPE;Steel}-type Pokémon can be <i>poisoned</i> by {Twineedle;MOVE;twineedle}.</li>
  <li>In Gen 4 <i>poisoned</i> Pokémon are cured when they reach 1 {HP;STAT;HP} outside of combat.</li>
  <li>In Gen 5 <i>poisoned</i> Pokémon have a purple glow instead of releasing bubbles.</li>
  <li>In the japanese version of {BW;GAME;black-white} {Poison Touch;ABILITY;poison-touch} has only a 20% chance to <i>poison</i> an enemy.</li>
</ul>"
sleep,Prevents a Pokémon from using any move for 1-3 turns.,"<i>Sleep</i> (SLP) prevents an affected Pokémon from using any moves for 1-3 turns.<br/>
After the required number of turns passes, the Pokémon will wake itself up naturally.<br/>
<h4>
  Effects that interact with the <i>Sleep</i> status condition:
</h4>
Pokémon with the ability {Effect Spore;ABILITY;effect-spore} have a 11% chance to make enemies that make contact with them fall <i>asleep</i>.<br/>
Pokémon with the ability {Insomnia;ABILITY;insomnia}, {Vital Spriti;ABILITY;vital-spirit}, {Comatose;ABILITY;comatose} or {Purifying Salt;ABILITY;purifying-salt} will not fall <i>asleep</i>.<br/>
Pokémon with the ability {Leaf Guard;ABILITY;leaf-guard} only prevents <i>sleep</i> during {harsh sunlight;WEATHER;HARSHSUNLIGHT}<br/>
Pokémon with the ability {Natural Cure;ABILITY;natural-cure} are cured after switching out.<br/>
Pokémon with the ability {Hydration;ABILITY;hydration} are cured during {rain;WEATHER;RAIN}<br/>
Pokémon with the ability {Shed Skin;ABILITY;shed-skin} have a 30% chance to be cured at the end of each turn.<br/>
Pokémon with the ability {Healer;ABILITY;healer} have a 30% chance to wake up their allies.<br/>
Pokémon with the ability {Sweet Veil;ABILITY;sweet-veil} and their allies will not fall <i>asleep</i>.<br/>
Pokémon with the ability {Eearly Bird;ABILITY;early-bird} are only <i>asleep</i> for half the usual amount.<br/>
<br/>
{Uproar;MOVE;uproar} will wake any <i>sleeping</i> Pokémon.<br/>
{Aromatherapy;MOVE;aromatherapy} and {Heal Bell;MOVE;heal-bell} cure the user's entire party.<br/>
{Wake-Up Slap;MOVE;wake-up-slap} always wakes a <i>sleeping</i> Pokémon up.<br/>
{Worry Seed;MOVE;worry-seed} changes the target's ability to {Insomnia;ABILITY;insomnia} and wakes it up immediately.<br/>
{Electric Terrain;MOVE;electric-terrain} and {Misty Terrain;MOVE;misty-terrain} protect the user's party from being burned.<br/>
<br/>
The moves {Snore;MOVE;snore} and {Sleep Talk;MOVE;sleep-talk} can only be used while <i>asleep</i>.<br/>
Pokémon with the abilities Guts, {Marvel Scale;ABILITY;marvel-scale}, {Quick Feet;ABILITY;quick-feet} can receive benefits by being <i>asleep</i>.<br/>
<h4>
  Changes
</h4>
<ul>
  <li>In Gen 1 <i>Sleep</i> lasts for 1-7 turns.<br/>
{Haze;MOVE;haze} wakes up <i>sleeping</i> Pokémon.</li>
  <li>In Gen 2 <i>Sleep</i> lasts for 1-6 turns.</li>
  <li>In Gen 3-4 <i>Sleep</i> lasts for 1-4 turns.<br/>
    {Heal Bell;MOVE;heal-bell} does not cure the <i>burn</i> of any Pokémon with the ability {Soundproof;ABILITY;soundproof}.</li>
  <li>In Gen 5 <i>sleeping</i> Pokémon have their counter reset when switching out.</li>
</ul>"
frostbite,"Exclusive to {PKMN-LA;GAME;legends-arceus}. Similar to {Burn;STATUS;burn}, it deals damage equal to <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of the Pokémon's maximum {HP;STAT;HP} at the end of each turn and reduces the damage done by its {Special;CATEGORY;special}-category moves by 50%.<br/>
During {snow;WEATHER;SNOW} moves that apply <i>Frostbite</i> have an increased chance to apply its effect.<br/>
{ICE;TYPE;Ice}-type Pokémon are immune to <i>Frostbite</i>.",
badly-poisoned,"Stronger version of {Poison;STATUS;poison}, its damage increases by <span style=""font-size: 1.3rem"">⅛</span> of the Pokémon's maximum {HP;STAT;HP} every turn.",
drowsy-la,"Exclusive to {PKMN-LA;GAME;legends-arceus}. Similar to {paralysis;STATUS;paralysis} and has a chance to make a Pokémon unable to use a selected move.<br/>
Increases damage taken from direct damage dealing moves and is more likely to prevent a move during {snow;WEATHER;SNOW}<br/>
{Spark;MOVE;spark}, {Volt Tackle;MOVE;volt-tackle} and {Wild Charge;MOVE;wild-charge} cure the user, {Rest;MOVE;rest} applied <i>drowsiness</i> to the user for 4 turns.",
ability-changed,Changes a Pokémon's original ability to another one.,
ability-suppressed,Disables the effect of a Pokémon's ability.,
