identifier,id,type,generation,own_entry,name_en,name_ja,name_ja_roma,name_fr,name_de,name_es,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_cmn,name_zh_yue,name_da,name_fi,name_nl,name_no,name_pl,name_pt,name_ru,name_ru_latn,name_sv,name_th,name_vi
burn,1,non-volatile,1,true,Burn,やけど,Yakedo,Brûlure,Verbrennung,Quemado,Scottato,화상,Hwasang,灼傷,灼伤,Zhuóshāng,Jeuksēung,,Polte,,,Oparzenie,Queimado,Подожжённый,Podozhzhyonnyy,,ไหม้,Bỏng
freeze,2,non-volatile,1,true,Freeze,凍り,Kōri,Gel,Gefroren,Congelado,Congelato,얼음,Eoreum,冰凍,冰冻,Bīngdòng,Bīngdung,,,,,,Congelado,Замороженный,Zamorozhenniy,,,Đóng băng
paralysis,3,non-volatile,1,true,Paralysis,まひ,Mahi,Paralysie,Paralysiert,Paralizado,Paralizzato,마비,Mabi,麻痺,麻痺,Mábì,Màhbei,Lammet,Halvaus,,Lammet,Paraliż,Paralisado,Парализованный,Paralizovannyy,Förlamad,,Tê liệt
poison,4,non-volatile,1,true,Poison,毒,Doku,Empoisonné,Vergiftet,Envenenado,Avvelenato,독,Dok,中毒,中毒,Zhòngdú,Jungduhk,Forgiftet,Myrkytys,Vergiftigd,Forgifet,Zatruty,Envenenado,Отравлен,Otravlen,Förgifad,พิษ,Nhiễm độc
sleep,5,non-volatile,1,true,Sleep,眠り,Nemuri,Sommeil,Schläft,Dormido,Addormentato,잠듦,Jamdeum,睡眠,睡眠,Shuìmián,Seuihmìhn,,,,,,Adormecido,Спящий,Spyashchiy,,หลับ,Ngủ
frostbite,6,non-volatile,8,false,Frostbite,,,,,,,,,,,,,,,,,,,,,,,
badly-poisoned,7,non-volatile,1,false,Badly Poisoned,,,,,,,,,,,,,,,,,,,,,,,
drowsy-la,8,non-volatile,8,false,Drowsy,,,,,,,,,,,,,,,,,,,,,,,
ability-changed,9,volatile,1,false,Ability-Changed,,,,,,,,,,,,,,,,,,,,,,,
ability-suppressed,10,volatile,4,false,Ability-Suppressed,,,,,,,,,,,,,,,,,,,,,,,
type-change,11,volatile,1,false,Type Change,,,,,,,,,,,,,,,,,,,,,,,
transform,12,volatile,1,false,Transform,,,,,,,,,,,,,,,,,,,,,,,
illusion,13,volatile,5,false,Illusion,,,,,,,,,,,,,,,,,,,,,,,
bind,14,volatile,1,false,Bind,,,,,,,,,,,,,,,,,,,,,,,
curse,15,volatile,2,false,Curse,,,,,,,,,,,,,,,,,,,,,,,
nightmare,16,volatile,2,false,Nightmare,,,,,,,,,,,,,,,,,,,,,,,
doomed,17,volatile,2,false,Doomed,,,,,,,,,,,,,,,,,,,,,,,
seeded,18,volatile,1,false,Seeded,,,,,,,,,,,,,,,,,,,,,,,
salted,19,volatile,9,false,Salted,,,,,,,,,,,,,,,,,,,,,,,
splinters,20,volatile,8,false,Splinters,,,,,,,,,,,,,,,,,,,,,,,
identify,21,volatile,2,false,Identify,,,,,,,,,,,,,,,,,,,,,,,
autotomize,22,volatile,5,false,Autotomize,,,,,,,,,,,,,,,,,,,,,,,
minimize,23,volatile,1,false,Minimize,,,,,,,,,,,,,,,,,,,,,,,
tar,24,volatile,8,false,Tar,,,,,,,,,,,,,,,,,,,,,,,
grounded,25,volatile,1,false,Grounded,,,,,,,,,,,,,,,,,,,,,,,
levitate,26,volatile,1,false,Levitate,,,,,,,,,,,,,,,,,,,,,,,
root,27,volatile,3,false,Root,,,,,,,,,,,,,,,,,,,,,,,
laser-focus,28,volatile,7,false,Laser-Focus,,,,,,,,,,,,,,,,,,,,,,,
lock-on,29,volatile,2,false,Lock-On,,,,,,,,,,,,,,,,,,,,,,,
drowsy,30,volatile,3,false,Drowsy,,,,,,,,,,,,,,,,,,,,,,,
no-escape,31,volatile,2,false,No-Escape,,,,,,,,,,,,,,,,,,,,,,,
disable,32,volatile,1,false,Disable,,,,,,,,,,,,,,,,,,,,,,,
embargo,33,volatile,4,false,Embargo,,,,,,,,,,,,,,,,,,,,,,,
heal-block,34,volatile,4,false,Heal-Block,,,,,,,,,,,,,,,,,,,,,,,
imprison,35,volatile,3,false,Imprison,,,,,,,,,,,,,,,,,,,,,,,
taunt,36,volatile,3,false,Taunt,,,,,,,,,,,,,,,,,,,,,,,
throat-chop,37,volatile,7,false,Throat-Chop,,,,,,,,,,,,,,,,,,,,,,,
torment,38,volatile,3,false,Torment,,,,,,,,,,,,,,,,,,,,,,,
confusion,39,volatile,1,true,Confusion,混乱,Konran,Confusion,Verwirrung,Confusión,Confusione,혼란,Hollan,混亂,混乱,Hùnluàn,Wahnlyuhn,Svimmel,Hämmennys,,Forvirring,Oszołomienie,Confusão,,,Förvirring,,Hỗn loạn
infatuation,40,volatile,2,false,Infatuation,,,,,,,,,,,,,,,,,,,,,,,
choice-lock,41,volatile,3,false,Choice-Lock,,,,,,,,,,,,,,,,,,,,,,,
