identifier,id,generation,damage_class_gen1_3,hex_color
normal,1,1,physical,#A1A1A1
fighting,2,1,physical,#F08832
flying,3,1,physical,#8FB8E5
poison,4,1,physical,#6D4C97
ground,5,1,physical,#89532A
rock,6,1,physical,#ADAA84
bug,7,1,physical,#95A235
ghost,8,1,physical,#6C436E
steel,9,2,physical,#4D3F3F
fire,10,1,special,#D33A30
water,11,1,special,#4D79BC
grass,12,1,special,#5D9D3C
electric,13,1,special,#F2C341
psychic,14,1,special,#DC4D79
ice,15,1,special,#79CCEF
dragon,16,1,special,#4D61AA
dark,17,2,special,#705848
fairy,18,6,,#f2a5ff
stellar,19,9,,#7cc7b2
unknown,10001,2,special,#68a090
shadow,10002,3,special,#353e52
