identifier,id,generation,order,game,regions,move_methods
red-blue,1,1,3,,kanto,level-up;machine;stadium-surfing-pikachu
yellow,2,1,4,,kanto,level-up;machine;stadium-surfing-pikachu
gold-silver,3,2,5,,kanto;johto,level-up;egg;machine
crystal,4,2,6,,kanto;johto,level-up;egg;tutor;machine
ruby-sapphire,5,3,7,,hoenn,level-up;egg;machine
emerald,6,3,8,,hoenn,level-up;egg;tutor;machine;light-ball-egg
firered-leafgreen,7,3,11,,kanto,level-up;egg;tutor;machine
diamond-pearl,8,4,12,,sinnoh,level-up;egg;tutor;machine;light-ball-egg
platinum,9,4,13,,sinnoh,level-up;egg;tutor;machine;light-ball-egg;form-change
heartgold-soulsilver,10,4,14,,kanto;johto,level-up;egg;tutor;machine;light-ball-egg;form-change
black-white,11,5,15,,unova,level-up;egg;tutor;machine;light-ball-egg;form-change
colosseum,12,3,9,orre,,level-up;machine
xd,13,3,10,orre,,level-up;tutor;machine
black-2-white-2,14,5,16,,unova,level-up;egg;tutor;machine;light-ball-egg;form-change
x-y,15,6,17,,kalos,level-up;egg;tutor;machine;light-ball-egg;form-change
omega-ruby-alpha-sapphire,16,6,18,,hoenn,level-up;egg;tutor;machine;light-ball-egg;form-change
sun-moon,17,7,19,,alola,level-up;egg;tutor;machine;light-ball-egg;form-change;zygarde-cube
ultra-sun-ultra-moon,18,7,20,,alola,level-up;egg;tutor;machine;light-ball-egg;form-change;zygarde-cube
lets-go-pikachu-lets-go-eevee,19,7,21,,kanto,level-up;tutor;machine
sword-shield,20,8,22,,galar,level-up;egg;tutor;machine;form-change
the-isle-of-armor,21,8,23,,galar,
the-crown-tundra,22,8,24,,galar,
brilliant-diamond-shining-pearl,23,8,25,,sinnoh,
legends-arceus,24,8,26,legends_arceus,hisui,
scarlet-violet,25,9,27,,paldea,
the-teal-mask,26,9,28,,paldea,
the-indigo-disk,27,9,29,,paldea,
legends-za,30,9,30,legends_za,,
mega-dimension,31,9,31,legends_za,,
champions,32,9,32,champions,,
