identifier,id,version_group,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_zh_hant,name_zh_hans
red,1,red-blue,Red,,赤,,Rouge,Rot,Rojo,Rojo,Rossa,레드,紅,紅
blue,2,red-blue,Blue,,青,,Bleu,Blau,Azul,Azul,Blu,블루,藍,藍
yellow,3,yellow,Yellow,,ピカチュウ,,Jaune,Gelb,Amarillo,Amarillo,Gialla,피카츄,皮卡丘,皮卡丘
gold,4,gold-silver,Gold,,金,,Or,Gold,Oro,Oro,Oro,골드,金,金
silver,5,gold-silver,Silver,,銀,,Argent,Silber,Plata,Plata,Argento,실버,銀,銀
crystal,6,crystal,Crystal,,クリスタル,,Cristal,Kristall,Cristal,Cristal,Cristallo,크리스탈,水晶,水晶
ruby,7,ruby-sapphire,Ruby,,ルビー,,Rubis,Rubin,Rubí,Rubí,Rubino,루비,紅寶石,紅寶石
sapphire,8,ruby-sapphire,Sapphire,,サファイア,,Saphir,Saphir,Zafiro,Zafiro,Zaffiro,사파이어,藍寶石,藍寶石
emerald,9,emerald,Emerald,,エメラルド,,Émeraude,Smaragd,Esmeralda,Esmeralda,Smeraldo,에메랄드,綠寶石,綠寶石
firered,10,firered-leafgreen,FireRed,,ファイアレッド,,Rouge Feu,Feuerrot,Rojo Fuego,Rojo Fuego,Rosso Fuoco,파이어레드,火紅,火紅
leafgreen,11,firered-leafgreen,LeafGreen,,リーフグリーン,,Vert Feuille,Blattgrün,Verde Hoja,Verde Hoja,Verde Foglia,리프그린,葉綠,葉綠
diamond,12,diamond-pearl,Diamond,,ダイヤモンド,,Diamant,Diamant,Diamante,Diamante,Diamante,디아루가,鑽石,钻石
pearl,13,diamond-pearl,Pearl,,パール,,Perle,Perl,Perla,Perla,Perla,펄기아,珍珠,珍珠
platinum,14,platinum,Platinum,,プラチナ,,Platine,Platin,Platino,Platino,Platino,기라티나,白金,白金
heartgold,15,heartgold-soulsilver,HeartGold,,ハートゴールド,,Or HeartGold,HeartGold,Oro HeartGold,Oro HeartGold,Oro HeartGold,하트골드,心金,心金
soulsilver,16,heartgold-soulsilver,SoulSilver,,ソウルシルバー,,Argent SoulSilver,SoulSilver,Plata SoulSilver,Plata SoulSilver,Argento SoulSilver,소울실버,魂銀,魂銀
black,17,black-white,Black,,ブラック,,Noir,Schwarz,Negro,Negro,Nera,블랙,黑,黑
white,18,black-white,White,,ホワイト,,Blanc,Weiß,Blanco,Blanco,Bianca,화이트,白,白
colosseum,19,colosseum,Colosseum,,コロシアム,,Colosseum,Colosseum,Colosseum,Colosseum,Colosseum,콜로세움,,
xd,20,xd,XD,,XD,,XD,XD,XD,XD,XD,XD,,
black-2,21,black-2-white-2,Black 2,,ブラック2,,Noir 2,Schwarz 2,Negro 2,Negro 2,Nera 2,블랙 2,黑2,黑2
white-2,22,black-2-white-2,White 2,,ホワイト2,,Blanc 2,Weiß 2,Blanco 2,Blanco 2,Bianca 2,화이트 2,白2,白2
x,23,x-y,X,,X,,X,X,X,X,X,X,X,X
y,24,x-y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y
omega-ruby,25,omega-ruby-alpha-sapphire,Omega Ruby,,オメガルビー,,Rubis Oméga,Omega Rubin,Rubí Omega,Rubí Omega,Rubino Omega,오메가루비,歐米加紅寶石,欧米伽红宝石
alpha-sapphire,26,omega-ruby-alpha-sapphire,Alpha Sapphire,,アルファサファイア,,Saphir Alpha,Alpha Saphir,Zafiro Alfa,Zafiro Alfa,Zaffiro Alpha,알파사파이어,阿爾法藍寶石,阿尔法蓝宝石
