pokedb_form,pokemon,form,how
bulbasaur-default,bulbasaur,bulbasaur,default
ivysaur-default,ivysaur,ivysaur,default
venusaur-default,venusaur,venusaur,default
venusaur-mega-evolution,venusaur-mega,venusaur-mega,suffix
venusaur-gigantamax,venusaur-gmax,venusaur-gmax,suffix
charmander-default,charmander,charmander,default
charmeleon-default,charmeleon,charmeleon,default
charizard-default,charizard,charizard,default
charizard-mega-evolution-x,charizard-mega-x,charizard-mega-x,suffix
charizard-mega-evolution-y,charizard-mega-y,charizard-mega-y,suffix
charizard-gigantamax,charizard-gmax,charizard-gmax,suffix
squirtle-default,squirtle,squirtle,default
wartortle-default,wartortle,wartortle,default
blastoise-default,blastoise,blastoise,default
blastoise-mega-evolution,blastoise-mega,blastoise-mega,suffix
caterpie-default,caterpie,caterpie,default
metapod-default,metapod,metapod,default
butterfree-default,butterfree,butterfree,default
weedle-default,weedle,weedle,default
kakuna-default,kakuna,kakuna,default
beedrill-default,beedrill,beedrill,default
beedrill-mega-evolution,beedrill-mega,beedrill-mega,suffix
pidgey-default,pidgey,pidgey,default
pidgeotto-default,pidgeotto,pidgeotto,default
pidgeot-default,pidgeot,pidgeot,default
pidgeot-mega-evolution,pidgeot-mega,pidgeot-mega,suffix
rattata-default,rattata,rattata,default
rattata-alolan,rattata-alola,rattata-alola,suffix
raticate-default,raticate,raticate,default
raticate-alolan,raticate-alola,raticate-alola,suffix
spearow-default,spearow,spearow,default
fearow-default,fearow,fearow,default
ekans-default,ekans,ekans,default
arbok-default,arbok,arbok,default
pikachu-default,pikachu,pikachu,default
raichu-default,raichu,raichu,default
raichu-alolan,raichu-alola,raichu-alola,suffix
sandshrew-default,sandshrew,sandshrew,default
sandshrew-alolan,sandshrew-alola,sandshrew-alola,suffix
sandslash-default,sandslash,sandslash,default
sandslash-alolan,sandslash-alola,sandslash-alola,suffix
nidoran-f-default,nidoran-f,nidoran-f,default
nidorina-default,nidorina,nidorina,default
nidoqueen-default,nidoqueen,nidoqueen,default
nidoran-m-default,nidoran-m,nidoran-m,default
nidorino-default,nidorino,nidorino,default
nidoking-default,nidoking,nidoking,default
clefairy-default,clefairy,clefairy,default
clefable-default,clefable,clefable,default
vulpix-default,vulpix,vulpix,default
vulpix-alolan,vulpix-alola,vulpix-alola,suffix
ninetales-default,ninetales,ninetales,default
ninetales-alolan,ninetales-alola,ninetales-alola,suffix
jigglypuff-default,jigglypuff,jigglypuff,default
wigglytuff-default,wigglytuff,wigglytuff,default
zubat-default,zubat,zubat,default
golbat-default,golbat,golbat,default
oddish-default,oddish,oddish,default
gloom-default,gloom,gloom,default
vileplume-default,vileplume,vileplume,default
