pokedb_item,item,how
academy-chairs,academy-chairs,pokedb-only
adventure-guide,adventure-rules,english-name
aloraichium-z,aloraichium-z--held,english-name
amazing-butter,amazing-butter,pokedb-only
apricorn,apricorn,pokedb-only
arboliva-oil,arboliva-oil,pokedb-only
articuno-treat,articuno-treat,pokedb-only
aurora-ticket,aurora-ticket,pokedb-only
autographed-plush,autographed-plush,pokedb-only
aux-evasion,aux-evasion,pokedb-only
aux-guard,aux-guard,pokedb-only
aux-power,aux-power,pokedb-only
aux-powerguard,aux-powerguard,pokedb-only
azelfs-fang,azelfs-fang,pokedb-only
bag,bag,pokedb-only
ball-of-mud,ball-of-mud,pokedb-only
basculegion-food,basculegion-food,pokedb-only
basement-key-hoenn,basement-key-hoenn,pokedb-only
basement-key-johto,basement-key-johto,pokedb-only
battle-chairs,battle-chairs,pokedb-only
bean-cake,bean-cake,pokedb-only
beldum-claw,beldum-claw,pokedb-only
berry-gen2,berry-gen2,pokedb-only
berserk-gene,berserk-gene,pokedb-only
bitter-berry,bitter-berry,pokedb-only
black-tumblestone,black-tumblestone,pokedb-only
blitzle-mane-hair,blitzle-mane-hair,pokedb-only
blue-canari-plush-lv-1,blue-canari-plush-lv-1,pokedb-only
blue-canari-plush-lv-2,blue-canari-plush-lv-2,pokedb-only
blue-canari-plush-lv-3,blue-canari-plush-lv-3,pokedb-only
blue-chairs,blue-chairs,pokedb-only
blueberry-chairs,blueberry-chairs,pokedb-only
blueberry-tablecloth,blueberry-tablecloth,pokedb-only
bluesky-mail,bluesky-mail,pokedb-only
boulder-badge,boulder-badge,pokedb-only
briars-book,briars-book,pokedb-only
brick-piece,brick-piece,pokedb-only
bridgemail-d,bridgemail-d,pokedb-only
bridgemail-m,bridgemail-m,pokedb-only
bridgemail-s,bridgemail-s,pokedb-only
bridgemail-t,bridgemail-t,pokedb-only
bridgemail-v,bridgemail-v,pokedb-only
buginium-z,buginium-z--held,english-name
bugwort,bugwort,pokedb-only
burnt-berry,burnt-berry,pokedb-only
bw-grass-chairs,bw-grass-chairs,pokedb-only
cake-lure-base,cake-lure-base,pokedb-only
canari-bread,canari-bread,pokedb-only
candy-truffle,candy-truffle,pokedb-only
card-key-johto,card-key-johto,pokedb-only
card-key-kanto,card-key,hand
cascade-badge,cascade-badge,pokedb-only
caster-fern,caster-fern,pokedb-only
celestica-flute,celestica-flute,pokedb-only
cherished-ring-first,cherished-ring-first,pokedb-only
cherished-ring-second,cherished-ring-second,pokedb-only
chinchou-sparks,chinchou-sparks,pokedb-only
choice-dumpling,choice-dumpling,pokedb-only
clever-feather,clever-wing,hand
cobalion-treat,cobalion-treat,pokedb-only
coin-debug,coin-debug,pokedb-only
colorful-screw,colorful-screw,pokedb-only
comfey-flower,comfey-flower,pokedb-only
contest-costume,contest-costume--jacket,english-name
cottonee-fluff,cottonee-fluff,pokedb-only
crafting-kit,crafting-kit,pokedb-only
cranidos-spike,cranidos-spike,pokedb-only
crunchy-salt,crunchy-salt,pokedb-only
darkinium-z,darkinium-z--held,english-name
dazzling-honey,dazzling-honey,pokedb-only
decidium-z,decidium-z--held,english-name
dewpider-thread,dewpider-thread,pokedb-only
diamond-chairs,diamond-chairs,pokedb-only
digger-drill,digger-drill,pokedb-only
direshroom,direshroom,pokedb-only
discovery-slate,discovery-slate,pokedb-only
distortion-slate,distortion-slate,pokedb-only
doduo-down,doduo-down,pokedb-only
doppel-bonnets,doppel-bonnets,pokedb-only
dragonium-z,dragonium-z--held,english-name
drilbur-claw,drilbur-claw,pokedb-only
ds-sounds,ds-sounds,pokedb-only
duraludon-tarnish,duraludon-tarnish,pokedb-only
dynamax-crystal,dynamax-crystal,pokedb-only
earth-badge,earth-badge,pokedb-only
eevium-z,eevium-z--held,english-name
egg-ticket,egg-ticket,pokedb-only
eggant-berry,eggant-berry,pokedb-only
electrium-z,electrium-z--held,english-name
elekid-fur,elekid-fur,pokedb-only
entei-treat,entei-treat,pokedb-only
eon-mail,eon-mail,pokedb-only
epice-noire,epice-noire,pokedb-only
espurr-fur,espurr-fur,pokedb-only
eternal-ice,eternal-ice,pokedb-only
exeggcute-shell,exeggcute-shell,pokedb-only
fairium-z,fairium-z--held,english-name
feather-ball,lafeather-ball,english-name
fiery-pick,fiery-pick,pokedb-only
fightinium-z,fightinium-z--held,english-name
fine-remedy,fine-remedy,pokedb-only
firium-z,firium-z--held,english-name
flower-mail,flower-mail,pokedb-only
flyinium-z,flyinium-z--held,english-name
forest-balm,forest-balm,pokedb-only
genius-feather,genius-wing,hand
genome-slate,genome-slate,pokedb-only
ghostium-z,ghostium-z--held,english-name
gigaton-ball,lagigaton-ball,english-name
glastrier-treat,glastrier-treat,pokedb-only
gold-berry,gold-berry,pokedb-only
gold-canari-plush-lv-1,gold-canari-plush-lv-1,pokedb-only
gold-canari-plush-lv-2,gold-canari-plush-lv-2,pokedb-only
gold-canari-plush-lv-3,gold-canari-plush-lv-3,pokedb-only
golett-shard,golett-shard,pokedb-only
gorgeous-box,gorgeous-box,pokedb-only
grain-cake,grain-cake,pokedb-only
grassium-z,grassium-z--held,english-name
great-ball-hisuian,great-ball-hisuian,pokedb-only
great-butter,great-butter,pokedb-only
green-canari-plush-lv-1,green-canari-plush-lv-1,pokedb-only
green-canari-plush-lv-2,green-canari-plush-lv-2,pokedb-only
green-canari-plush-lv-3,green-canari-plush-lv-3,pokedb-only
grit-dust,grit-dust,pokedb-only
grit-gravel,grit-gravel,pokedb-only
grit-pebble,grit-pebble,pokedb-only
grit-rock,grit-rock,pokedb-only
groudon-treat,groudon-treat,pokedb-only
groundium-z,groundium-z--held,english-name
gs-ball,gs-ball,pokedb-only
guidebook,guidebook,pokedb-only
health-feather,health-wing,hand
hearty-grains,hearty-grains,pokedb-only
ho-oh-treat,ho-oh-treat,pokedb-only
hoennian-salt,hoennian-salt,pokedb-only
hometown-muffin,hometown-muffin,pokedb-only
honey-cake,honey-cake,pokedb-only
horsea-ink,horsea-ink,pokedb-only
hyper-aspear-berry,hyper-aspear-berry,pokedb-only
hyper-babiri-berry,hyper-babiri-berry,pokedb-only
hyper-charti-berry,hyper-charti-berry,pokedb-only
hyper-cheri-berry,hyper-cheri-berry,pokedb-only
