identifier,column,pokeapi,pokedb
master-ball,name_it,Master Ball,
master-ball,name_ko,마스터볼,
master-ball,fling_power,,0
ultra-ball,name_es,Ultra Ball,Ultrabola
ultra-ball,name_ko,하이퍼볼,
ultra-ball,fling_power,,0
great-ball,name_es,Super Ball,Superbola
great-ball,name_ko,슈퍼볼,
great-ball,fling_power,,0
poke-ball,fling_power,,0
net-ball,name_ko,네트볼,넷트볼
nest-ball,name_es,Nido Ball,Nidobola
repeat-ball,name_ko,리피트볼,리피드볼
repeat-ball,fling_power,,0
timer-ball,name_ko,타이머볼,타이마볼
timer-ball,fling_power,,0
luxury-ball,fling_power,,0
premier-ball,name_ko,프리미어볼,프레미어볼
premier-ball,fling_power,,0
heal-ball,fling_power,,0
paralyze-heal,name_es,Antiparalizador,Antiparaliz
full-restore,name_it,Ricarica totale,Ricarica Totale
max-potion,name_es,Poción Máxima,Máxima Poción
hyper-potion,name_es,Hiperpoción,Híper Poción
super-potion,name_es,Superpoción,Súper Poción
super-potion,name_ko,좋은상처약,
full-heal,name_it,Cura totale,Cura Totale
fresh-water,name_it,Acqua fresca,Acqua Fresca
moomoo-milk,name_es,Leche Mu-mu,Leche Mu-Mu
revival-herb,name_ko,부활초,부활 초
sacred-ash,name_it,Ceneremagica,Cenere magica
protein,name_fr,Protéine,Proteine
carbos,name_es,Carburante,Carbohidratos
pp-up,name_ko,포인트업,포인트 업
pp-max,name_fr,PP Max,
pp-max,name_es,PP Máximos,Máx. PP
pp-max,name_ko,포인트맥스,포인트 맥스
old-gateau,name_es,Barrita Plus,
dire-hit,name_de,Angriffplus,X-Volltreffer
dire-hit,name_es,Crítico X,
x-sp-atk,name_fr,Atq. Spé. +,Atq. Spé. + / Spécial +
x-sp-atk,name_de,X-Sp.-Ang.,X-Sp.-Ang. / X-Spezial
x-sp-atk,name_es,At. Especial X,At. Especial X / Especial X
x-sp-atk,name_it,Att. Speciale X,Att. Speciale X / Special X
x-sp-def,name_de,X-Sp.-Vert.,X-Spezial-Vert.
poke-doll,name_es,Poké Muñeco,Pokémuñeco
poke-doll,name_it,Poké Bambola,Pokébambola
fluffy-tail,name_es,Cola Skitty,Cola de Skitty
black-flute,name_de,Schwarze Flöte,Schw. Flöte
shoal-shell,name_fr,CoquilleTréfonds,Coquille Tréfonds
red-shard,name_es,Parte Roja,Fragmento Rojo
blue-shard,name_fr,Tesson Bleu,Tesson Blue
green-shard,name_es,Parte Verde,Fragmento Verde
super-repel,name_es,Superrepelente,Súper Repel
max-repel,name_es,Repelente Máximo,Máx. Repel
escape-rope,name_es,Cuerda Huida,Cuerda de Huida
moon-stone,name_it,Pietralunare,
moon-stone,name_ko,달의돌,
thunder-stone,name_it,Pietratuono,
thunder-stone,name_ko,천둥의돌,
water-stone,name_it,Pietraidrica,
water-stone,name_ko,물의돌,
leaf-stone,name_it,Pietrafoglia,
stardust,name_ko,별의모래,별의조각
star-piece,name_fr,Morceau d’Étoile,Morceau d'Étoile
star-piece,name_es,Trozo Estrella,Fragmento Estrella
nugget,name_es,Pepita,Pepita de Oro
heart-scale,name_fr,Écaille Cœur,Écaillecœur
helix-fossil,name_es,Fósil Hélix,Fósil Helix
dome-fossil,name_it,Domofossile,
old-amber,name_it,Ambra antica,Ambra Antica
odd-keystone,name_es,Piedra Espíritu,
grass-mail,name_ko,,잔디메일
grass-mail,fling_power,,0
flame-mail,name_ko,,플레임메일
bubble-mail,name_ko,,블루메일
bloom-mail,name_ko,,블룸메일
bloom-mail,fling_power,,0
tunnel-mail,name_ko,,터널메일
steel-mail,name_ko,,스틸메일
heart-mail,name_ko,,러브러브메일
heart-mail,fling_power,,0
snow-mail,name_ko,,블리자드메일
snow-mail,fling_power,,0
space-mail,name_ko,,스페이스메일
space-mail,fling_power,,0
air-mail,name_ko,,에어메일
mosaic-mail,name_ko,,모자이크메일
brick-mail,name_ko,,브릭메일
brick-mail,fling_power,,0
cheri-berry,introduced_generation,2,3
chesto-berry,introduced_generation,2,3
pecha-berry,introduced_generation,2,3
rawst-berry,introduced_generation,2,3
aspear-berry,introduced_generation,2,3
leppa-berry,introduced_generation,2,3
oran-berry,introduced_generation,2,3
persim-berry,introduced_generation,2,3
lum-berry,introduced_generation,2,3
sitrus-berry,introduced_generation,2,3
wacan-berry,name_es,Baya Gualot,Baya Gualo
macho-brace,name_es,Brazal Firme,Brazalete Firme
exp-share,name_it,Condividi esp.,Condividi Esp.
exp-share,fling_power,,30
soothe-bell,name_es,Cascabel Alivio,
kings-rock,name_en,King’s Rock,King's Rock
kings-rock,name_it,Roccia di Re,
kings-rock,name_ko,왕의징표석,
amulet-coin,name_it,Monetamuleto,Monetaamuleto
deep-sea-scale,name_it,Squamabissi,
deep-sea-scale,name_ko,심해의비늘,
focus-band,name_es,Cinta Aguante,Cinta Focus
metal-coat,name_es,Revest. Metálico,
mystic-water,name_it,Acqua Magica,Acquamagica
never-melt-ice,name_es,Hielo Perpetuo,Antiderretir
dragon-fang,name_es,Colmillo de Dragón,Colmillo Dragón
silk-scarf,introduced_generation,2,3
up-grade,_row_,present,missing
sea-incense,name_es,Incienso Marino,Incienso marino
lax-incense,name_es,Incienso Suave,Incienso suave
metal-powder,name_fr,Poudre Métal,Poudre Metal
stick,_row_,present,missing
muscle-band,name_fr,Bandeau Muscle,Band. Muscle / Bandeau Muscle
focus-sash,name_es,Banda Aguante,Banda Focus
lagging-tail,name_de,Schwerschweif,Schwerschwf.
black-sludge,name_ko,검은오물,검은진흙
choice-specs,name_es,Gafas Elección,Lentes Elección
flame-plate,name_es,Tabla Llama,Placa Llama
zap-plate,name_ko,우레플레이트,우뢰플레이트
odd-incense,name_es,Incienso Raro,Incienso raro
rock-incense,name_es,Incienso Roca,Incienso roca
full-incense,name_es,Incienso Lento,Incienso lento
wave-incense,name_es,Incienso Acua,Incienso Acua / Incienso Aqua
rose-incense,name_es,Incienso Floral,Incienso floral
luck-incense,name_es,Incienso Duplo,Incienso duplo
pure-incense,name_es,Incienso Puro,Incienso puro
razor-claw,name_it,Affilartigli,Affilartiglio
tm01,_row_,present,missing
tm02,_row_,present,missing
tm03,_row_,present,missing
tm04,_row_,present,missing
tm05,_row_,present,missing
tm06,_row_,present,missing
tm07,_row_,present,missing
tm08,_row_,present,missing
tm09,_row_,present,missing
tm10,_row_,present,missing
tm11,_row_,present,missing
tm12,_row_,present,missing
tm13,_row_,present,missing
tm14,_row_,present,missing
tm15,_row_,present,missing
tm16,_row_,present,missing
tm17,_row_,present,missing
tm18,_row_,present,missing
tm19,_row_,present,missing
tm20,_row_,present,missing
tm21,_row_,present,missing
tm22,_row_,present,missing
tm23,_row_,present,missing
tm24,_row_,present,missing
tm25,_row_,present,missing
tm26,_row_,present,missing
tm27,_row_,present,missing
tm28,_row_,present,missing
tm29,_row_,present,missing
tm30,_row_,present,missing
tm31,_row_,present,missing
tm32,_row_,present,missing
tm33,_row_,present,missing
tm34,_row_,present,missing
tm35,_row_,present,missing
tm36,_row_,present,missing
tm37,_row_,present,missing
tm38,_row_,present,missing
tm39,_row_,present,missing
tm40,_row_,present,missing
tm41,_row_,present,missing
tm42,_row_,present,missing
tm43,_row_,present,missing
tm44,_row_,present,missing
tm45,_row_,present,missing
tm46,_row_,present,missing
tm47,_row_,present,missing
tm48,_row_,present,missing
tm49,_row_,present,missing
tm50,_row_,present,missing
tm51,_row_,present,missing
tm52,_row_,present,missing
tm53,_row_,present,missing
tm54,_row_,present,missing
tm55,_row_,present,missing
tm56,_row_,present,missing
tm57,_row_,present,missing
tm58,_row_,present,missing
tm59,_row_,present,missing
tm60,_row_,present,missing
tm61,_row_,present,missing
tm62,_row_,present,missing
tm63,_row_,present,missing
tm64,_row_,present,missing
tm65,_row_,present,missing
tm66,_row_,present,missing
tm67,_row_,present,missing
tm68,_row_,present,missing
tm69,_row_,present,missing
tm70,_row_,present,missing
tm71,_row_,present,missing
tm72,_row_,present,missing
tm73,_row_,present,missing
tm74,_row_,present,missing
tm75,_row_,present,missing
tm76,_row_,present,missing
tm77,_row_,present,missing
tm78,_row_,present,missing
tm79,_row_,present,missing
tm80,_row_,present,missing
tm81,_row_,present,missing
tm82,_row_,present,missing
tm83,_row_,present,missing
tm84,_row_,present,missing
tm85,_row_,present,missing
tm86,_row_,present,missing
tm87,_row_,present,missing
tm88,_row_,present,missing
tm89,_row_,present,missing
tm90,_row_,present,missing
tm91,_row_,present,missing
tm92,_row_,present,missing
hm01,name_fr,CS01,
hm01,name_de,VM01,
hm01,name_es,MO01,
hm01,name_it,MN01,
hm01,name_ko,비전머신01,
hm02,name_fr,CS02,
hm02,name_de,VM02,
hm02,name_es,MO02,
hm02,name_it,MN02,
hm02,name_ko,비전머신02,
hm03,name_fr,CS03,
hm03,name_de,VM03,
hm03,name_es,MO03,
hm03,name_it,MN03,
hm03,name_ko,비전머신03,
hm04,name_fr,CS04,
hm04,name_de,VM04,
hm04,name_es,MO04,
hm04,name_it,MN04,
hm04,name_ko,비전머신04,
hm05,name_fr,CS05,
hm05,name_de,VM05,
hm05,name_es,MO05,
hm05,name_it,MN05,
hm05,name_ko,비전머신05,
hm06,name_fr,CS06,
hm06,name_de,VM06,
hm06,name_es,MO06,
hm06,name_it,MN06,
hm06,name_ko,비전머신06,
hm07,name_fr,CS07,
hm07,name_de,VM07,
hm07,name_es,MO07,
hm07,name_it,MN07,
hm07,name_ko,비전머신07,
hm08,name_fr,CS08,
hm08,name_de,VM08,
hm08,name_es,MO08,
hm08,name_it,MN08,
