form/version_group/method/move,column,pokeapi,pokedb
bulbasaur/red-green-japan/level-up/tackle,_row_,present,missing
bulbasaur/red-green-japan/level-up/growl,_row_,present,missing
bulbasaur/red-green-japan/level-up/leech-seed,_row_,present,missing
bulbasaur/red-green-japan/level-up/vine-whip,_row_,present,missing
bulbasaur/red-green-japan/level-up/poison-powder,_row_,present,missing
bulbasaur/red-green-japan/level-up/razor-leaf,_row_,present,missing
bulbasaur/red-green-japan/level-up/growth,_row_,present,missing
bulbasaur/red-green-japan/level-up/sleep-powder,_row_,present,missing
bulbasaur/red-green-japan/level-up/solar-beam,_row_,present,missing
bulbasaur/red-green-japan/machine/swords-dance,_row_,present,missing
bulbasaur/red-green-japan/machine/cut,_row_,present,missing
bulbasaur/red-green-japan/machine/body-slam,_row_,present,missing
bulbasaur/red-green-japan/machine/take-down,_row_,present,missing
bulbasaur/red-green-japan/machine/double-edge,_row_,present,missing
bulbasaur/red-green-japan/machine/mega-drain,_row_,present,missing
bulbasaur/red-green-japan/machine/solar-beam,_row_,present,missing
bulbasaur/red-green-japan/machine/toxic,_row_,present,missing
bulbasaur/red-green-japan/machine/rage,_row_,present,missing
bulbasaur/red-green-japan/machine/mimic,_row_,present,missing
bulbasaur/red-green-japan/machine/double-team,_row_,present,missing
bulbasaur/red-green-japan/machine/reflect,_row_,present,missing
bulbasaur/red-green-japan/machine/bide,_row_,present,missing
bulbasaur/red-green-japan/machine/rest,_row_,present,missing
bulbasaur/red-green-japan/machine/substitute,_row_,present,missing
bulbasaur/blue-japan/level-up/tackle,_row_,present,missing
bulbasaur/blue-japan/level-up/growl,_row_,present,missing
bulbasaur/blue-japan/level-up/leech-seed,_row_,present,missing
bulbasaur/blue-japan/level-up/vine-whip,_row_,present,missing
bulbasaur/blue-japan/level-up/poison-powder,_row_,present,missing
bulbasaur/blue-japan/level-up/razor-leaf,_row_,present,missing
bulbasaur/blue-japan/level-up/growth,_row_,present,missing
bulbasaur/blue-japan/level-up/sleep-powder,_row_,present,missing
bulbasaur/blue-japan/level-up/solar-beam,_row_,present,missing
bulbasaur/blue-japan/machine/swords-dance,_row_,present,missing
bulbasaur/blue-japan/machine/cut,_row_,present,missing
bulbasaur/blue-japan/machine/body-slam,_row_,present,missing
bulbasaur/blue-japan/machine/take-down,_row_,present,missing
bulbasaur/blue-japan/machine/double-edge,_row_,present,missing
bulbasaur/blue-japan/machine/mega-drain,_row_,present,missing
bulbasaur/blue-japan/machine/solar-beam,_row_,present,missing
bulbasaur/blue-japan/machine/toxic,_row_,present,missing
bulbasaur/blue-japan/machine/rage,_row_,present,missing
bulbasaur/blue-japan/machine/mimic,_row_,present,missing
bulbasaur/blue-japan/machine/double-team,_row_,present,missing
bulbasaur/blue-japan/machine/reflect,_row_,present,missing
bulbasaur/blue-japan/machine/bide,_row_,present,missing
bulbasaur/blue-japan/machine/rest,_row_,present,missing
bulbasaur/blue-japan/machine/substitute,_row_,present,missing
ivysaur/red-blue/level-up/leech-seed,level,7,1
ivysaur/yellow/level-up/leech-seed,level,7,1
ivysaur/gold-silver/level-up/growl,level,4,1
ivysaur/ruby-sapphire/level-up/growl,level,4,1
ivysaur/ruby-sapphire/level-up/leech-seed,level,7,1
ivysaur/firered-leafgreen/level-up/growl,level,4,1
ivysaur/firered-leafgreen/level-up/leech-seed,level,7,1
ivysaur/platinum/level-up/growl,level,3,1
ivysaur/heartgold-soulsilver/level-up/leech-seed,level,7,1
ivysaur/colosseum/level-up/growl,level,4,1
ivysaur/colosseum/level-up/leech-seed,level,7,1
ivysaur/xd/level-up/growl,level,4,1
ivysaur/xd/level-up/leech-seed,level,7,1
ivysaur/black-2-white-2/level-up/growl,level,3,1
ivysaur/black-2-white-2/level-up/leech-seed,level,7,1
