version_group/machine,column,pokeapi,pokedb
firered-leafgreen/tm1,_row_,present,missing
diamond-pearl/tm1,_row_,present,missing
platinum/tm1,_row_,present,missing
heartgold-soulsilver/tm1,_row_,present,missing
colosseum/tm1,_row_,present,missing
xd/tm1,_row_,present,missing
x-y/tm1,_row_,present,missing
omega-ruby-alpha-sapphire/tm1,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm1,_row_,present,missing
red-green-japan/tm1,_row_,present,missing
blue-japan/tm1,_row_,present,missing
yellow/tm2,_row_,present,missing
crystal/tm2,_row_,present,missing
emerald/tm2,_row_,present,missing
firered-leafgreen/tm2,_row_,present,missing
platinum/tm2,_row_,present,missing
heartgold-soulsilver/tm2,_row_,present,missing
colosseum/tm2,_row_,present,missing
xd/tm2,_row_,present,missing
black-2-white-2/tm2,_row_,present,missing
omega-ruby-alpha-sapphire/tm2,_row_,present,missing
ultra-sun-ultra-moon/tm2,_row_,present,missing
red-green-japan/tm2,_row_,present,missing
blue-japan/tm2,_row_,present,missing
heartgold-soulsilver/tm3,_row_,present,missing
colosseum/tm3,_row_,present,missing
xd/tm3,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm3,_row_,present,missing
red-green-japan/tm3,_row_,present,missing
blue-japan/tm3,_row_,present,missing
yellow/tm4,_row_,present,missing
crystal/tm4,_row_,present,missing
emerald/tm4,_row_,present,missing
firered-leafgreen/tm4,_row_,present,missing
diamond-pearl/tm4,_row_,present,missing
platinum/tm4,_row_,present,missing
heartgold-soulsilver/tm4,_row_,present,missing
black-white/tm4,_row_,present,missing
colosseum/tm4,_row_,present,missing
xd/tm4,_row_,present,missing
black-2-white-2/tm4,_row_,present,missing
x-y/tm4,_row_,present,missing
omega-ruby-alpha-sapphire/tm4,_row_,present,missing
ultra-sun-ultra-moon/tm4,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm4,_row_,present,missing
red-green-japan/tm4,_row_,present,missing
blue-japan/tm4,_row_,present,missing
firered-leafgreen/tm5,_row_,present,missing
heartgold-soulsilver/tm5,_row_,present,missing
colosseum/tm5,_row_,present,missing
xd/tm5,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm5,_row_,present,missing
red-green-japan/tm5,_row_,present,missing
blue-japan/tm5,_row_,present,missing
colosseum/tm6,_row_,present,missing
xd/tm6,_row_,present,missing
red-green-japan/tm6,_row_,present,missing
blue-japan/tm6,_row_,present,missing
firered-leafgreen/tm7,_row_,present,missing
heartgold-soulsilver/tm7,_row_,present,missing
colosseum/tm7,_row_,present,missing
xd/tm7,_row_,present,missing
omega-ruby-alpha-sapphire/tm7,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm7,_row_,present,missing
