dex_number,column,pokeapi,pokedb
1,base_friendship_gen8,70,50
2,base_friendship_gen8,70,50
2,name_ja-roma,Fushigisou,Fushigisō
3,base_friendship_gen8,70,50
4,base_friendship_gen8,70,50
5,base_friendship_gen8,70,50
5,name_ja-roma,Lizardo,Rizādo
6,base_friendship_gen8,70,50
6,base_experience,240,267
6,name_ja-roma,Lizardon,Rizādon
7,base_friendship_gen8,70,50
8,base_friendship_gen8,70,50
8,name_ja-roma,Kameil,Kamēru
9,base_friendship_gen8,70,50
9,base_experience,239,265
9,name_ja-roma,Kamex,Kamekkusu
10,base_friendship_gen8,70,50
10,name_ja-roma,Caterpie,Kyatapī
11,base_friendship_gen8,70,50
11,name_ja-roma,Transel,Toranseru
12,base_friendship_gen8,70,50
12,base_experience,178,198
12,name_ja-roma,Butterfree,Batafurī
13,base_friendship_gen8,70,50
13,name_ja-roma,Beedle,Bīdoru
14,base_friendship_gen8,70,50
14,ability_hidden,,sniper
14,ev_atk,0,2
14,ev_def,2,0
14,name_ja-roma,Cocoon,Kokūn
15,base_friendship_gen8,70,50
15,ability_hidden,sniper,
15,name_ja-roma,Spear,Supiā
16,base_friendship_gen8,70,50
17,base_friendship_gen8,70,50
17,name_ja-roma,Pigeon,Pijon
18,base_friendship_gen8,70,50
18,name_ja-roma,Pigeot,Pijotto
19,base_friendship_gen8,70,50
20,base_friendship_gen8,70,50
21,base_friendship_gen8,70,50
22,base_friendship_gen8,70,50
22,name_ja-roma,Onidrill,Onidoriru
23,base_friendship_gen8,70,50
23,name_ja-roma,Arbo,Ābo
24,base_friendship_gen8,70,50
24,name_ja-roma,Arbok,Ābokku
25,base_friendship_gen8,70,50
25,name_ja-roma,Pikachu,Pikachū
26,base_friendship_gen8,70,50
26,base_experience,218,243
26,name_ja-roma,Raichu,Raichū
27,base_friendship_gen8,70,50
27,name_ja-roma,Sand,Sando
28,base_friendship_gen8,70,50
28,stat_def,110,120
28,stat_spa,45,25
28,stat_spd,55,65
28,name_ja-roma,Sandpan,Sandopan
29,base_friendship_gen8,70,50
29,name_ja-roma,Nidoran♀,Nidoran Mesu
30,base_friendship_gen8,70,50
30,name_ja-roma,Nidorina,Nidorīna
31,base_friendship_gen8,70,50
31,base_experience,227,253
31,name_ja-roma,Nidoqueen,Nidokuin
32,base_friendship_gen8,70,50
32,name_ja-roma,Nidoran♂,Nidoran Osu
33,base_friendship_gen8,70,50
33,name_ja-roma,Nidorino,Nidorīno
34,base_friendship_gen8,70,50
34,base_experience,227,253
34,name_ja-roma,Nidoking,Nidokingu
36,base_experience,217,242
36,name_ja-roma,Pixy,Pikushī
37,base_friendship_gen8,70,50
38,base_friendship_gen8,70,50
38,name_ja-roma,Kyukon,Kyūkon
39,base_friendship_gen8,70,50
40,base_friendship_gen8,70,50
40,base_experience,196,218
41,base_friendship_gen8,70,50
41,name_ja-roma,Zubat,Zubatto
42,base_friendship_gen8,70,50
42,name_ja-roma,Golbat,Gorubatto
43,base_friendship_gen8,70,50
44,base_friendship_gen8,70,50
45,base_friendship_gen8,70,50
45,base_experience,221,245
45,name_ja-roma,Ruffresia,Rafureshia
46,base_friendship_gen8,70,50
46,name_ja-roma,Paras,Parasu
47,base_friendship_gen8,70,50
47,name_ja-roma,Parasect,Parasekuto
48,base_friendship_gen8,70,50
48,name_ja-roma,Kongpang,Konpan
49,base_friendship_gen8,70,50
49,name_ja-roma,Morphon,Morufon
50,base_friendship_gen8,70,50
50,name_ja-roma,Digda,Diguda
51,base_friendship_gen8,70,50
51,name_ja-roma,Dugtrio,Dagutorio
52,base_friendship_gen8,70,50
52,name_ja-roma,Nyarth,Nyāsu
53,base_friendship_gen8,70,50
53,name_ja-roma,Persian,Perushian
54,base_friendship_gen8,70,50
54,name_ja-roma,Koduck,Kodakku
55,base_friendship_gen8,70,50
55,name_ja-roma,Golduck,Gorudakku
56,base_friendship_gen8,70,50
56,name_ja-roma,Mankey,Mankī
57,base_friendship_gen8,70,50
58,base_friendship_gen8,70,50
58,name_ja-roma,Gardie,Gādi
59,base_friendship_gen8,70,50
59,name_ja-roma,Windie,Uindi
60,base_friendship_gen8,70,50
61,base_friendship_gen8,70,50
62,base_friendship_gen8,70,50
62,base_experience,230,255
63,base_friendship_gen8,70,50
63,name_ja-roma,Casey,Kēshī
64,base_friendship_gen8,70,50
64,name_ja-roma,Yungerer,Yungerā
65,base_friendship_gen8,70,50
65,base_experience,225,250
65,name_ja-roma,Foodin,Fūdin
66,base_friendship_gen8,70,50
66,name_ja-roma,Wanriky,Wanrikī
67,base_friendship_gen8,70,50
67,name_ja-roma,Goriky,Gōrikī
68,base_friendship_gen8,70,50
68,base_experience,227,253
68,name_ja-roma,Kairiky,Kairikī
69,base_friendship_gen8,70,50
70,base_friendship_gen8,70,50
71,base_friendship_gen8,70,50
71,name_ja-roma,Utsubot,Utsubotto
72,base_friendship_gen8,70,50
73,base_friendship_gen8,70,50
74,base_friendship_gen8,70,50
74,name_ja-roma,Isitsubute,Ishitsubute
75,base_friendship_gen8,70,50
75,name_ja-roma,Golone,Gorōn
76,base_friendship_gen8,70,50
76,name_ja-roma,Golonya,Gorōnya
77,base_friendship_gen8,70,50
77,ev_spd,0,1
77,ev_spe,1,0
77,name_ja-roma,Ponyta,Ponīta
78,base_friendship_gen8,70,50
78,ev_spd,0,2
78,ev_spe,2,0
78,name_ja-roma,Gallop,Gyaroppu
79,base_friendship_gen8,70,50
80,base_friendship_gen8,70,50
81,base_friendship_gen8,70,50
81,name_ja-roma,Coil,Koiru
82,base_friendship_gen8,70,50
82,name_ja-roma,Rarecoil,Reakoiru
83,base_friendship_gen8,70,50
83,name_en,Farfetch’d,Farfetch'd
83,name_es,Farfetch’d,Farfetch'd
83,name_it,Farfetch’d,Farfetch'd
84,base_friendship_gen8,70,50
84,name_ja-roma,Dodo,Dōdō
85,base_friendship_gen8,70,50
85,name_ja-roma,Dodorio,Dōdorio
86,base_friendship_gen8,70,50
86,name_ja-roma,Pawou,Pauwau
87,base_friendship_gen8,70,50
88,base_friendship_gen8,70,50
88,name_ja-roma,Betbeter,Betobetā
89,base_friendship_gen8,70,50
89,name_ja-roma,Betbeton,Betobeton
90,base_friendship_gen8,70,50
90,name_ja-roma,Shellder,Sherudā
91,base_friendship_gen8,70,50
91,name_ja-roma,Parshen,Parushen
92,base_friendship_gen8,70,50
92,name_ja-roma,Ghos,Gōsu
93,base_friendship_gen8,70,50
93,name_ja-roma,Ghost,Gōsuto
94,base_friendship_gen8,70,50
94,base_experience,225,250
94,name_ja-roma,Gangar,Gengā
95,base_friendship_gen8,70,50
