key,column,pokeapi,pokedb,chosen
decidueye,base_experience,239,265,265
incineroar,base_experience,239,265,265
primarina,base_experience,239,265,265
vikavolt,base_experience,225,250,250
tsareena,base_experience,230,255,255
silvally,base_experience,257,285,285
kommo-o,base_experience,270,300,300
tapu-koko,base_experience,257,285,285
tapu-lele,base_experience,257,285,285
tapu-bulu,base_experience,257,285,285
tapu-fini,base_experience,257,285,285
solgaleo,base_experience,306,340,340
lunala,base_experience,306,340,340
nihilego,base_experience,257,285,285
buzzwole,base_experience,257,285,285
pheromosa,base_experience,257,285,285
xurkitree,base_experience,257,285,285
celesteela,base_experience,257,285,285
kartana,base_experience,257,285,285
guzzlord,base_experience,257,285,285
necrozma,base_experience,270,300,300
magearna,base_experience,270,300,300
marshadow,base_experience,270,300,300
poipole,base_experience,189,210,210
naganadel,base_experience,243,270,270
stakataka,base_experience,257,285,285
blacephalon,base_experience,257,285,285
zeraora,base_experience,270,300,300
meltan,base_experience,135,150,150
melmetal,base_experience,270,300,300
zamazenta,base_experience,335,360,360
vikavolt-totem,base_experience,225,250,250
wishiwashi-school,base_experience,217,61,61
kommo-o-totem,base_experience,270,300,300
zamazenta-crowned,base_experience,360,335,335
melmetal-gmax,base_experience,270,300,300
decidueye-hisui,base_experience,239,265,265
palafin-hero,base_experience,160,228,228
