key,column,pokeapi,pokedb,chosen
ultra-ball,name_es,Ultra Ball,Ultrabola,Ultra Ball
great-ball,name_es,Super Ball,Superbola,Super Ball
safari-ball,name_es_419,Safari Ball,Safaribola,Safari Ball
net-ball,name_ko,네트볼,넷트볼,네트볼
net-ball,name_es_419,Malla Ball,Mallabola,Malla Ball
dive-ball,name_es_419,Buceo Ball,Buceobola,Buceo Ball
nest-ball,name_es,Nido Ball,Nidobola,Nido Ball
repeat-ball,name_ko,리피트볼,리피드볼,리피트볼
repeat-ball,name_es_419,Acopio Ball,Acopiobola,Acopio Ball
timer-ball,name_ko,타이머볼,타이마볼,타이머볼
timer-ball,name_es_419,Turno Ball,Turnobola,Turno Ball
premier-ball,name_ko,프리미어볼,프레미어볼,프리미어볼
premier-ball,name_es_419,Honor Ball,Honorbola,Honor Ball
dusk-ball,name_es_419,Ocaso Ball,Ocasobola,Ocaso Ball
heal-ball,name_es_419,Sana Ball,Sanabola,Sana Ball
quick-ball,name_es_419,Veloz Ball,Velozbola,Veloz Ball
cherish-ball,name_es_419,Gloria Ball,Gloriabola,Gloria Ball
burn-heal,name_es_419,Antiquemar,Antiquemaduras,Antiquemar
paralyze-heal,name_es,Antiparalizador,Antiparaliz,Antiparalizador
full-restore,name_it,Ricarica totale,Ricarica Totale,Ricarica totale
full-restore,name_es_419,Restaurar Todo,Restauratodo,Restaurar Todo
max-potion,name_es,Poción Máxima,Máxima Poción,Poción Máxima
hyper-potion,name_es,Hiperpoción,Híper Poción,Hiperpoción
super-potion,name_es,Superpoción,Súper Poción,Superpoción
full-heal,name_it,Cura totale,Cura Totale,Cura totale
full-heal,name_es_419,Cura Total,Curación Total,Cura Total
fresh-water,name_it,Acqua fresca,Acqua Fresca,Acqua fresca
moomoo-milk,name_es,Leche Mu-mu,Leche Mu-Mu,Leche Mu-mu
revival-herb,name_ko,부활초,부활 초,부활초
elixir,name_es_419,Elixir,Elíxir,Elixir
berry-juice,name_es_419,Zumo de Baya,Jugo de Baya,Zumo de Baya
sacred-ash,name_it,Ceneremagica,Cenere magica,Ceneremagica
protein,name_fr,Protéine,Proteine,Protéine
carbos,name_es_419,Carburante,Carbohidratos,Carburante
pp-up,name_ko,포인트업,포인트 업,포인트업
pp-max,name_ko,포인트맥스,포인트 맥스,포인트맥스
pp-max,name_es,PP Máximos,Máx. PP,PP Máximos
dire-hit,name_de,Angriffplus,X-Volltreffer,Angriffplus
x-sp-atk,name_fr,Atq. Spé. +,Atq. Spé. + / Spécial +,Atq. Spé. +
x-sp-atk,name_de,X-Sp.-Ang.,X-Sp.-Ang. / X-Spezial,X-Sp.-Ang.
x-sp-atk,name_it,Att. Speciale X,Att. Speciale X / Special X,Att. Speciale X
x-sp-atk,name_es,At. Especial X,At. Especial X / Especial X,At. Especial X
x-sp-def,name_de,X-Sp.-Vert.,X-Spezial-Vert.,X-Sp.-Vert.
poke-doll,name_it,Poké Bambola,Pokébambola,Poké Bambola
poke-doll,name_es,Poké Muñeco,Pokémuñeco,Poké Muñeco
fluffy-tail,name_es_419,Cola Skitty,Cola de Skitty,Cola Skitty
black-flute,name_de,Schwarze Flöte,Schw. Flöte,Schwarze Flöte
shoal-shell,name_fr,CoquilleTréfonds,Coquille Tréfonds,CoquilleTréfonds
shoal-shell,name_es_419,Concha Cardumen,Caracola Cardumen,Concha Cardumen
red-shard,name_es,Parte Roja,Fragmento Rojo,Parte Roja
blue-shard,name_fr,Tesson Bleu,Tesson Blue,Tesson Bleu
blue-shard,name_es_419,Parte Azul,Fragmento Azul,Parte Azul
yellow-shard,name_es_419,Parte Amarilla,Fragmento Amarillo,Parte Amarilla
green-shard,name_es,Parte Verde,Fragmento Verde,Parte Verde
super-repel,name_es,Superrepelente,Súper Repel,Superrepelente
max-repel,name_es,Repelente Máximo,Máx. Repel,Repelente Máximo
escape-rope,name_es,Cuerda Huida,Cuerda de Huida,Cuerda Huida
tiny-mushroom,name_es_419,Miniseta,Minihongo,Miniseta
big-mushroom,name_es_419,Seta Grande,Hongo Grande,Seta Grande
big-pearl,name_es_419,Perla Grande,Gran Perla,Perla Grande
stardust,name_ko,별의모래,별의조각,별의모래
stardust,name_es_419,Polvo Estelar,Polvo Estrella,Polvo Estelar
star-piece,name_fr,Morceau d’Étoile,Morceau d'Étoile,Morceau d’Étoile
star-piece,name_es,Trozo Estrella,Fragmento Estrella,Trozo Estrella
nugget,name_es_419,Pepita,Pepita de Oro,Pepita
heart-scale,name_fr,Écaille Cœur,Écaillecœur,Écaille Cœur
gooey-mulch,name_es_419,Abono Brote,Abono Germinador,Abono Brote
helix-fossil,name_es,Fósil Hélix,Fósil Helix,Fósil Hélix
old-amber,name_it,Ambra antica,Ambra Antica,Ambra antica
lustrous-orb,name_es_419,Lustresfera,Lustroesfera,Lustresfera
nanab-berry,name_es_419,Baya Latano,Baya Látano,Baya Latano
wacan-berry,name_es,Baya Gualot,Baya Gualo,Baya Gualot
lansat-berry,name_es_419,Baya Zonlan,Baya Lansat,Baya Zonlan
macho-brace,name_es,Brazal Firme,Brazalete Firme,Brazal Firme
exp-share,name_it,Condividi esp.,Condividi Esp.,Condividi esp.
amulet-coin,name_it,Monetamuleto,Monetaamuleto,Monetamuleto
focus-band,name_es,Cinta Aguante,Cinta Focus,Cinta Aguante
mystic-water,name_it,Acqua Magica,Acquamagica,Acqua Magica
dragon-fang,name_es,Colmillo de Dragón,Colmillo Dragón,Colmillo de Dragón
up-grade,name_de,Up-Grade,Upgrade,Up-Grade
sea-incense,name_es,Incienso Marino,Incienso marino,Incienso Marino
lax-incense,name_es,Incienso Suave,Incienso suave,Incienso Suave
metal-powder,name_fr,Poudre Métal,Poudre Metal,Poudre Métal
green-scarf,name_es_419,Pañuelo Verde,Pañuelo Esmeralda,Pañuelo Verde
muscle-band,name_fr,Bandeau Muscle,Band. Muscle / Bandeau Muscle,Bandeau Muscle
wise-glasses,name_es_419,Gafas Especiales,Lentes Especiales,Gafas Especiales
expert-belt,name_es_419,Cinta Experto,Cinturón de Experto,Cinta Experto
life-orb,name_es_419,Vidasfera,Vidaesfera,Vidasfera
toxic-orb,name_es_419,Toxisfera,Toxiesfera,Toxisfera
flame-orb,name_es_419,Llamasfera,Llamaesfera,Llamasfera
focus-sash,name_es,Banda Aguante,Banda Focus,Banda Aguante
lagging-tail,name_de,Schwerschweif,Schwerschwf.,Schwerschweif
destiny-knot,name_es_419,Lazo Destino,Hilo Destino,Lazo Destino
black-sludge,name_ko,검은오물,검은진흙,검은오물
power-belt,name_es_419,Cinto Recio,Cinturón Recio,Cinto Recio
power-lens,name_es_419,Lente Recia,Lente Recio,Lente Recia
power-anklet,name_es_419,Franja Recia,Tobillera Recia,Franja Recia
shed-shell,name_es_419,Muda Concha,Muda de Piel,Muda Concha
choice-specs,name_es,Gafas Elección,Lentes Elección,Gafas Elección
flame-plate,name_es,Tabla Llama,Placa Llama,Tabla Llama
splash-plate,name_es_419,Tabla Linfa,Placa Linfa,Tabla Linfa
zap-plate,name_ko,우레플레이트,우뢰플레이트,우레플레이트
zap-plate,name_es_419,Tabla Trueno,Placa Trueno,Tabla Trueno
meadow-plate,name_es_419,Tabla Pradal,Placa Pradal,Tabla Pradal
icicle-plate,name_es_419,Tabla Helada,Placa Helada,Tabla Helada
fist-plate,name_es_419,Tabla Fuerte,Placa Fuerte,Tabla Fuerte
toxic-plate,name_es_419,Tabla Tóxica,Placa Tóxica,Tabla Tóxica
earth-plate,name_es_419,Tabla Terrax,Placa Terral,Tabla Terrax
sky-plate,name_es_419,Tabla Cielo,Placa Cielo,Tabla Cielo
mind-plate,name_es_419,Tabla Mental,Placa Mental,Tabla Mental
insect-plate,name_es_419,Tabla Bicho,Placa Insecto,Tabla Bicho
stone-plate,name_es_419,Tabla Pétrea,Placa Pétrea,Tabla Pétrea
spooky-plate,name_es_419,Tabla Terror,Placa Terror,Tabla Terror
draco-plate,name_es_419,Tabla Draco,Placa Draco,Tabla Draco
dread-plate,name_es_419,Tabla Oscura,Placa Oscura,Tabla Oscura
iron-plate,name_es_419,Tabla Acero,Placa Acero,Tabla Acero
odd-incense,name_es,Incienso Raro,Incienso raro,Incienso Raro
rock-incense,name_es,Incienso Roca,Incienso roca,Incienso Roca
full-incense,name_es,Incienso Lento,Incienso lento,Incienso Lento
wave-incense,name_es,Incienso Acua,Incienso Acua / Incienso Aqua,Incienso Acua
rose-incense,name_es,Incienso Floral,Incienso floral,Incienso Floral
luck-incense,name_es,Incienso Duplo,Incienso duplo,Incienso Duplo
