key,column,pokeapi,pokedb,chosen
survival-charm|legends-arceus|legends-arceus|buy|poke-dollar|Varies by color,amount,25000,40000,25000
survival-charm|legends-arceus|legends-arceus|buy|poke-dollar|Varies by color,amount,25000,3000,25000
survival-charm|legends-arceus|legends-arceus|buy|poke-dollar|Varies by color,amount,25000,8000,25000
survival-charm|legends-arceus|legends-arceus|buy|poke-dollar|Varies by color,amount,25000,15000,25000
tempting-charm|legends-arceus|legends-arceus|buy|poke-dollar|One of five possible color variants,amount,4000,3000,4000
tempting-charm|legends-arceus|legends-arceus|buy|poke-dollar|One of five possible color variants,amount,4000,5000,4000
tempting-charm|legends-arceus|legends-arceus|buy|poke-dollar|One of five possible color variants,amount,4000,6000,4000
tempting-charm|legends-arceus|legends-arceus|buy|poke-dollar|One of five possible color variants,amount,4000,7000,4000
warding-charm|legends-arceus|legends-arceus|buy|poke-dollar|,amount,900,500,900
warding-charm|legends-arceus|legends-arceus|buy|poke-dollar|,amount,900,600,900
warding-charm|legends-arceus|legends-arceus|buy|poke-dollar|,amount,900,700,900
warding-charm|legends-arceus|legends-arceus|buy|poke-dollar|,amount,900,800,900
