key,column,pokeapi,pokedb,chosen
cheri-berry,introduced_generation,2,3,3
chesto-berry,introduced_generation,2,3,3
pecha-berry,introduced_generation,2,3,3
rawst-berry,introduced_generation,2,3,3
aspear-berry,introduced_generation,2,3,3
leppa-berry,introduced_generation,2,3,3
oran-berry,introduced_generation,2,3,3
persim-berry,introduced_generation,2,3,3
lum-berry,introduced_generation,2,3,3
sitrus-berry,introduced_generation,2,3,3
silk-scarf,introduced_generation,2,3,3
tm51,introduced_generation,1,4,4
tm52,introduced_generation,1,4,4
tm53,introduced_generation,1,4,4
tm54,introduced_generation,1,4,4
tm55,introduced_generation,1,4,4
hm08,introduced_generation,2,3,3
park-ball,introduced_generation,2,4,2
sport-ball,introduced_generation,4,2,4
big-nugget,fling_power,130,30,130
devon-parts,introduced_generation,6,3,6
key-to-room-1,introduced_generation,6,3,6
key-to-room-2,introduced_generation,6,3,6
key-to-room-4,introduced_generation,6,3,6
key-to-room-6,introduced_generation,6,3,6
storage-key--galactic-warehouse,introduced_generation,6,4,6
pokemon-box-link,introduced_generation,8,7,8
