key,column,pokeapi,pokedb,chosen
squirtle|firered-leafgreen|level-up|follow-me,_row_,missing,level 0,missing
rhyhorn|yellow|level-up|stomp,_row_,missing,level 1,missing
rhyhorn|yellow|level-up|fury-attack,_row_,missing,level 1,missing
rhyhorn|yellow|level-up|tail-whip,_row_,missing,level 1,missing
magmar|colosseum|machine|follow-me,_row_,missing,level 0,missing
pichu|firered-leafgreen|machine|follow-me,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|stomp,_row_,missing,level 1,missing
calyrex|scarlet-violet|level-up|double-kick,_row_,missing,level 1,missing
calyrex|scarlet-violet|level-up|tackle,_row_,missing,level 1,missing
calyrex|scarlet-violet|machine|body-slam,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|take-down,_row_,missing,level 1,missing
calyrex|scarlet-violet|level-up|thrash,_row_,missing,level 1,missing
calyrex|scarlet-violet|level-up|double-edge,_row_,missing,level 1,missing
calyrex|scarlet-violet|level-up|tail-whip,_row_,missing,level 1,missing
calyrex|scarlet-violet|level-up|disable,_row_,missing,level 1,missing
calyrex|scarlet-violet|level-up|agility,_row_,missing,level 1,missing
calyrex|scarlet-violet|machine|night-shade,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|confuse-ray,_row_,missing,level 1,missing
calyrex|scarlet-violet|machine|confuse-ray,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|haze,_row_,missing,level 1,missing
calyrex|scarlet-violet|machine|crunch,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|shadow-ball,_row_,missing,level 1,missing
calyrex|scarlet-violet|machine|shadow-ball,_row_,missing,level 0,missing
calyrex|scarlet-violet|machine|will-o-wisp,_row_,missing,level 0,missing
calyrex|scarlet-violet|machine|taunt,_row_,missing,level 0,missing
calyrex|scarlet-violet|machine|dark-pulse,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|nasty-plot,_row_,missing,level 1,missing
calyrex|scarlet-violet|machine|nasty-plot,_row_,missing,level 0,missing
calyrex|scarlet-violet|machine|foul-play,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|hex,_row_,missing,level 1,missing
calyrex|scarlet-violet|machine|hex,_row_,missing,level 0,missing
calyrex|scarlet-violet|machine|bulldoze,_row_,missing,level 0,missing
calyrex|scarlet-violet|machine|phantom-force,_row_,missing,level 0,missing
calyrex|scarlet-violet|machine|stomping-tantrum,_row_,missing,level 0,missing
calyrex|scarlet-violet|level-up|astral-barrage,_row_,missing,level 1,missing
calyrex|sword-shield|tutor|lash-out,_row_,missing,level 0,missing
calyrex|sword-shield|level-up|astral-barrage,_row_,missing,level 1,missing
calyrex|sword-shield|machine|stomping-tantrum,_row_,missing,level 0,missing
calyrex|sword-shield|level-up|stomp,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|double-kick,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|tackle,_row_,missing,level 1,missing
calyrex|sword-shield|machine|body-slam,_row_,missing,level 0,missing
calyrex|sword-shield|level-up|take-down,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|thrash,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|double-edge,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|tail-whip,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|disable,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|agility,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|confuse-ray,_row_,missing,level 1,missing
calyrex|sword-shield|level-up|haze,_row_,missing,level 1,missing
calyrex|sword-shield|machine|scary-face,_row_,missing,level 0,missing
calyrex|sword-shield|machine|crunch,_row_,missing,level 0,missing
calyrex|sword-shield|level-up|shadow-ball,_row_,missing,level 1,missing
calyrex|sword-shield|machine|shadow-ball,_row_,missing,level 0,missing
calyrex|sword-shield|machine|uproar,_row_,missing,level 0,missing
calyrex|sword-shield|machine|will-o-wisp,_row_,missing,level 0,missing
calyrex|sword-shield|machine|taunt,_row_,missing,level 0,missing
calyrex|sword-shield|machine|mud-shot,_row_,missing,level 0,missing
calyrex|sword-shield|machine|payback,_row_,missing,level 0,missing
calyrex|sword-shield|machine|assurance,_row_,missing,level 0,missing
calyrex|sword-shield|machine|dark-pulse,_row_,missing,level 0,missing
calyrex|sword-shield|level-up|nasty-plot,_row_,missing,level 1,missing
calyrex|sword-shield|machine|nasty-plot,_row_,missing,level 0,missing
calyrex|sword-shield|machine|psycho-cut,_row_,missing,level 0,missing
calyrex|sword-shield|machine|foul-play,_row_,missing,level 0,missing
calyrex|sword-shield|level-up|hex,_row_,missing,level 1,missing
calyrex|sword-shield|machine|hex,_row_,missing,level 0,missing
calyrex|sword-shield|machine|bulldoze,_row_,missing,level 0,missing
calyrex|sword-shield|machine|snarl,_row_,missing,level 0,missing
calyrex|sword-shield|machine|phantom-force,_row_,missing,level 0,missing
calyrex-ice|scarlet-violet|level-up|aromatherapy,_row_,missing,level 40,missing
