key,column,pokeapi,pokedb,chosen
scarlet-violet|tm00,_row_,missing,mega-punch,filled from pokedb
brilliant-diamond-shining-pearl|tm03,_row_,missing,water-pulse,filled from pokedb
brilliant-diamond-shining-pearl|tm06,_row_,missing,toxic,filled from pokedb
brilliant-diamond-shining-pearl|tm07,_row_,missing,hail,filled from pokedb
brilliant-diamond-shining-pearl|tm08,_row_,missing,bulk-up,filled from pokedb
brilliant-diamond-shining-pearl|tm11,_row_,missing,sunny-day,filled from pokedb
brilliant-diamond-shining-pearl|tm12,_row_,missing,taunt,filled from pokedb
brilliant-diamond-shining-pearl|tm13,_row_,missing,ice-beam,filled from pokedb
brilliant-diamond-shining-pearl|tm14,_row_,missing,blizzard,filled from pokedb
brilliant-diamond-shining-pearl|tm15,_row_,missing,hyper-beam,filled from pokedb
brilliant-diamond-shining-pearl|tm16,_row_,missing,light-screen,filled from pokedb
brilliant-diamond-shining-pearl|tm17,_row_,missing,protect,filled from pokedb
brilliant-diamond-shining-pearl|tm19,_row_,missing,giga-drain,filled from pokedb
brilliant-diamond-shining-pearl|tm22,_row_,missing,solar-beam,filled from pokedb
brilliant-diamond-shining-pearl|tm23,_row_,missing,iron-tail,filled from pokedb
brilliant-diamond-shining-pearl|tm32,_row_,missing,double-team,filled from pokedb
brilliant-diamond-shining-pearl|tm33,_row_,missing,reflect,filled from pokedb
brilliant-diamond-shining-pearl|tm35,_row_,missing,flamethrower,filled from pokedb
brilliant-diamond-shining-pearl|tm37,_row_,missing,sandstorm,filled from pokedb
brilliant-diamond-shining-pearl|tm39,_row_,missing,rock-tomb,filled from pokedb
brilliant-diamond-shining-pearl|tm42,_row_,missing,facade,filled from pokedb
brilliant-diamond-shining-pearl|tm44,_row_,missing,rest,filled from pokedb
brilliant-diamond-shining-pearl|tm45,_row_,missing,attract,filled from pokedb
brilliant-diamond-shining-pearl|tm46,_row_,missing,thief,filled from pokedb
brilliant-diamond-shining-pearl|tm47,_row_,missing,steel-wing,filled from pokedb
brilliant-diamond-shining-pearl|tm50,_row_,missing,overheat,filled from pokedb
brilliant-diamond-shining-pearl|tm51,_row_,missing,roost,filled from pokedb
brilliant-diamond-shining-pearl|tm52,_row_,missing,focus-blast,filled from pokedb
brilliant-diamond-shining-pearl|tm53,_row_,missing,energy-ball,filled from pokedb
brilliant-diamond-shining-pearl|tm55,_row_,missing,brine,filled from pokedb
brilliant-diamond-shining-pearl|tm56,_row_,missing,fling,filled from pokedb
brilliant-diamond-shining-pearl|tm57,_row_,missing,charge-beam,filled from pokedb
brilliant-diamond-shining-pearl|tm59,_row_,missing,dragon-pulse,filled from pokedb
brilliant-diamond-shining-pearl|tm60,_row_,missing,drain-punch,filled from pokedb
brilliant-diamond-shining-pearl|tm61,_row_,missing,will-o-wisp,filled from pokedb
brilliant-diamond-shining-pearl|tm64,_row_,missing,explosion,filled from pokedb
brilliant-diamond-shining-pearl|tm65,_row_,missing,shadow-claw,filled from pokedb
brilliant-diamond-shining-pearl|tm66,_row_,missing,payback,filled from pokedb
brilliant-diamond-shining-pearl|tm67,_row_,missing,recycle,filled from pokedb
brilliant-diamond-shining-pearl|tm69,_row_,missing,rock-polish,filled from pokedb
brilliant-diamond-shining-pearl|tm70,_row_,missing,flash,filled from pokedb
brilliant-diamond-shining-pearl|tm71,_row_,missing,stone-edge,filled from pokedb
brilliant-diamond-shining-pearl|tm72,_row_,missing,avalanche,filled from pokedb
brilliant-diamond-shining-pearl|tm73,_row_,missing,thunder-wave,filled from pokedb
brilliant-diamond-shining-pearl|tm74,_row_,missing,gyro-ball,filled from pokedb
brilliant-diamond-shining-pearl|tm75,_row_,missing,swords-dance,filled from pokedb
brilliant-diamond-shining-pearl|tm76,_row_,missing,stealth-rock,filled from pokedb
brilliant-diamond-shining-pearl|tm77,_row_,missing,psych-up,filled from pokedb
brilliant-diamond-shining-pearl|tm79,_row_,missing,dark-pulse,filled from pokedb
brilliant-diamond-shining-pearl|tm80,_row_,missing,rock-slide,filled from pokedb
brilliant-diamond-shining-pearl|tm81,_row_,missing,x-scissor,filled from pokedb
brilliant-diamond-shining-pearl|tm82,_row_,missing,sleep-talk,filled from pokedb
brilliant-diamond-shining-pearl|tm84,_row_,missing,poison-jab,filled from pokedb
brilliant-diamond-shining-pearl|tm85,_row_,missing,dream-eater,filled from pokedb
brilliant-diamond-shining-pearl|tm86,_row_,missing,grass-knot,filled from pokedb
brilliant-diamond-shining-pearl|tm87,_row_,missing,swagger,filled from pokedb
brilliant-diamond-shining-pearl|tm89,_row_,missing,u-turn,filled from pokedb
brilliant-diamond-shining-pearl|tm90,_row_,missing,substitute,filled from pokedb
brilliant-diamond-shining-pearl|tm91,_row_,missing,flash-cannon,filled from pokedb
brilliant-diamond-shining-pearl|tm92,_row_,missing,trick-room,filled from pokedb
brilliant-diamond-shining-pearl|tm93,_row_,missing,cut,filled from pokedb
brilliant-diamond-shining-pearl|tm94,_row_,missing,fly,filled from pokedb
brilliant-diamond-shining-pearl|tm95,_row_,missing,surf,filled from pokedb
brilliant-diamond-shining-pearl|tm96,_row_,missing,strength,filled from pokedb
brilliant-diamond-shining-pearl|tm97,_row_,missing,defog,filled from pokedb
brilliant-diamond-shining-pearl|tm98,_row_,missing,rock-smash,filled from pokedb
brilliant-diamond-shining-pearl|tm99,_row_,missing,waterfall,filled from pokedb
brilliant-diamond-shining-pearl|tm100,_row_,missing,rock-climb,filled from pokedb
legends-za|tm108,_row_,missing,comet-punch,filled from pokedb
legends-za|tm109,_row_,missing,facade,filled from pokedb
legends-za|tm110,_row_,missing,chilling-water,filled from pokedb
legends-za|tm111,_row_,missing,sing,filled from pokedb
legends-za|tm112,_row_,missing,acid-spray,filled from pokedb
legends-za|tm113,_row_,missing,low-sweep,filled from pokedb
legends-za|tm114,_row_,missing,flame-charge,filled from pokedb
legends-za|tm115,_row_,missing,trailblaze,filled from pokedb
legends-za|tm116,_row_,missing,pay-day,filled from pokedb
legends-za|tm117,_row_,missing,silver-wind,filled from pokedb
legends-za|tm118,_row_,missing,shadow-punch,filled from pokedb
legends-za|tm119,_row_,missing,ominous-wind,filled from pokedb
legends-za|tm120,_row_,missing,ancient-power,filled from pokedb
legends-za|tm121,_row_,missing,torment,filled from pokedb
legends-za|tm122,_row_,missing,false-swipe,filled from pokedb
legends-za|tm123,_row_,missing,poison-fang,filled from pokedb
legends-za|tm124,_row_,missing,psychic-fangs,filled from pokedb
legends-za|tm125,_row_,missing,mimic,filled from pokedb
legends-za|tm126,_row_,missing,magnet-bomb,filled from pokedb
legends-za|tm127,_row_,missing,dream-eater,filled from pokedb
legends-za|tm128,_row_,missing,seed-bomb,filled from pokedb
legends-za|tm129,_row_,missing,circle-throw,filled from pokedb
legends-za|tm130,_row_,missing,charge-beam,filled from pokedb
legends-za|tm131,_row_,missing,drain-punch,filled from pokedb
legends-za|tm132,_row_,missing,double-hit,filled from pokedb
legends-za|tm133,_row_,missing,blaze-kick,filled from pokedb
legends-za|tm134,_row_,missing,dual-wingbeat,filled from pokedb
legends-za|tm135,_row_,missing,dual-chop,filled from pokedb
legends-za|tm136,_row_,missing,scorching-sands,filled from pokedb
legends-za|tm137,_row_,missing,storm-throw,filled from pokedb
legends-za|tm138,_row_,missing,frost-breath,filled from pokedb
legends-za|tm139,_row_,missing,swagger,filled from pokedb
legends-za|tm140,_row_,missing,muddy-water,filled from pokedb
legends-za|tm141,_row_,missing,fake-out,filled from pokedb
legends-za|tm142,_row_,missing,first-impression,filled from pokedb
legends-za|tm143,_row_,missing,scale-shot,filled from pokedb
legends-za|tm144,_row_,missing,triple-axel,filled from pokedb
legends-za|tm145,_row_,missing,razor-wind,filled from pokedb
legends-za|tm146,_row_,missing,skull-bash,filled from pokedb
legends-za|tm147,_row_,missing,tri-attack,filled from pokedb
legends-za|tm148,_row_,missing,scald,filled from pokedb
legends-za|tm149,_row_,missing,icicle-spear,filled from pokedb
legends-za|tm150,_row_,missing,vacuum-wave,filled from pokedb
legends-za|tm151,_row_,missing,petal-dance,filled from pokedb
legends-za|tm152,_row_,missing,solar-blade,filled from pokedb
legends-za|tm153,_row_,missing,sky-attack,filled from pokedb
legends-za|tm154,_row_,missing,fissure,filled from pokedb
legends-za|tm155,_row_,missing,sheer-cold,filled from pokedb
legends-za|tm156,_row_,missing,meteor-beam,filled from pokedb
legends-za|tm157,_row_,missing,steel-beam,filled from pokedb
legends-za|tm158,_row_,missing,blast-burn,filled from pokedb
legends-za|tm159,_row_,missing,hydro-cannon,filled from pokedb
