key,column,pokeapi,pokedb,chosen
max-flare,damage_class,physical,vary,physical
max-flutterby,damage_class,physical,vary,physical
max-lightning,damage_class,physical,vary,physical
max-strike,damage_class,physical,vary,physical
max-knuckle,damage_class,physical,vary,physical
max-phantasm,damage_class,physical,vary,physical
max-hailstorm,damage_class,physical,vary,physical
max-ooze,damage_class,physical,vary,physical
max-geyser,damage_class,physical,vary,physical
max-airstream,damage_class,physical,vary,physical
max-starfall,damage_class,physical,vary,physical
max-wyrmwind,damage_class,physical,vary,physical
max-mindstorm,damage_class,physical,vary,physical
max-rockfall,damage_class,physical,vary,physical
max-quake,damage_class,physical,vary,physical
max-darkness,damage_class,physical,vary,physical
max-overgrowth,damage_class,physical,vary,physical
max-steelspike,damage_class,physical,vary,physical
shell-side-arm,damage_class,special,vary,special
tera-blast,damage_class,special,vary,special
tera-starstorm,damage_class,special,vary,special
shadow-panic,accuracy,90,60,90
