key,column,pokeapi,pokedb,chosen
pidgeot-mega,weight_kg,50.5,50,50.5
kommo-o-totem,weight_kg,207.5,207,207.5
corsola-galar,weight_kg,0.5,5,0.5
eternatus-eternamax,height_m,100,>100,100
eternatus-eternamax,weight_kg,0,???,0
venusaur-gmax,height_m,24,>24,24
venusaur-gmax,weight_kg,1000,???,1000
charizard-gmax,height_m,28,>28,28
charizard-gmax,weight_kg,1000,???,1000
blastoise-gmax,height_m,25,>25,25
blastoise-gmax,weight_kg,1000,???,1000
butterfree-gmax,height_m,17,>17,17
butterfree-gmax,weight_kg,1000,???,1000
pikachu-gmax,height_m,21,>21,21
pikachu-gmax,weight_kg,1000,???,1000
meowth-gmax,height_m,33,>33,33
meowth-gmax,weight_kg,1000,???,1000
machamp-gmax,height_m,25,>25,25
machamp-gmax,weight_kg,1000,???,1000
gengar-gmax,height_m,20,>20,20
gengar-gmax,weight_kg,1000,???,1000
kingler-gmax,height_m,19,>19,19
kingler-gmax,weight_kg,1000,???,1000
lapras-gmax,height_m,24,>24,24
lapras-gmax,weight_kg,1000,???,1000
eevee-gmax,height_m,18,>18,18
eevee-gmax,weight_kg,1000,???,1000
snorlax-gmax,height_m,35,>35,35
snorlax-gmax,weight_kg,1000,???,1000
garbodor-gmax,height_m,21,>21,21
garbodor-gmax,weight_kg,1000,???,1000
melmetal-gmax,height_m,25,>25,25
melmetal-gmax,weight_kg,1000,???,1000
rillaboom-gmax,height_m,28,>28,28
rillaboom-gmax,weight_kg,1000,???,1000
cinderace-gmax,height_m,27,>27,27
cinderace-gmax,weight_kg,1000,???,1000
inteleon-gmax,height_m,40,>40,40
inteleon-gmax,weight_kg,1000,???,1000
corviknight-gmax,height_m,14,>14,14
corviknight-gmax,weight_kg,1000,???,1000
orbeetle-gmax,height_m,14,>14,14
orbeetle-gmax,weight_kg,1000,???,1000
drednaw-gmax,height_m,24,>24,24
drednaw-gmax,weight_kg,1000,???,1000
coalossal-gmax,height_m,42,>42,42
coalossal-gmax,weight_kg,1000,???,1000
flapple-gmax,height_m,24,>24,24
flapple-gmax,weight_kg,1000,???,1000
appletun-gmax,height_m,24,>24,24
appletun-gmax,weight_kg,1000,???,1000
sandaconda-gmax,height_m,22,>22,22
sandaconda-gmax,weight_kg,1000,???,1000
toxtricity-amped-gmax,height_m,24,>24,24
toxtricity-amped-gmax,weight_kg,1000,???,1000
centiskorch-gmax,height_m,75,>75,75
centiskorch-gmax,weight_kg,1000,???,1000
hatterene-gmax,height_m,26,>26,26
hatterene-gmax,weight_kg,1000,???,1000
grimmsnarl-gmax,height_m,32,>32,32
grimmsnarl-gmax,weight_kg,1000,???,1000
alcremie-gmax,height_m,30,>30,30
alcremie-gmax,weight_kg,1000,???,1000
copperajah-gmax,height_m,23,>23,23
copperajah-gmax,weight_kg,1000,???,1000
duraludon-gmax,height_m,43,>43,43
duraludon-gmax,weight_kg,1000,???,1000
urshifu-single-strike-gmax,height_m,29,>29,29
urshifu-single-strike-gmax,weight_kg,1000,???,1000
urshifu-rapid-strike-gmax,height_m,26,>26,26
urshifu-rapid-strike-gmax,weight_kg,1000,???,1000
goodra-hisui,height_m,1.7,1.8,1.7
dialga-origin,weight_kg,848.7,850,848.7
palkia-origin,weight_kg,659,660,659
gimmighoul-roaming,weight_kg,1,0.1,1
ursaluna-bloodmoon,height_m,2.4,2.7,2.4
ursaluna-bloodmoon,weight_kg,290,333,290
floette-mega,weight_kg,100.8,0.9,100.8
