key,column,pokeapi,pokedb,chosen
landorus-therian,speed,91,300,91
sandslash-alola,defense,120,110,120
sandslash-alola,special_attack,25,45,25
sandslash-alola,special_defense,65,55,65
pikachu-starter,hp,45,35,45
pikachu-starter,attack,80,55,80
pikachu-starter,defense,50,40,50
pikachu-starter,special_attack,75,50,75
pikachu-starter,special_defense,60,50,60
pikachu-starter,speed,120,90,120
eevee-starter,hp,65,55,65
eevee-starter,attack,75,55,75
eevee-starter,defense,70,50,70
eevee-starter,special_attack,65,45,65
eevee-starter,special_defense,85,65,85
eevee-starter,speed,75,55,75
ponyta-galar,ev_special_defense,0,1,0
ponyta-galar,ev_speed,1,0,1
rapidash-galar,ev_special_defense,0,2,0
rapidash-galar,ev_speed,2,0,2
meowth-gmax,hp,40,50,40
meowth-gmax,attack,45,65,45
meowth-gmax,defense,35,55,35
meowth-gmax,speed,90,40,90
gengar-gmax,defense,60,80,60
gengar-gmax,special_attack,130,170,130
gengar-gmax,special_defense,75,95,75
gengar-gmax,speed,110,130,110
samurott-hisui,ev_attack,0,3,3
samurott-hisui,ev_special_attack,3,0,0
lilligant-hisui,ev_attack,0,1,1
lilligant-hisui,ev_special_attack,2,0,0
lilligant-hisui,ev_speed,0,1,1
zoroark-hisui,hp,55,60,55
zoroark-hisui,attack,100,105,100
zoroark-hisui,special_attack,125,120,125
zoroark-hisui,speed,110,105,110
braviary-hisui,ev_attack,2,0,2
braviary-hisui,ev_special_attack,0,2,0
basculegion-female,ev_hp,3,2,3
ursaluna-bloodmoon,ev_attack,3,0,0
ursaluna-bloodmoon,ev_special_attack,0,3,3
clefable-mega,ev_hp,0,3,3
victreebel-mega,ev_attack,0,3,3
starmie-mega,attack,100,140,100
starmie-mega,ev_speed,0,2,2
dragonite-mega,ev_attack,0,3,3
meganium-mega,ev_defense,0,1,1
meganium-mega,ev_special_defense,0,2,2
feraligatr-mega,ev_attack,0,2,2
feraligatr-mega,ev_defense,0,1,1
skarmory-mega,ev_defense,0,2,2
froslass-mega,ev_speed,0,2,2
emboar-mega,ev_attack,0,3,3
excadrill-mega,ev_attack,0,2,2
scolipede-mega,ev_speed,0,3,3
scrafty-mega,ev_defense,0,1,1
scrafty-mega,ev_special_defense,0,1,1
eelektross-mega,ev_attack,0,3,3
chandelure-mega,ev_special_attack,0,3,3
chesnaught-mega,ev_defense,0,3,3
delphox-mega,ev_special_attack,0,3,3
greninja-mega,ev_speed,0,3,3
pyroar-mega,ev_special_attack,0,2,2
floette-mega,ev_special_defense,0,2,2
malamar-mega,ev_attack,0,2,2
barbaracle-mega,ev_attack,0,2,2
dragalge-mega,ev_special_defense,0,2,2
hawlucha-mega,ev_attack,0,2,2
zygarde-mega,ev_hp,0,3,3
drampa-mega,ev_special_attack,0,2,2
falinks-mega,ev_attack,0,2,2
falinks-mega,ev_special_defense,0,1,1
raichu-mega-x,ev_speed,0,3,3
raichu-mega-y,ev_speed,0,3,3
chimecho-mega,ev_special_attack,0,1,1
chimecho-mega,ev_special_defense,0,1,1
absol-mega-z,ev_attack,0,2,2
staraptor-mega,ev_attack,0,3,3
garchomp-mega-z,ev_attack,0,3,3
lucario-mega-z,ev_attack,0,1,1
lucario-mega-z,ev_special_attack,0,1,1
heatran-mega,ev_special_attack,0,3,3
darkrai-mega,ev_special_attack,0,2,2
darkrai-mega,ev_speed,0,1,1
golurk-mega,ev_attack,0,2,2
meowstic-male-mega,ev_speed,0,2,2
crabominable-mega,ev_attack,0,2,2
golisopod-mega,ev_defense,0,2,2
magearna-mega,ev_special_attack,0,3,3
magearna-original-mega,ev_special_attack,0,3,3
zeraora-mega,ev_speed,0,3,3
scovillain-mega,ev_attack,0,2,2
glimmora-mega,ev_special_attack,0,2,2
tatsugiri-curly-mega,ev_special_attack,0,2,2
tatsugiri-droopy-mega,ev_special_attack,0,2,2
tatsugiri-stretchy-mega,ev_special_attack,0,2,2
baxcalibur-mega,ev_attack,0,3,3
