key,column,pokeapi,pokedb,chosen
142/default/silver,flavor_text,"This vicious POKé­
MON is said to
have flown in an­cient skies while
shrieking high-
pitched cries.",This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.,"This vicious POKé­
MON is said to
have flown in an­cient skies while
shrieking high-
pitched cries."
65/default/firered,flavor_text,"It does not like physical attacks very
much. Instead, it freely uses extra­
sensory powers to defeat foes.","It does not like physical attacks very much. Instead, it freely uses extra-sensory powers to defeat foes.","It does not like physical attacks very
much. Instead, it freely uses extra­
sensory powers to defeat foes."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Slight vibrations shook its cells when it evolved, giving it a complex flavor.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Slight vibrations shook its cells when it evolved, giving it a sour flavor.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Slight vibrations shook its cells when it evolved, giving it a salty flavor.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Slight vibrations shook its cells when it evolved, giving it a bitter flavor.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Desserts that Alcremie have decorated with their cream have a rich, sweet flavor and bring happiness to all who eat them.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Slight vibrations shook its cells when it evolved, giving it an aromatic flavor.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Slight vibrations shook its cells when it evolved, giving it a refreshing flavor.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
869/default/scarlet,flavor_text,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor.","Slight vibrations shook its cells when it evolved, giving it a sweet and tart flavor.","Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
