table:reason,rows
abilities:not-main-series,60
abilities:pokedb-not-main-series,60
encounters:jp-rgb,1770
encounters_pokedb:covered-by-pokeapi:black-2-white-2,1625
encounters_pokedb:covered-by-pokeapi:black-white,1099
encounters_pokedb:covered-by-pokeapi:crystal,583
encounters_pokedb:covered-by-pokeapi:diamond-pearl,1335
encounters_pokedb:covered-by-pokeapi:emerald,120
encounters_pokedb:covered-by-pokeapi:firered-leafgreen,1288
encounters_pokedb:covered-by-pokeapi:gold-silver,1449
encounters_pokedb:covered-by-pokeapi:heartgold-soulsilver,2676
encounters_pokedb:covered-by-pokeapi:lets-go-pikachu-lets-go-eevee,744
encounters_pokedb:covered-by-pokeapi:omega-ruby-alpha-sapphire,1393
encounters_pokedb:covered-by-pokeapi:platinum,1152
encounters_pokedb:covered-by-pokeapi:red-blue,628
encounters_pokedb:covered-by-pokeapi:ruby-sapphire,758
encounters_pokedb:covered-by-pokeapi:sun-moon,750
encounters_pokedb:covered-by-pokeapi:sword-shield,11638
encounters_pokedb:covered-by-pokeapi:ultra-sun-ultra-moon,937
encounters_pokedb:covered-by-pokeapi:x-y,948
encounters_pokedb:covered-by-pokeapi:yellow,368
encounters_pokedb:partial-pokeapi-coverage:diamond-pearl,3
item_acquisitions:dream,10
item_acquisitions:green,3
item_flavor_text:go,1
item_flavor_text:stadium,18
item_flavor_text:stadium-2,1
items:pokeapi-duplicate-identifier:roseli-berry,1
learnsets:jp-rgb,8256
learnsets:stadium,1
machines:jp-rgb,110
moves:z-move-split-row,36
species_flavor_text:green,4
species_flavor_text:stadium,151
species_flavor_text:stadium-2,480
