file,rows,columns
languages.csv,55,21
generations.csv,9,13
regions.csv,12,11
region_areas_pokedb.csv,13,4
version_groups.csv,30,7
versions.csv,50,15
pokedexes.csv,35,15
types.csv,21,5
type_names.csv,21,45
type_chart_gen1.csv,225,3
type_chart_gen2-5.csv,289,3
type_chart_gen6plus.csv,324,3
damage_class_by_type_gen1-3.csv,17,2
move_damage_classes.csv,4,18
move_targets.csv,16,8
egg_groups.csv,15,12
growth_rates.csv,6,7
experience.csv,600,3
natures.csv,25,18
nature_battle_style_preferences.csv,75,4
nature_pokeathlon_stats.csv,50,3
move_battle_styles.csv,3,4
pokeathlon_stats.csv,5,9
stats.csv,9,15
characteristics.csv,30,14
colors.csv,10,14
shapes.csv,14,8
habitats.csv,9,6
contest_types.csv,5,17
contest_effects.csv,33,7
super_contest_effects.csv,22,4
contest_combos.csv,235,2
super_contest_combos.csv,6,2
encounter_methods.csv,66,6
encounter_conditions.csv,30,5
encounter_condition_values.csv,361,7
encounter_methods_pokedb.csv,73,3
pokemon_move_methods.csv,12,12
evolution_triggers.csv,16,5
item_pockets.csv,8,8
item_categories.csv,54,5
item_fling_effects.csv,7,4
item_flags.csv,8,6
berry_firmness.csv,5,9
pal_park_areas.csv,5,6
move_flags.csv,21,8
move_meta_ailments.csv,23,6
move_meta_categories.csv,14,4
pokemon_form_triggers.csv,6,3
currencies.csv,21,5
status_conditions.csv,51,29
status_condition_effects.csv,51,3
species.csv,1025,25
species_names.csv,1025,15
species_genera.csv,1025,12
pokemon_egg_groups.csv,1025,3
base_friendship_gen3-7.csv,809,2
base_friendship_gen8plus.csv,1025,2
evolution_chains.csv,540,2
species_prose.csv,68,3
pokemon_dex_numbers.csv,7987,3
pal_park.csv,493,4
pokemon_evolution.csv,553,31
pokemon.csv,1355,11
pokemon_stats.csv,1355,13
pokemon_types.csv,1355,3
pokemon_abilities.csv,1355,4
base_experience_gen5-6.csv,902,2
base_experience_gen7plus.csv,1343,3
pokemon_stats_history.csv,235,5
pokemon_types_history.csv,29,4
pokemon_abilities_history.csv,569,5
pokemon_forms.csv,1583,26
pokemon_form_types.csv,35,3
pokemon_form_generations.csv,4986,3
pokemon_form_changes.csv,234,6
pokemon_form_flavor_text.csv,249,4
pokemon_form_pokeathlon_stats.csv,2770,5
pokemon_held_items.csv,5413,5
pokemon_held_items_orre.csv,35,5
species_flavor_text.csv,70710,6
species_flavor_text_legends_arceus.csv,276,6
species_flavor_text_legends_za.csv,509,6
abilities.csv,314,4
ability_names.csv,314,14
ability_effects.csv,810,4
ability_flavor_text.csv,16357,4
ability_flavor_text_orre.csv,82,4
ability_flavor_text_champions.csv,11,4
abilities_history.csv,52,5
moves.csv,952,16
move_names.csv,952,15
move_effects.csv,872,4
move_effects_pokedb.csv,952,3
move_flavor_text.csv,48930,4
move_flavor_text_legends_arceus.csv,638,4
move_meta.csv,809,13
move_meta_stat_changes.csv,245,3
move_flag_map.csv,1969,2
move_tag_categories.csv,34,3
move_tags.csv,1499,2
moves_history.csv,198,10
move_effects_history.csv,28,4
learnsets.csv,579355,7
learnsets_orre.csv,28670,7
learnsets_champions.csv,19810,7
learnsets_legends_arceus.csv,2230,7
machines.csv,2054,4
machines_orre.csv,116,4
machines_legends_za.csv,213,4
items.csv,2573,15
item_names.csv,2573,48
item_effects.csv,1910,4
item_flavor_text.csv,59982,4
item_flavor_text_legends_arceus.csv,588,4
item_flavor_text_legends_za.csv,246,4
item_flavor_text_orre.csv,22,4
item_game_indices.csv,7296,3
item_prices.csv,5892,8
item_prices_legends_arceus.csv,220,8
item_prices_legends_za.csv,140,8
item_prices_orre.csv,8,8
item_acquisitions.csv,5470,17
item_acquisitions_legends_za.csv,192,17
item_acquisitions_legends_arceus.csv,386,17
item_acquisition_types.csv,39,3
item_acquisition_subtypes.csv,42,3
item_effects_by_generation.csv,1822,7
item_effect_contexts.csv,6,3
item_effect_types.csv,192,3
item_stat_modifiers.csv,157,5
item_pockets_by_generation.csv,5058,5
item_pockets_by_generation_legends_za.csv,166,5
item_pockets_by_generation_legends_arceus.csv,109,5
item_pockets_pokedb.csv,22,2
item_distributions.csv,706,7
berries.csv,68,10
berry_flavors.csv,320,3
locations.csv,1104,25
location_areas.csv,1539,7
location_game_indices.csv,1417,3
encounters.csv,115170,15
encounters_orre.csv,187,15
encounter_rates.csv,3913,4
locations_pokedb.csv,839,4
location_areas_pokedb.csv,2672,3
encounters_legends_arceus.csv,1756,21
encounters_brilliant_diamond_shining_pearl.csv,2178,13
encounters_scarlet_violet.csv,4296,24
