dex_id,pokemon_name,field,pokeapi_value,pokedb_value,chosen_value,chosen_source,reason,applied
14,Kakuna,ability_hidden,,sniper,,pokeapi,Kakuna has no hidden ability (Shed Skin only); Sniper is Beedrill's — PokeDB shifted the slot up one species,1
14,Kakuna,ev_atk,0,2,0,pokeapi,"Kakuna yields 2 Def, not 2 Atk (PokeDB swapped Atk/Def)",1
14,Kakuna,ev_def,2,0,2,pokeapi,Kakuna yields 2 Def,1
15,Beedrill,ability_hidden,sniper,,sniper,pokeapi,Beedrill's hidden ability is Sniper (PokeDB blank),0
28,Sandslash,stat_def,110,120,110,pokeapi,Kanto Sandslash 75/100/110/45/55/65 — PokeDB's default row carries Alolan Def/SpA/SpD (120/25/65),1
28,Sandslash,stat_spa,45,25,45,pokeapi,Kanto Sandslash Sp.Atk 45 (Alolan leak in PokeDB),1
28,Sandslash,stat_spd,55,65,55,pokeapi,Kanto Sandslash Sp.Def 55 (Alolan leak in PokeDB),1
77,Ponyta,ev_spd,0,1,0,pokeapi,"Ponyta yields 1 Speed, not Sp.Def (PokeDB column shift)",1
77,Ponyta,ev_spe,1,0,1,pokeapi,Ponyta yields 1 Speed,1
78,Rapidash,ev_spd,0,2,0,pokeapi,Rapidash yields 2 Speed (PokeDB column shift),1
78,Rapidash,ev_spe,2,0,2,pokeapi,Rapidash yields 2 Speed,1
83,Farfetch’d,name_en,Farfetch’d,Farfetch'd,Farfetch’d,pokeapi,"Farfetch’d with the curly apostrophe — app convention (HISTORY 0.1.37), same glyph as the official spelling",1
83,Farfetch’d,name_es,Farfetch’d,Farfetch'd,Farfetch’d,pokeapi,"curly apostrophe, as name_en",1
83,Farfetch’d,name_it,Farfetch’d,Farfetch'd,Farfetch’d,pokeapi,"curly apostrophe, as name_en",1
95,Onix,ev_atk,0,1,0,pokeapi,Onix yields 1 Def (PokeDB swapped Atk/Def),1
95,Onix,ev_def,1,0,1,pokeapi,Onix yields 1 Def,1
147,Dratini,hatch_cycles,40,45,40,pokeapi,Dratini egg cycles 40 (Bulbapedia); 45 is wrong,1
185,Sudowoodo,name_zh-hans,树才怪,树才怪,树才怪,pokeapi,identical text once PokeDB's trailing U+200E is stripped,0
215,Sneasel,color,black,gray,black,pokeapi,"Sneasel Pokédex colour Black (Bulbapedia infobox, verified 2026-09-06)",1
273,Seedot,ev_atk,0,1,0,pokeapi,Seedot yields 1 Def (PokeDB swapped),1
273,Seedot,ev_def,1,0,1,pokeapi,Seedot yields 1 Def,1
312,Minun,name_zh-hans,負电拍拍,负电拍拍,负电拍拍,pokedb,负电拍拍 is the all-simplified form; PokeAPI's 負电拍拍 mixes a traditional 負,1
355,Duskull,ability_2,,frisk,,pokeapi,"Duskull: Levitate only, hidden Frisk — PokeDB put Frisk in slot 2 and left hidden blank",1
355,Duskull,ability_hidden,frisk,,frisk,pokeapi,Duskull hidden ability Frisk,0
356,Dusclops,ability_2,,frisk,,pokeapi,"Dusclops: Pressure only, hidden Frisk",1
356,Dusclops,ability_hidden,frisk,,frisk,pokeapi,Dusclops hidden ability Frisk,0
380,Latias,is_legendary,1,0,1,pokeapi,Latias is a Legendary Pokémon (Eon Duo); PokeDB false negative,1
393,Piplup,ability_hidden,competitive,defiant,competitive,pokeapi,Piplup line hidden ability is Competitive since Gen 8 (was Defiant Gen 5-7 — kept in pokemon_abilities_history),1
394,Prinplup,ability_hidden,competitive,defiant,competitive,pokeapi,Prinplup: Competitive since Gen 8,1
395,Empoleon,ability_hidden,competitive,defiant,competitive,pokeapi,Empoleon: Competitive since Gen 8,1
420,Cherubi,pct_male,50,20,50,pokeapi,Cherubi is 50% male (Bulbapedia); PokeDB 20% is wrong,1
424,Ambipom,hatch_cycles,20,45,20,pokeapi,"Ambipom egg cycles 20, same as Aipom",1
440,Happiny,pct_male,0,???,0,pokeapi,"Happiny is 100% female (0% male), not genderless",1
442,Spiritomb,growth_rate,Medium Fast,Medium Slow,Medium Fast,pokeapi,Spiritomb levelling rate Medium Fast (Bulbapedia),1
466,Electivire,hatch_cycles,25,20,25,pokeapi,"Electivire egg cycles 25, same as Electabuzz",1
469,Yanmega,name_fr,Yanmega,Yanméga,Yanméga,pokedb,French name is Yanméga (accented) — PokeAPI dropped the accent,1
488,Cresselia,pct_male,0,???,0,pokeapi,"Cresselia is 100% female, not genderless",1
499,Pignite,weight_kg,55.5,55,55.5,pokeapi,Pignite 55.5 kg (Bulbapedia),1
